Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20210325,9.95000000,9.95000000,9.52000000,9.87000000,1171,11558,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.87000000,9.87000000
20210326,9.85000000,9.96000000,9.75000000,9.96000000,1583,15767,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.96000000,9.96000000
20210329,9.70000000,9.90200000,9.50000000,9.78000000,536,5242,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.78000000,9.78000000
20210330,9.80000000,9.85000000,9.80000000,9.83000000,523,5141,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.83000000,9.83000000
20210331,9.75000000,9.90000000,9.75000000,9.90000000,786,7781,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.90000000,9.90000000
20210401,9.98000000,9.98000000,9.74000000,9.77000000,1519,14841,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.77000000,9.77000000
20210402,9.98000000,9.98000000,9.74000000,9.77000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.77000000,9.77000000
20210405,9.82000000,10.00000000,9.81000000,10.00000000,2081,20810,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.00000000,10.00000000
20210406,9.86000000,9.87000000,9.80000000,9.85000000,2429,23926,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.85000000,9.85000000
20210407,9.87000000,9.87000000,9.77000000,9.86000000,2502,24670,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.86000000,9.86000000
20210408,9.83000000,9.92000000,9.81000000,9.89000000,598,5914,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.89000000,9.89000000
20210409,9.86600000,9.88900000,9.84000000,9.87500000,184,1817,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.87500000,9.87500000
20210412,9.88000000,9.95000000,9.88000000,9.95000000,202,2010,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.95000000,9.95000000
20210413,9.99000000,9.99000000,9.90000000,9.91000000,1266,12546,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.91000000,9.91000000
20210414,9.91000000,9.93000000,9.89000000,9.90000000,4584,45382,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.90000000,9.90000000
20210415,9.90000000,9.92000000,9.82000000,9.87000000,2514,24813,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.87000000,9.87000000
20210416,9.91000000,9.91000000,9.83000000,9.83000000,292,2870,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.83000000,9.83000000
20210419,9.85000000,9.86500000,9.80000000,9.84000000,4381,43109,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.84000000,9.84000000
20210420,10.00000000,10.00000000,9.74000000,9.81000000,1651,16196,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.81000000,9.81000000
20210421,9.80000000,9.81000000,9.77000000,9.80000000,3428,33594,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.80000000,9.80000000
