Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20121213,15.00000000,15.00000000,15.00000000,15.00000000,1,15,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Asset Managers","Common Stock",15.00000000,15.00000000
20121214,19.00000000,30.00000000,19.00000000,30.00000000,1446,43380,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Asset Managers","Common Stock",30.00000000,30.00000000
20121217,31.50000000,65.00000000,31.50000000,65.00000000,686,44590,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Asset Managers","Common Stock",65.00000000,65.00000000
20121218,65.00000000,89.00000000,65.00000000,80.00000000,436,34880,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Asset Managers","Common Stock",80.00000000,80.00000000
20121219,80.00000000,84.00000000,78.00000000,84.00000000,240,20160,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Asset Managers","Common Stock",84.00000000,84.00000000
20121220,84.00000000,84.00000000,80.00000000,80.25000000,333,26723,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Asset Managers","Common Stock",80.25000000,80.25000000
20121221,80.50000000,81.50000000,75.00000000,80.00000000,207,16560,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Asset Managers","Common Stock",80.00000000,80.00000000
20121224,81.00000000,93.50000000,80.00000000,80.00000000,37,2960,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Asset Managers","Common Stock",80.00000000,80.00000000
20121225,81.00000000,93.50000000,80.00000000,80.00000000,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Financials","Financials/Asset Managers","Common Stock",80.00000000,80.00000000
20121226,80.00000000,90.00000000,77.00000000,77.00000000,561,43197,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Asset Managers","Common Stock",77.00000000,77.00000000
20121227,75.00000000,75.02000000,55.00000000,59.00000000,543,32037,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Asset Managers","Common Stock",59.00000000,59.00000000
20121228,58.50000000,75.00000000,56.50000000,72.35000000,944,68298,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Asset Managers","Common Stock",72.35000000,72.35000000
20121231,72.00000000,90.00000000,72.00000000,82.00000000,435,35670,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Asset Managers","Common Stock",82.00000000,82.00000000
20130101,72.00000000,90.00000000,72.00000000,82.00000000,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Financials","Financials/Asset Managers","Common Stock",82.00000000,82.00000000
20130102,83.50000000,85.00000000,75.75000000,76.00000000,260,19760,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Asset Managers","Common Stock",76.00000000,76.00000000
20130103,75.50000000,83.90000000,73.50000000,81.25000000,808,65650,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Asset Managers","Common Stock",81.25000000,81.25000000
20130104,81.50000000,86.00000000,81.50000000,85.00000000,260,22100,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Asset Managers","Common Stock",85.00000000,85.00000000
20130107,86.00000000,87.75000000,79.80000000,79.80000000,318,25376,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Asset Managers","Common Stock",79.80000000,79.80000000
