Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20040407,5.35880723,5.50580693,5.35880723,5.47907971,37075,203137,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.47907971,5.47907971
20040408,5.47907971,5.47907971,5.44166161,5.46037066,3012,16447,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.46037066,5.46037066
20040409,5.47907971,5.47907971,5.44166161,5.46037066,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",20.43000000,5.46037066
20040412,5.46571610,5.46571610,5.19042576,5.21715298,8529,44497,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.21715298,5.21715298
20040413,5.21448025,5.22517114,5.17171670,5.21448025,2268,11826,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.21448025,5.21448025
20040414,5.18508031,5.20646209,5.18508031,5.19309848,1439,7473,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.19309848,5.19309848
20040415,5.19309848,5.24922564,5.19309848,5.23853475,227,1189,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.23853475,5.23853475
20040416,5.23853475,5.23853475,5.21180753,5.21180753,336,1751,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.21180753,5.21180753
20040419,5.21180753,5.23318931,5.21180753,5.21448025,163,850,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.21448025,5.21448025
20040420,5.21180753,5.28397102,5.21180753,5.26526197,134,706,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.26526197,5.26526197
20040421,5.25189836,5.25189836,5.07817144,5.15835310,1200,6190,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.15835310,5.15835310
20040422,5.15835310,5.22517114,5.14498949,5.22517114,112,585,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.22517114,5.22517114
20040423,5.21448025,5.21715298,5.21180753,5.21180753,76,396,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.21180753,5.21180753
20040426,5.21180753,5.22517114,5.19844392,5.21180753,117,610,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.21180753,5.21180753
20040427,5.19844392,5.33208001,5.18508031,5.27862558,180,950,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.27862558,5.27862558
20040428,5.29198919,5.30000735,5.22517114,5.22517114,155,810,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.22517114,5.22517114
20040429,5.23853475,5.24388019,5.18508031,5.23318931,334,1748,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.23318931,5.23318931
20040430,5.22517114,5.22517114,5.17438943,5.19844392,791,4112,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.19844392,5.19844392
20040503,5.19844392,5.21180753,5.17171670,5.20646209,132,687,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.20646209,5.20646209
20040504,5.21180753,5.23853475,5.15835310,5.18508031,608,3153,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.18508031,5.18508031
20040505,5.17706215,5.23586203,5.17171670,5.23586203,99,518,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.23586203,5.23586203
20040506,5.23853475,5.34811634,5.21180753,5.34544362,832,4447,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.34544362,5.34544362
20040507,5.29198919,5.29198919,5.15300765,5.15835310,313,1615,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.15835310,5.15835310
20040510,5.11826227,5.13697132,5.02471701,5.13697132,753,3868,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.13697132,5.13697132
20040511,5.13162588,5.13162588,5.08084416,5.08351689,286,1454,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.08351689,5.08351689
20040512,5.13162588,5.17438943,5.11826227,5.13162588,269,1380,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.13162588,5.13162588
20040513,5.14498949,5.17706215,5.13697132,5.14766221,377,1941,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.14766221,5.14766221
20040514,5.15835310,5.18508031,5.14498949,5.18240759,93,482,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.18240759,5.18240759
20040517,5.17171670,5.17171670,5.03808061,5.07817144,396,2011,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.07817144,5.07817144
20040518,5.09955322,5.12628043,5.06480783,5.09955322,259,1321,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.09955322,5.09955322
20040519,5.07282600,5.10222594,5.06213511,5.08351689,204,1037,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.08351689,5.08351689
20040520,5.08618961,5.12628043,5.05144422,5.07015328,309,1567,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.07015328,5.07015328
20040521,5.07817144,5.12895316,5.06480783,5.07015328,328,1663,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.07015328,5.07015328
20040524,5.06480783,5.07817144,4.91780813,4.99264434,178,889,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.99264434,4.99264434
20040525,5.00333523,5.02471701,4.98462618,5.02471701,70,352,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.02471701,5.02471701
20040526,5.03808061,5.07549872,5.03006245,5.06480783,49,248,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.06480783,5.06480783
20040527,5.06213511,5.07817144,5.05144422,5.07282600,449,2278,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.07282600,5.07282600
20040528,5.05946239,5.10489866,5.01135340,5.06748055,195,988,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.06748055,5.06748055
20040531,5.05946239,5.10489866,5.01135340,5.06748055,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",18.96000000,5.06748055
20040601,5.06480783,5.07817144,4.94453535,5.03006245,212,1066,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.03006245,5.03006245
20040602,5.03808061,5.15568037,5.03808061,5.14231676,601,3091,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.14231676,5.14231676
20040603,5.14498949,5.16904398,5.10757138,5.11558955,140,716,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.11558955,5.11558955
20040604,5.12895316,5.13162588,5.05144422,5.07282600,161,817,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.07282600,5.07282600
20040607,5.06480783,5.08886233,5.04342606,5.06480783,3663,18552,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.06480783,5.06480783
20040608,5.07817144,5.14498949,5.07817144,5.14498949,386,1986,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.14498949,5.14498949
20040609,5.14498949,5.17973487,5.14498949,5.17973487,105,544,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.17973487,5.17973487
20040610,5.19577120,5.29198919,5.19577120,5.25189836,179,940,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.25189836,5.25189836
20040611,5.19577120,5.29198919,5.19577120,5.25189836,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",19.65000000,5.25189836
20040614,5.23853475,5.34544362,5.20913481,5.34544362,2685,14353,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.34544362,5.34544362
20040615,5.34544362,5.38018901,5.31337096,5.34544362,885,4731,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.34544362,5.34544362
20040616,5.36415268,5.37751628,5.32138913,5.37751628,250,1344,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.37751628,5.37751628
20040617,5.38286173,5.51917054,5.38286173,5.48442516,371,2035,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.48442516,5.48442516
20040618,5.46571610,5.59935219,5.46571610,5.59935219,212,1187,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.59935219,5.59935219
20040621,5.61271580,5.61271580,5.41226167,5.49244332,694,3812,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.49244332,5.49244332
20040622,5.50580693,5.54857048,5.49244332,5.50580693,391,2153,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.50580693,5.50580693
20040623,5.47907971,5.48175244,5.43364344,5.46304338,183,1000,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.46304338,5.46304338
20040624,5.45235250,5.45235250,5.32138913,5.40691622,692,3742,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.40691622,5.40691622
20040625,5.38553445,5.45769794,5.34544362,5.34544362,1687,9018,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.34544362,5.34544362
20040628,5.35880723,5.35880723,5.25189836,5.27595286,181,955,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.27595286,5.27595286
20040629,5.27862558,5.33475274,5.26526197,5.28397102,238,1258,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.28397102,5.28397102
20040630,5.29198919,5.33208001,5.25189836,5.33208001,342,1824,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.33208001,5.33208001
20040701,5.31847777,5.37832765,5.30487552,5.30487552,575,3050,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.30487552,5.30487552
20040702,5.31847777,5.43817752,5.31575732,5.43817752,605,3290,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.43817752,5.43817752
20040705,5.31847777,5.43817752,5.31575732,5.43817752,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",19.99000000,5.43817752
20040706,5.43273663,5.45450022,5.41369348,5.44089797,346,1883,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.44089797,5.44089797
20040707,5.44089797,5.46538201,5.41369348,5.46538201,361,1973,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.46538201,5.46538201
