Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19800801,0.28303230,0.28817834,0.28229715,0.28376745,53393,15151,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.28376745,0.28376745
19800804,0.28376745,0.28450260,0.27788626,0.28450260,27445,7808,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.28450260,0.28450260
19800805,0.28450260,0.28744319,0.28376745,0.28523775,21671,6181,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.28523775,0.28523775
19800806,0.28523775,0.28744319,0.28523775,0.28523775,16110,4595,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.28523775,0.28523775
19800807,0.28523775,0.28964864,0.28523775,0.28964864,49971,14474,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.28964864,0.28964864
19800808,0.28964864,0.29185408,0.28817834,0.28891349,30225,8732,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.28891349,0.28891349
19800811,0.28891349,0.29332438,0.28744319,0.29332438,65868,19321,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.29332438,0.29332438
19800812,0.29405953,0.30435162,0.29405953,0.29479468,41417,12210,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.29479468,0.29479468
19800813,0.29332438,0.29332438,0.29111894,0.29111894,71856,20919,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.29111894,0.29111894
19800814,0.29111894,0.29111894,0.28891349,0.28891349,15683,4531,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.28891349,0.28891349
19800815,0.28891349,0.29038379,0.28891349,0.28891349,26090,7538,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.28891349,0.28891349
19800818,0.28817834,0.28817834,0.28303230,0.28450260,135870,38655,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.28450260,0.28450260
19800819,0.28450260,0.28523775,0.28156200,0.28303230,66652,18865,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.28303230,0.28303230
19800820,0.28229715,0.28229715,0.28009170,0.28229715,20316,5735,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.28229715,0.28229715
19800821,0.28229715,0.28376745,0.28082685,0.28229715,19889,5615,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.28229715,0.28229715
19800822,0.28817834,0.29552983,0.28817834,0.29405953,51824,15239,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.29405953,0.29405953
19800825,0.29405953,0.29405953,0.29038379,0.29111894,20459,5956,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.29111894,0.29111894
19800826,0.29111894,0.29405953,0.29111894,0.29405953,12903,3794,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.29405953,0.29405953
19800827,0.29185408,0.29185408,0.28597289,0.28817834,24094,6943,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.28817834,0.28817834
19800828,0.28817834,0.28964864,0.28376745,0.28523775,19247,5490,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.28523775,0.28523775
19800829,0.28376745,0.28376745,0.28082685,0.28156200,15398,4335,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.28156200,0.28156200
19800901,0.28376745,0.28376745,0.28082685,0.28156200,0,0,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",47.87500000,0.28156200
19800902,0.28156200,0.28303230,0.28156200,0.28303230,15398,4358,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.28303230,0.28303230
19800903,0.28303230,0.29258923,0.28229715,0.29258923,15540,4547,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.29258923,0.29258923
19800904,0.29258923,0.29700013,0.28670804,0.28964864,54462,15775,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.28964864,0.28964864
19800905,0.28891349,0.28891349,0.28523775,0.28744319,41417,11905,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.28744319,0.28744319
19800908,0.28744319,0.29038379,0.28670804,0.28744319,11334,3258,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.28744319,0.28744319
19800909,0.28744319,0.29111894,0.28597289,0.29038379,12903,3747,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.29038379,0.29038379
19800910,0.29038379,0.29773528,0.28891349,0.29405953,34003,9999,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.29405953,0.29405953
19800911,0.29405953,0.29626498,0.29258923,0.29405953,20744,6100,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.29405953,0.29405953
19800912,0.29405953,0.29405953,0.28964864,0.29185408,15184,4432,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.29185408,0.29185408
19800915,0.29185408,0.29258923,0.28817834,0.29038379,12546,3643,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.29038379,0.29038379
19800916,0.29111894,0.30288132,0.29111894,0.30067587,51611,15518,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.30067587,0.30067587
19800917,0.30361647,0.31758429,0.30361647,0.31464370,123822,38960,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.31464370,0.31464370
19800918,0.31537885,0.31978974,0.31537885,0.31684915,57028,18069,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.31684915,0.31684915
19800919,0.31684915,0.32199519,0.31537885,0.32199519,48545,15631,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.32199519,0.32199519
19800922,0.32199519,0.32346548,0.31758429,0.32346548,25306,8186,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.32346548,0.32346548
19800923,0.32346548,0.32346548,0.31317340,0.31390855,77701,24391,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.31390855,0.31390855
19800924,0.31317340,0.31317340,0.30876251,0.31170310,42700,13310,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.31170310,0.31170310
19800925,0.31170310,0.31464370,0.30729221,0.30729221,42201,12968,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.30729221,0.30729221
19800926,0.30729221,0.30729221,0.30435162,0.30582191,28158,8611,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.30582191,0.30582191
19800929,0.30508676,0.30508676,0.30141102,0.30141102,32649,9841,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.30141102,0.30141102
19800930,0.30141102,0.30288132,0.29847042,0.30288132,20673,6261,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.30288132,0.30288132
19801001,0.30288132,0.30802736,0.30141102,0.30582191,35001,10704,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.30582191,0.30582191
19801002,0.30582191,0.30876251,0.30141102,0.30876251,23025,7109,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.30876251,0.30876251
19801003,0.30949766,0.31317340,0.30949766,0.31170310,17108,5333,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.31170310,0.31170310
19801006,0.31170310,0.31390855,0.31023281,0.31243825,13259,4143,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.31243825,0.31243825
19801007,0.31243825,0.31611400,0.31243825,0.31611400,30082,9509,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.31611400,0.31611400
19801008,0.31611400,0.32052489,0.31390855,0.31831944,27231,8668,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.31831944,0.31831944
19801009,0.31831944,0.32199519,0.31317340,0.31464370,9695,3050,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.31464370,0.31464370
19801010,0.31390855,0.31390855,0.30876251,0.30876251,20815,6427,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.30876251,0.30876251
19801013,0.30876251,0.31023281,0.30582191,0.31023281,12261,3804,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.31023281,0.31023281
19801014,0.31023281,0.31243825,0.30729221,0.30729221,41132,12640,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.30729221,0.30729221
19801015,0.30729221,0.30876251,0.30582191,0.30582191,45052,13778,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.30582191,0.30582191
19801016,0.30582191,0.31023281,0.29700013,0.29700013,44268,13148,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.29700013,0.29700013
19801017,0.29700013,0.30288132,0.29552983,0.29994072,17964,5388,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.29994072,0.29994072
19801020,0.29994072,0.30141102,0.29700013,0.30141102,20388,6145,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.30141102,0.30141102
19801021,0.30141102,0.30141102,0.29479468,0.29552983,26447,7816,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.29552983,0.29552983
19801022,0.29552983,0.30214617,0.29552983,0.29994072,18534,5559,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.29994072,0.29994072
19801023,0.29994072,0.30141102,0.29773528,0.29920557,12903,3861,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.29920557,0.29920557
19801024,0.29920557,0.30141102,0.29700013,0.29994072,18178,5452,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.29994072,0.29994072
19801027,0.29847042,0.29847042,0.29111894,0.29111894,20815,6060,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Equipment","Common Stock",0.29111894,0.29111894
