Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20010719,11.23403366,11.37538905,11.15963608,11.28611196,349943,3949496,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",11.28611196,11.28611196
20010720,11.19683487,11.19683487,11.01084093,11.16707584,92385,1031670,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",11.16707584,11.16707584
20010723,11.15963608,11.16707584,10.82484700,11.15963608,75010,837084,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",11.15963608,11.15963608
20010724,11.12243729,11.13731681,10.93644336,11.05547948,35373,391065,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",11.05547948,11.05547948
20010725,10.93644336,11.12243729,10.89924457,11.12243729,42081,468043,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",11.12243729,11.12243729
20010726,11.12243729,11.15219632,10.78764821,10.78764821,63353,683430,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",10.78764821,10.78764821
20010727,10.79508797,10.85460603,10.78764821,10.79508797,35240,380419,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",10.79508797,10.79508797
20010730,10.78764821,10.99596142,10.78764821,10.93644336,36543,399650,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",10.93644336,10.93644336
20010731,10.94388312,11.16707584,10.86204579,11.12987705,14290,159046,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",11.12987705,11.12987705
20010801,11.15963608,11.53162395,11.08523851,11.53162395,20879,240769,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",11.53162395,11.53162395
20010802,11.45722638,11.53162395,11.23403366,11.45722638,17174,196766,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",11.45722638,11.45722638
20010803,11.45722638,11.45722638,11.14475657,11.27123244,9836,110864,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",11.27123244,11.27123244
20010806,11.27123244,11.32331074,11.17451560,11.23403366,7774,87333,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",11.23403366,11.23403366
20010807,11.23403366,11.56882274,11.23403366,11.53162395,7889,90973,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",11.53162395,11.53162395
20010808,11.45722638,11.60602152,11.15963608,11.15963608,21903,244430,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",11.15963608,11.15963608
20010809,11.19683487,11.53162395,11.15963608,11.53162395,9280,107013,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",11.53162395,11.53162395
20010810,11.45722638,11.45722638,11.24891317,11.30099147,7033,79480,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",11.30099147,11.30099147
20010813,11.27123244,11.41258783,11.08523851,11.16707584,17704,197702,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",11.16707584,11.16707584
20010814,11.19683487,11.20427463,10.89924457,10.93644336,10008,109452,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",10.93644336,10.93644336
20010815,10.97364215,11.08523851,10.93644336,11.00340118,5309,58417,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",11.00340118,11.00340118
20010816,10.99596142,10.99596142,10.45285913,10.45285913,15227,159166,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",10.45285913,10.45285913
20010817,10.46029889,11.01084093,10.34126277,10.80252773,23424,253038,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",10.80252773,10.80252773
20010820,10.86204579,11.42002759,10.78020845,11.42002759,14349,163866,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",11.42002759,11.42002759
20010821,11.34563002,11.60602152,11.16707584,11.50186492,10382,119412,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",11.50186492,11.50186492
20010822,11.39770832,11.44978662,10.99596142,11.41258783,8290,94610,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",11.41258783,11.41258783
20010823,11.49442516,11.49442516,11.34563002,11.34563002,4700,53324,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",11.34563002,11.34563002
