Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20210303,9.70000000,9.89000000,9.44000000,9.76000000,2471,24117,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.76000000,9.76000000
20210304,9.82000000,9.82000000,9.62000000,9.69000000,7425,71948,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.69000000,9.69000000
20210305,9.74000000,9.77500000,9.65000000,9.76000000,669,6529,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.76000000,9.76000000
20210308,9.82000000,9.82000000,9.71000000,9.72500000,2733,26578,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.72500000,9.72500000
20210309,9.80000000,9.92000000,9.72000000,9.74000000,478,4656,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.74000000,9.74000000
20210310,9.75000000,9.77000000,9.71000000,9.73000000,1966,19129,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.73000000,9.73000000
20210311,9.70000000,9.74000000,9.70000000,9.74000000,8359,81417,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.74000000,9.74000000
20210312,9.70000000,9.74000000,9.70000000,9.72000000,297,2887,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.72000000,9.72000000
20210315,9.76000000,9.76000000,9.69000000,9.70000000,755,7323,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.70000000,9.70000000
20210316,9.72000000,9.73000000,9.71000000,9.71000000,138,1340,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.71000000,9.71000000
20210317,9.69000000,9.73000000,9.69000000,9.70000000,176,1707,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.70000000,9.70000000
20210318,9.70000000,9.70000000,9.64000000,9.68000000,637,6166,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.68000000,9.68000000
20210319,9.66000000,9.68000000,9.66000000,9.68000000,359,3475,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.68000000,9.68000000
20210322,9.65000000,9.68000000,9.65000000,9.68000000,104,1007,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.68000000,9.68000000
20210323,9.66000000,9.67000000,9.59000000,9.64000000,1767,17034,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.64000000,9.64000000
