Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19931118,2.79117182,2.79117182,2.65161323,2.66324311,317838,846480,N/A,N/A,0,-5,"NYSE","","","Common Stock",2.66324311,2.66324311
19931119,2.67487299,2.67487299,2.62835346,2.65161323,108990,288999,N/A,N/A,0,-5,"NYSE","","","Common Stock",2.65161323,2.65161323
19931122,2.63998334,2.68650287,2.63998334,2.68650287,72750,195443,N/A,N/A,0,-5,"NYSE","","","Common Stock",2.68650287,2.68650287
19931123,2.68650287,2.70976264,2.66324311,2.67487299,68052,182030,N/A,N/A,0,-5,"NYSE","","","Common Stock",2.67487299,2.67487299
19931124,2.66324311,2.68650287,2.66324311,2.67487299,47046,125842,N/A,N/A,0,-5,"NYSE","","","Common Stock",2.67487299,2.67487299
19931125,2.66324311,2.68650287,2.66324311,2.67487299,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",28.75000000,2.67487299
19931126,2.67487299,2.68650287,2.66324311,2.68650287,14448,38815,N/A,N/A,0,-5,"NYSE","","","Common Stock",2.68650287,2.68650287
19931129,2.66324311,2.68650287,2.63998334,2.65161323,64620,171347,N/A,N/A,0,-5,"NYSE","","","Common Stock",2.65161323,2.65161323
19931130,2.62835346,2.65161323,2.59346381,2.59346381,66504,172476,N/A,N/A,0,-5,"NYSE","","","Common Stock",2.59346381,2.59346381
19931201,2.60509370,2.62835346,2.59346381,2.60509370,39528,102974,N/A,N/A,0,-5,"NYSE","","","Common Stock",2.60509370,2.60509370
19931202,2.60509370,2.61672358,2.57020405,2.58183393,32430,83729,N/A,N/A,0,-5,"NYSE","","","Common Stock",2.58183393,2.58183393
19931203,2.57020405,2.59346381,2.55857417,2.58183393,51864,133904,N/A,N/A,0,-5,"NYSE","","","Common Stock",2.58183393,2.58183393
19931206,2.57020405,2.59346381,2.54694428,2.55857417,36012,92139,N/A,N/A,0,-5,"NYSE","","","Common Stock",2.55857417,2.55857417
19931207,2.54694428,2.59346381,2.54694428,2.59346381,43296,112287,N/A,N/A,0,-5,"NYSE","","","Common Stock",2.59346381,2.59346381
19931208,2.60509370,2.65161323,2.59346381,2.61672358,28434,74404,N/A,N/A,0,-5,"NYSE","","","Common Stock",2.61672358,2.61672358
19931209,2.63998334,2.66324311,2.61672358,2.66324311,19788,52700,N/A,N/A,0,-5,"NYSE","","","Common Stock",2.66324311,2.66324311
19931210,2.66324311,2.66324311,2.57020405,2.60509370,18960,49393,N/A,N/A,0,-5,"NYSE","","","Common Stock",2.60509370,2.60509370
19931213,2.62835346,2.63998334,2.57020405,2.58183393,19992,51616,N/A,N/A,0,-5,"NYSE","","","Common Stock",2.58183393,2.58183393
19931214,2.59346381,2.60509370,2.57020405,2.58183393,13404,34607,N/A,N/A,0,-5,"NYSE","","","Common Stock",2.58183393,2.58183393
