Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20210107,12.50000000,13.84000000,12.24000000,13.25000000,82279,1090197,N/A,N/A,0,-5,"NYSE","","","Common Stock",13.25000000,13.25000000
20210108,13.15000000,13.71000000,12.60000000,12.65000000,11548,146082,N/A,N/A,0,-5,"NYSE","","","Common Stock",12.65000000,12.65000000
20210111,12.51000000,12.65000000,12.41000000,12.49000000,7769,97035,N/A,N/A,0,-5,"NYSE","","","Common Stock",12.49000000,12.49000000
20210112,13.00000000,13.20000000,12.58000000,13.02000000,6521,84903,N/A,N/A,0,-5,"NYSE","","","Common Stock",13.02000000,13.02000000
20210113,13.17000000,13.59000000,13.05000000,13.23000000,3050,40352,N/A,N/A,0,-5,"NYSE","","","Common Stock",13.23000000,13.23000000
20210114,13.54000000,14.01000000,12.95000000,13.16000000,6477,85237,N/A,N/A,0,-5,"NYSE","","","Common Stock",13.16000000,13.16000000
20210115,13.00000000,13.16000000,12.42000000,12.50000000,4921,61513,N/A,N/A,0,-5,"NYSE","","","Common Stock",12.50000000,12.50000000
20210118,13.00000000,13.16000000,12.42000000,12.50000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",12.50000000,12.50000000
20210119,12.80000000,13.19000000,12.75000000,13.00000000,6650,86450,N/A,N/A,0,-5,"NYSE","","","Common Stock",13.00000000,13.00000000
20210120,13.07000000,13.59000000,12.93000000,13.24000000,4353,57634,N/A,N/A,0,-5,"NYSE","","","Common Stock",13.24000000,13.24000000
20210121,13.26000000,15.21000000,13.20000000,13.81000000,4007,55337,N/A,N/A,0,-5,"NYSE","","","Common Stock",13.81000000,13.81000000
20210122,14.03000000,15.04000000,13.93000000,13.93000000,6526,90907,N/A,N/A,0,-5,"NYSE","","","Common Stock",13.93000000,13.93000000
20210125,14.07000000,14.15000000,13.09000000,13.09000000,8306,108726,N/A,N/A,0,-5,"NYSE","","","Common Stock",13.09000000,13.09000000
20210126,13.11000000,13.77000000,12.54000000,12.54000000,5646,70801,N/A,N/A,0,-5,"NYSE","","","Common Stock",12.54000000,12.54000000
20210127,12.50000000,12.59000000,11.56000000,11.68000000,9175,107164,N/A,N/A,0,-5,"NYSE","","","Common Stock",11.68000000,11.68000000
20210128,11.89000000,12.15000000,11.88000000,11.93000000,7014,83677,N/A,N/A,0,-5,"NYSE","","","Common Stock",11.93000000,11.93000000
20210129,12.00000000,12.08000000,11.73000000,11.84000000,5278,62492,N/A,N/A,0,-5,"NYSE","","","Common Stock",11.84000000,11.84000000
20210201,12.01000000,12.40000000,11.91000000,11.95000000,14157,169176,N/A,N/A,0,-5,"NYSE","","","Common Stock",11.95000000,11.95000000
20210202,12.00000000,12.20000000,11.92000000,11.92000000,7565,90175,N/A,N/A,0,-5,"NYSE","","","Common Stock",11.92000000,11.92000000
20210203,12.10000000,12.38000000,12.10000000,12.18000000,4739,57721,N/A,N/A,0,-5,"NYSE","","","Common Stock",12.18000000,12.18000000
20210204,12.28000000,12.51000000,12.17000000,12.17000000,3726,45345,N/A,N/A,0,-5,"NYSE","","","Common Stock",12.17000000,12.17000000
20210205,12.36000000,12.75000000,12.36000000,12.37000000,4815,59562,N/A,N/A,0,-5,"NYSE","","","Common Stock",12.37000000,12.37000000
20210208,12.69000000,12.79000000,12.45000000,12.45000000,2427,30216,N/A,N/A,0,-5,"NYSE","","","Common Stock",12.45000000,12.45000000
20210209,12.38000000,12.75000000,12.38000000,12.60000000,2600,32760,N/A,N/A,0,-5,"NYSE","","","Common Stock",12.60000000,12.60000000
20210210,12.62000000,12.75000000,12.31900000,12.55000000,9326,117041,N/A,N/A,0,-5,"NYSE","","","Common Stock",12.55000000,12.55000000
20210211,12.47000000,12.79000000,12.13500000,12.38000000,2747,34008,N/A,N/A,0,-5,"NYSE","","","Common Stock",12.38000000,12.38000000
20210212,12.33000000,12.80000000,12.33000000,12.74000000,3703,47176,N/A,N/A,0,-5,"NYSE","","","Common Stock",12.74000000,12.74000000
20210215,12.33000000,12.80000000,12.33000000,12.74000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",12.74000000,12.74000000
20210216,12.93000000,13.19000000,12.86000000,13.11000000,7278,95415,N/A,N/A,0,-5,"NYSE","","","Common Stock",13.11000000,13.11000000
20210217,13.02000000,13.18000000,12.70000000,12.88000000,1853,23867,N/A,N/A,0,-5,"NYSE","","","Common Stock",12.88000000,12.88000000
20210218,12.74000000,12.95000000,12.49000000,12.92000000,1757,22700,N/A,N/A,0,-5,"NYSE","","","Common Stock",12.92000000,12.92000000
20210219,12.76000000,13.08000000,12.52000000,12.95000000,1838,23802,N/A,N/A,0,-5,"NYSE","","","Common Stock",12.95000000,12.95000000
