Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20040423,14.14867277,14.28845109,13.97783259,13.97783259,208959,2920794,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",13.97783259,13.97783259
20040426,13.97783259,14.00889444,13.66721409,13.82252334,59040,816082,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",13.82252334,13.82252334
20040427,13.81475788,14.04772175,13.78369603,13.97783259,13061,182564,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",13.97783259,13.97783259
20040428,13.97783259,14.00112898,13.82252334,13.86135065,7994,110808,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",13.86135065,13.86135065
20040429,13.82252334,13.82252334,13.66721409,13.68274501,5849,80030,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",13.68274501,13.68274501
20040430,13.66721409,13.80699241,13.66721409,13.74486871,3288,45193,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",13.74486871,13.74486871
20040503,13.86135065,13.92347435,13.78369603,13.86135065,5923,82101,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",13.86135065,13.86135065
20040504,13.86135065,13.87688158,13.58955946,13.82252334,12922,178615,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",13.82252334,13.82252334
20040505,13.78369603,13.83028880,13.78369603,13.79146149,2860,39444,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",13.79146149,13.79146149
20040506,13.76039964,13.77593056,13.65944862,13.74486871,4475,61508,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",13.74486871,13.74486871
20040507,13.70604140,13.70604140,13.58955946,13.60509039,3470,47210,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",13.60509039,13.60509039
20040510,13.58955946,13.58955946,13.39542290,13.40318836,6870,92080,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",13.40318836,13.40318836
20040511,13.41871929,13.62838677,13.41095382,13.44201567,4888,65705,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",13.44201567,13.44201567
20040512,13.41095382,13.44978114,13.31776827,13.33329920,4069,54253,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",13.33329920,13.33329920
20040513,13.31776827,13.37212651,13.24011365,13.24011365,1414,18722,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",13.24011365,13.24011365
20040514,13.24011365,13.28670642,13.04597708,13.05374255,9966,130094,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",13.05374255,13.05374255
20040517,13.04597708,13.05374255,12.81301321,12.82854413,3861,49531,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",12.82854413,12.82854413
20040518,12.73535858,12.83630959,12.54122202,12.73535858,5259,66975,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",12.73535858,12.73535858
20040519,12.69653127,13.00714977,12.69653127,12.81301321,2100,26907,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",12.81301321,12.81301321
20040520,12.81301321,12.93726061,12.81301321,12.90619876,1564,20185,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",12.90619876,12.90619876
20040521,12.81301321,12.95279153,12.65770396,12.86737144,2728,35102,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",12.86737144,12.86737144
20040524,12.73535858,12.96832246,12.70429673,12.83630959,2031,26071,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",12.83630959,12.83630959
20040525,12.77418589,13.08480440,12.73535858,13.08480440,3136,41034,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",13.08480440,13.08480440
20040526,13.00714977,13.20128633,12.85184052,12.99938431,1698,22073,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",12.99938431,12.99938431
20040527,13.00714977,13.24011365,13.00714977,13.20128633,4039,53320,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",13.20128633,13.20128633
20040528,13.20128633,13.24011365,13.08480440,13.20128633,3924,51802,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",13.20128633,13.20128633
20040531,13.20128633,13.24011365,13.08480440,13.20128633,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",17.00000000,13.20128633
20040601,13.20128633,13.20128633,13.08480440,13.13916263,2670,35082,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",13.13916263,13.13916263
20040602,13.20128633,13.47307752,13.06927347,13.20128633,3260,43036,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",13.20128633,13.20128633
20040603,13.24011365,13.38765744,13.10810078,13.34106466,2732,36448,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",13.34106466,13.34106466
