Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19960712,1320.00000000,1320.00000000,1320.00000000,1320.00000000,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Biotechnology","Common Stock",1320.00000000,1320.00000000
19960715,1452.00000000,1518.00000000,1452.00000000,1452.00000000,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Biotechnology","Common Stock",1452.00000000,1452.00000000
19960716,1386.00000000,1386.00000000,1320.00000000,1320.00000000,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Biotechnology","Common Stock",1320.00000000,1320.00000000
19960717,1254.00000000,1320.00000000,1254.00000000,1320.00000000,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Biotechnology","Common Stock",1320.00000000,1320.00000000
19960718,1320.00000000,1320.00000000,1254.00000000,1254.00000000,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Biotechnology","Common Stock",1254.00000000,1254.00000000
19960719,1254.00000000,1254.00000000,1188.00000000,1188.00000000,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Biotechnology","Common Stock",1188.00000000,1188.00000000
19960722,1188.00000000,1188.00000000,1122.00000000,1122.00000000,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Biotechnology","Common Stock",1122.00000000,1122.00000000
19960723,1056.00000000,1188.00000000,1056.00000000,1056.00000000,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Biotechnology","Common Stock",1056.00000000,1056.00000000
19960724,1056.00000000,1056.00000000,1023.00000000,1056.00000000,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Biotechnology","Common Stock",1056.00000000,1056.00000000
19960725,1056.00000000,1056.00000000,924.00000000,957.00000000,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Biotechnology","Common Stock",957.00000000,957.00000000
19960726,990.00000000,990.00000000,990.00000000,990.00000000,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Biotechnology","Common Stock",990.00000000,990.00000000
19960729,990.00000000,990.00000000,990.00000000,990.00000000,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Biotechnology","Common Stock",990.00000000,990.00000000
19960730,990.00000000,990.00000000,924.00000000,924.00000000,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Biotechnology","Common Stock",924.00000000,924.00000000
19960731,924.00000000,990.00000000,924.00000000,990.00000000,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Biotechnology","Common Stock",990.00000000,990.00000000
19960801,957.00000000,990.00000000,891.00000000,891.00000000,1,891,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Biotechnology","Common Stock",891.00000000,891.00000000
19960802,957.00000000,957.00000000,957.00000000,957.00000000,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Biotechnology","Common Stock",957.00000000,957.00000000
19960805,957.00000000,990.00000000,907.50000000,990.00000000,1,990,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Biotechnology","Common Stock",990.00000000,990.00000000
19960806,990.00000000,990.00000000,957.00000000,990.00000000,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Biotechnology","Common Stock",990.00000000,990.00000000
19960807,957.00000000,957.00000000,957.00000000,957.00000000,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Biotechnology","Common Stock",957.00000000,957.00000000
19960808,924.00000000,990.00000000,924.00000000,957.00000000,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Biotechnology","Common Stock",957.00000000,957.00000000
19960809,858.00000000,858.00000000,858.00000000,858.00000000,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Biotechnology","Common Stock",858.00000000,858.00000000
19960812,990.00000000,990.00000000,891.00000000,891.00000000,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Biotechnology","Common Stock",891.00000000,891.00000000
19960813,891.00000000,1023.00000000,891.00000000,990.00000000,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Biotechnology","Common Stock",990.00000000,990.00000000
19960814,1056.00000000,1221.00000000,1056.00000000,1155.00000000,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Biotechnology","Common Stock",1155.00000000,1155.00000000
19960815,1287.00000000,1485.00000000,1287.00000000,1419.00000000,1,1419,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Biotechnology","Common Stock",1419.00000000,1419.00000000
19960816,1452.00000000,1749.00000000,1386.00000000,1749.00000000,5,8745,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Biotechnology","Common Stock",1749.00000000,1749.00000000
19960819,1914.00000000,2277.00000000,1848.00000000,2277.00000000,15,34155,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Biotechnology","Common Stock",2277.00000000,2277.00000000
19960820,2112.00000000,2706.00000000,2046.00000000,2079.00000000,14,29106,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Biotechnology","Common Stock",2079.00000000,2079.00000000
19960821,2145.00000000,2145.00000000,1815.00000000,1914.00000000,5,9570,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Biotechnology","Common Stock",1914.00000000,1914.00000000
19960822,1881.00000000,2013.00000000,1815.00000000,1815.00000000,3,5445,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Biotechnology","Common Stock",1815.00000000,1815.00000000
19960823,1848.00000000,1914.00000000,1782.00000000,1848.00000000,3,5544,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Biotechnology","Common Stock",1848.00000000,1848.00000000
19960826,1815.00000000,1848.00000000,1815.00000000,1848.00000000,2,3696,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Biotechnology","Common Stock",1848.00000000,1848.00000000
19960827,1848.00000000,1881.00000000,1749.00000000,1881.00000000,2,3762,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Biotechnology","Common Stock",1881.00000000,1881.00000000
19960828,1881.00000000,2079.00000000,1881.00000000,2046.00000000,4,8184,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Biotechnology","Common Stock",2046.00000000,2046.00000000
19960829,2046.00000000,2145.00000000,1980.00000000,2079.00000000,3,6237,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Biotechnology","Common Stock",2079.00000000,2079.00000000
19960830,2145.00000000,2145.00000000,1947.00000000,2112.00000000,1,2112,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Biotechnology","Common Stock",2112.00000000,2112.00000000
19960902,2145.00000000,2145.00000000,1947.00000000,2112.00000000,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Biotechnology","Common Stock",4.00000000,2112.00000000
19960903,1980.00000000,2079.00000000,1914.00000000,2013.00000000,1,2013,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Biotechnology","Common Stock",2013.00000000,2013.00000000
19960904,2046.00000000,2046.00000000,1749.00000000,1831.50000000,2,3663,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Biotechnology","Common Stock",1831.50000000,1831.50000000
19960905,1848.00000000,1848.00000000,1716.00000000,1848.00000000,2,3696,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Biotechnology","Common Stock",1848.00000000,1848.00000000
19960906,1815.00000000,1848.00000000,1716.00000000,1848.00000000,5,9240,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Biotechnology","Common Stock",1848.00000000,1848.00000000
19960909,1815.00000000,1914.00000000,1815.00000000,1914.00000000,1,1914,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Biotechnology","Common Stock",1914.00000000,1914.00000000
