Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19870930,9.09792017,9.53115446,9.09792017,9.17012588,22924,210216,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",9.17012588,9.17012588
19871001,9.17012588,9.31453732,9.09792017,9.31453732,4684,43629,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",9.31453732,9.31453732
19871002,9.31453732,9.53115446,9.17012588,9.53115446,3719,35446,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",9.53115446,9.53115446
19871005,9.53115446,9.53115446,9.24233160,9.53115446,1216,11590,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",9.53115446,9.53115446
19871006,9.45894875,9.45894875,9.24233160,9.38674303,1595,14972,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",9.38674303,9.38674303
19871007,9.38674303,9.45894875,9.24233160,9.45894875,2235,21141,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",9.45894875,9.45894875
19871008,9.45894875,9.45894875,9.24233160,9.24233160,429,3965,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",9.24233160,9.24233160
19871009,9.24233160,9.53115446,9.24233160,9.53115446,1256,11971,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",9.53115446,9.53115446
19871012,9.53115446,9.53115446,9.24233160,9.53115446,556,5299,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",9.53115446,9.53115446
19871013,9.53115446,9.53115446,9.24233160,9.53115446,304,2897,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",9.53115446,9.53115446
19871014,9.53115446,9.53115446,9.24233160,9.31453732,645,6008,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",9.31453732,9.31453732
19871015,9.31453732,9.38674303,9.09792017,9.09792017,655,5959,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",9.09792017,9.09792017
19871016,9.09792017,9.17012588,8.52027444,8.80909731,887,7814,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",8.80909731,8.80909731
19871019,8.66468588,8.66468588,8.15924587,8.37586301,937,7848,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",8.37586301,8.37586301
19871020,8.30365730,8.30365730,6.49851441,7.50939443,1175,8824,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",7.50939443,7.50939443
19871021,7.50939443,7.79821729,7.07616013,7.50939443,683,5129,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",7.50939443,7.50939443
19871022,7.50939443,7.72601157,7.29277728,7.50939443,727,5459,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",7.50939443,7.50939443
19871023,7.50939443,7.58160014,6.93174870,7.43718871,3074,22862,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",7.43718871,7.43718871
19871026,7.43718871,7.43718871,7.07616013,7.07616013,292,2066,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",7.07616013,7.07616013
19871027,7.07616013,7.22057156,6.78733727,6.78733727,3257,22106,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",6.78733727,6.78733727
19871028,6.78733727,7.07616013,6.64292584,7.00395442,830,5813,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",7.00395442,7.00395442
19871029,7.00395442,7.07616013,6.71513155,6.93174870,1170,8110,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",6.93174870,6.93174870
19871030,6.93174870,7.22057156,6.93174870,7.22057156,1693,12224,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",7.22057156,7.22057156
19871102,7.22057156,7.22057156,7.00395442,7.07616013,133,941,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",7.07616013,7.07616013
19871103,7.07616013,7.22057156,6.78733727,6.93174870,1431,9919,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",6.93174870,6.93174870
19871104,6.93174870,7.07616013,6.78733727,6.93174870,1738,12047,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",6.93174870,6.93174870
19871105,6.93174870,7.07616013,6.78733727,7.00395442,2193,15360,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Textile Manufacturers","Common Stock",7.00395442,7.00395442
