Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19930527,4.34520032,4.34520032,4.21108920,4.21108920,28389,119549,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",4.21108920,4.21108920
19930528,4.21108920,4.26473364,4.18426697,4.23791142,6031,25559,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",4.23791142,4.23791142
19930531,4.21108920,4.26473364,4.18426697,4.23791142,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",19.75000000,4.23791142
19930601,4.21108920,4.21108920,4.18426697,4.18426697,4552,19047,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",4.18426697,4.18426697
19930602,4.18426697,4.37202254,4.18426697,4.37202254,6164,26949,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",4.37202254,4.37202254
19930603,4.34520032,4.34520032,4.23791142,4.23791142,2169,9192,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",4.23791142,4.23791142
19930604,4.23791142,4.26473364,4.21108920,4.23791142,586,2483,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",4.23791142,4.23791142
19930607,4.23791142,4.23791142,4.18426697,4.18426697,1484,6209,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",4.18426697,4.18426697
19930608,4.18426697,4.21108920,4.18426697,4.18426697,1698,7105,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",4.18426697,4.18426697
19930609,4.18426697,4.23791142,4.18426697,4.21108920,2258,9509,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",4.21108920,4.21108920
19930610,4.23791142,4.23791142,4.18426697,4.21108920,780,3285,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",4.21108920,4.21108920
19930611,4.21108920,4.21108920,4.18426697,4.18426697,1094,4578,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",4.18426697,4.18426697
19930614,4.18426697,4.21108920,4.18426697,4.18426697,726,3038,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",4.18426697,4.18426697
19930615,4.18426697,4.21108920,4.18426697,4.18426697,386,1615,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",4.18426697,4.18426697
19930616,4.18426697,4.21108920,4.18426697,4.18426697,1097,4590,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",4.18426697,4.18426697
19930617,4.21108920,4.21108920,4.18426697,4.18426697,866,3624,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",4.18426697,4.18426697
19930618,4.21108920,4.21108920,4.18426697,4.18426697,961,4021,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",4.18426697,4.18426697
19930621,4.21108920,4.21108920,4.18426697,4.21108920,614,2586,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",4.21108920,4.21108920
19930622,4.18426697,4.21108920,4.18426697,4.18426697,647,2707,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",4.18426697,4.18426697
19930623,4.18426697,4.21108920,4.18426697,4.18426697,369,1544,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",4.18426697,4.18426697
19930624,4.21108920,4.23791142,4.18426697,4.18426697,629,2632,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",4.18426697,4.18426697
19930625,4.18426697,4.21108920,4.18426697,4.18426697,179,749,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",4.18426697,4.18426697
19930628,4.18426697,4.31837809,4.18426697,4.29155587,617,2648,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",4.29155587,4.29155587
19930629,4.29155587,4.31837809,4.23791142,4.23791142,476,2017,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",4.23791142,4.23791142
19930630,4.26473364,4.31837809,4.23791142,4.31837809,995,4297,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",4.31837809,4.31837809
19930701,4.29155587,4.31837809,4.29155587,4.29155587,274,1176,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",4.29155587,4.29155587
19930702,4.31837809,4.31837809,4.29155587,4.31837809,463,1999,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",4.31837809,4.31837809
19930705,4.31837809,4.31837809,4.29155587,4.31837809,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",20.12500000,4.31837809
19930706,4.31514174,4.34211137,4.26120246,4.26120246,966,4116,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",4.26120246,4.26120246
19930707,4.23423283,4.26120246,4.23423283,4.23423283,115,487,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",4.23423283,4.23423283
19930708,4.23423283,4.26120246,4.23423283,4.26120246,141,601,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",4.26120246,4.26120246
19930709,4.26120246,4.28817210,4.20726319,4.20726319,413,1738,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",4.20726319,4.20726319
19930712,4.20726319,4.26120246,4.20726319,4.20726319,209,879,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",4.20726319,4.20726319
19930713,4.23423283,4.26120246,4.23423283,4.26120246,87,371,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",4.26120246,4.26120246
19930714,4.23423283,4.26120246,4.20726319,4.20726319,476,2003,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",4.20726319,4.20726319
19930715,4.20726319,4.28817210,4.20726319,4.20726319,1029,4329,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",4.20726319,4.20726319
19930716,4.23423283,4.23423283,4.20726319,4.23423283,163,690,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",4.23423283,4.23423283
