Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20110419,24.93866021,25.99111743,24.48107011,25.57928634,200333,5124375,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",25.57928634,25.57928634
20110420,25.67995616,25.93620661,25.51522373,25.71656337,26332,677169,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",25.71656337,25.71656337
20110421,26.08263545,26.58598455,25.93620661,26.58598455,9691,257645,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",26.58598455,26.58598455
20110422,26.08263545,26.58598455,25.93620661,26.58598455,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",29.05000000,26.58598455
20110425,26.50361833,26.58598455,26.01857283,26.35718950,3243,85476,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",26.35718950,26.35718950
20110426,26.35718950,26.46701113,26.09178725,26.35718950,3476,91618,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",26.35718950,26.35718950
20110427,26.26567148,26.32973410,25.62504535,26.13754626,4145,108340,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",26.13754626,26.13754626
20110428,25.94535842,26.00026923,25.54267913,25.64334895,4798,123037,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",25.64334895,25.64334895
20110429,25.46031292,25.52437553,24.86544579,25.25897327,7170,181107,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",25.25897327,25.25897327
20110502,25.16745525,25.39625030,25.16745525,25.32303589,4400,111421,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",25.32303589,25.32303589
20110503,25.23151787,25.23151787,24.73732056,24.82883858,2380,59093,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",24.82883858,24.82883858
20110504,24.76477597,24.76477597,24.33464128,24.42615930,3242,79190,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",24.42615930,24.42615930
20110505,24.38955209,24.44446290,24.25227506,24.36209669,8707,212121,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",24.36209669,24.36209669
20110506,24.54513272,24.54513272,24.16075704,24.49022191,3445,84369,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",24.49022191,24.49022191
20110509,24.64580255,25.10339264,24.48107011,24.95696381,1840,45921,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",24.95696381,24.95696381
20110510,25.13999985,25.44200931,25.13999985,25.39625030,3543,89979,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",25.39625030,25.39625030
20110511,25.30473228,25.82638499,25.05763363,25.45116111,2172,55280,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",25.45116111,25.45116111
20110512,25.67080436,26.29312689,25.35049129,26.21991247,1080,28318,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",26.21991247,26.21991247
20110513,26.31143049,26.51277013,26.24736788,26.49446653,4312,114244,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",26.49446653,26.49446653
20110516,26.35718950,26.61343996,26.18330527,26.52192194,2709,71848,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",26.52192194,26.52192194
20110517,26.63174356,26.63174356,26.06433184,26.12839445,1721,44967,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",26.12839445,26.12839445
20110518,26.21991247,26.67750257,26.07348364,26.54022554,2701,71685,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",26.54022554,26.54022554
20110519,26.65919897,27.11678906,26.54022554,27.03442284,4002,108192,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",27.03442284,27.03442284
20110520,27.08018185,27.40049492,26.63174356,27.18085167,10699,290808,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",27.18085167,27.18085167
20110523,27.13509266,27.13509266,26.26567148,26.31143049,969,25496,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",26.31143049,26.31143049
20110524,26.32058229,26.38464491,26.12839445,26.33888590,596,15698,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",26.33888590,26.33888590
20110525,26.17415346,26.37549311,25.67995616,25.82638499,913,23579,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",25.82638499,25.82638499
20110526,25.53352733,26.22906428,25.53352733,26.12839445,848,22157,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",26.12839445,26.12839445
20110527,26.17415346,26.18330527,25.85384040,26.01857283,1174,30546,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",26.01857283,26.01857283
20110530,26.17415346,26.18330527,25.85384040,26.01857283,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",28.43000000,26.01857283
20110531,26.03687644,26.38464491,26.03687644,26.08263545,2360,61555,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",26.08263545,26.08263545
20110601,26.31143049,26.31143049,25.35049129,25.43285751,2535,64472,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",25.43285751,25.43285751
20110602,25.77147418,25.93620661,25.22236607,25.24982147,1192,30098,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",25.24982147,25.24982147
20110603,24.93866021,25.05763363,24.13330164,24.13330164,6109,147430,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",24.13330164,24.13330164
20110606,24.18821245,24.30718587,23.38285388,23.56588992,6185,145755,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",23.56588992,23.56588992
20110607,23.75807776,23.75807776,22.71477234,22.81544216,9565,218230,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",22.81544216,22.81544216
20110608,22.92526379,22.97102280,22.22972684,22.55919171,10643,240097,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",22.55919171,22.55919171
20110609,22.55919171,23.06254081,22.28463765,22.78798676,7754,176698,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",22.78798676,22.78798676
20110610,22.70562054,22.87950478,22.33954846,22.79713856,4274,97435,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",22.79713856,22.79713856
20110613,22.95271919,23.86789938,22.77883496,23.45606830,9781,229424,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",23.45606830,23.45606830
20110614,23.49267550,24.20651605,23.49267550,24.09669443,5039,121423,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",24.09669443,24.09669443
20110615,23.93196200,24.10584623,23.45606830,23.59334533,5115,120680,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",23.59334533,23.59334533
20110616,23.79468497,23.86789938,23.53843451,23.56588992,3807,89715,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",23.56588992,23.56588992
20110617,23.73062235,23.86789938,23.33709487,23.70316695,5399,127973,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",23.70316695,23.70316695
20110620,23.64825614,23.83129218,23.34624667,23.62080073,2476,58485,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",23.62080073,23.62080073
20110621,23.99602461,23.99602461,23.48352370,23.62080073,3768,89003,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",23.62080073,23.62080073
20110622,23.74892596,23.79468497,23.19981784,23.51097911,5864,137868,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",23.51097911,23.51097911
20110623,23.20896965,23.47437190,22.73307595,22.87035297,6441,147308,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",22.87035297,22.87035297
20110624,22.87035297,22.92526379,21.54334170,21.55249350,37191,801559,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",21.55249350,21.55249350
20110627,21.55249350,22.05584260,21.06744800,21.94602098,7507,164749,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",21.94602098,21.94602098
20110628,21.97347639,22.80629036,21.97347639,22.77883496,4528,103143,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",22.77883496,22.77883496
20110629,22.95271919,22.98932640,22.20227144,22.42191468,2979,66795,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",22.42191468,22.42191468
20110630,22.44021828,22.52258450,21.70807413,22.22972684,3720,82695,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",22.22972684,22.22972684
20110701,22.41276288,22.95271919,22.41276288,22.93441559,3555,81532,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",22.93441559,22.93441559
20110704,22.41276288,22.95271919,22.41276288,22.93441559,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",25.06000000,22.93441559
20110705,22.80629036,22.98017460,22.77883496,22.86120117,2803,64080,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",22.86120117,22.86120117
20110706,22.76053135,22.90696018,22.65986153,22.88865658,3824,87526,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",22.88865658,22.88865658
20110707,23.20896965,23.20896965,22.86120117,22.93441559,3183,73000,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",22.93441559,22.93441559
20110708,22.65070973,22.94356739,22.65070973,22.89780838,3969,90881,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",22.89780838,22.89780838
20110711,22.63240612,22.87950478,22.56834351,22.73307595,2669,60675,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",22.73307595,22.73307595
20110712,22.60495072,22.78798676,22.33954846,22.41276288,1654,37071,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",22.41276288,22.41276288
20110713,22.45852189,22.51343270,22.31209306,22.47682549,2146,48235,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",22.47682549,22.47682549
20110714,22.52258450,22.71477234,22.49512910,22.65986153,3651,82731,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",22.65986153,22.65986153
20110715,22.69646874,22.70562054,22.28463765,22.62325432,4606,104203,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",22.62325432,22.62325432
20110718,22.56834351,22.57749531,22.33039666,22.50428090,3695,83153,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",22.50428090,22.50428090
20110719,22.54088811,22.88865658,22.41276288,22.71477234,2981,67713,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",22.71477234,22.71477234
20110720,22.74222775,22.88865658,22.54088811,22.76968315,2658,60522,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",22.76968315,22.76968315
20110721,22.86120117,22.90696018,22.69646874,22.83374577,2763,63090,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",22.83374577,22.83374577
20110722,22.79713856,22.86120117,22.48597729,22.83374577,1053,24044,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",22.83374577,22.83374577
20110725,22.63240612,22.87035297,22.55919171,22.81544216,702,16016,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",22.81544216,22.81544216
20110726,22.72392414,23.01678181,22.72392414,22.84289757,1226,28005,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",22.84289757,22.84289757
20110727,22.77883496,22.81544216,22.59579892,22.64155793,1541,34891,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",22.64155793,22.64155793
20110728,22.63240612,22.87950478,22.30294126,22.40361108,1240,27780,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",22.40361108,22.40361108
20110729,22.18396783,22.63240612,22.15651243,22.35785207,1449,32397,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",22.35785207,22.35785207
20110801,22.56834351,22.57749531,22.16566423,22.29378945,2812,62690,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",22.29378945,22.29378945
20110802,22.23887864,22.23887864,21.36945746,21.45182368,3383,72572,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",21.45182368,21.45182368
20110803,21.52503809,21.58910071,21.14066241,21.38776107,1444,30884,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",21.38776107,21.38776107
20110804,21.22302863,21.22302863,20.40851826,20.43597367,3050,62330,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",20.43597367,20.43597367
20110805,20.66476871,20.70137592,20.13396420,20.60985790,3209,66137,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",20.60985790,20.60985790
20110808,20.06074979,20.22548222,18.51409527,18.64222049,4491,83722,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",18.64222049,18.64222049
20110809,18.66967590,19.38351645,18.18463040,19.37436464,3982,77149,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",19.37436464,19.37436464
20110810,18.98083716,19.12726599,18.54155067,18.66967590,1722,32149,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",18.66967590,18.66967590
20110811,19.11811419,19.96007997,18.53239887,19.49333807,4874,95011,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",19.49333807,19.49333807
20110812,20.13396420,22.68731694,20.13396420,20.64646511,4029,83185,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",20.64646511,20.64646511
20110815,20.86610836,21.26878764,20.77459034,20.87526016,1983,41396,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",20.87526016,20.87526016
20110816,20.57325070,20.63731331,20.12481240,20.53664349,1028,21112,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",20.53664349,20.53664349
20110817,20.69222412,20.94847457,20.25293763,20.43597367,1150,23501,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",20.43597367,20.43597367
20110818,20.14311601,20.57325070,19.31945383,19.64891870,843,16564,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",19.64891870,19.64891870
20110819,19.39266825,19.62146330,19.18217680,19.35606104,2164,41887,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",19.35606104,19.35606104
20110822,19.80449933,20.17972321,19.45673086,19.58485609,5275,103310,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",19.58485609,19.58485609
20110823,19.96007997,20.12481240,19.71298132,19.98753537,3001,59983,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",19.98753537,19.98753537
20110824,20.05159799,20.19802682,19.95092817,20.04244618,1691,33892,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",20.04244618,20.04244618
20110825,20.23463402,20.23463402,19.35606104,19.67637411,1226,24123,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",19.67637411,19.67637411
20110826,19.63061510,20.18887501,19.24623942,20.02414258,1718,34401,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",20.02414258,20.02414258
20110829,20.31700024,20.97592998,20.18887501,20.68307232,1475,30508,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",20.68307232,20.68307232
20110830,20.63731331,20.88441196,20.32615204,20.69222412,1207,24976,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",20.69222412,20.69222412
20110831,20.68307232,21.02168899,20.65561691,20.87526016,1046,21836,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",20.87526016,20.87526016
20110901,20.84780475,20.99423358,20.31700024,20.47258087,1101,22540,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",20.47258087,20.47258087
20110902,20.04244618,20.99423358,20.04244618,20.09735700,1051,21122,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",20.09735700,20.09735700
20110905,20.04244618,20.99423358,20.04244618,20.09735700,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",21.96000000,20.09735700
20110906,19.57570429,19.98753537,19.31945383,19.64891870,2763,54290,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",19.64891870,19.64891870
20110907,19.91432096,20.13396420,19.65807050,19.93262456,2713,54077,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",19.93262456,19.93262456
20110908,19.82280294,19.88686555,19.46588266,19.73128492,605,11937,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",19.73128492,19.73128492
20110909,19.79534753,20.19802682,19.30115023,19.31945383,2095,40474,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",19.31945383,19.31945383
20110912,19.10896239,19.63976690,18.55070247,18.58730968,1597,29684,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",18.58730968,18.58730968
20110913,18.68797950,19.32860564,18.68797950,19.21878401,1635,31423,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",19.21878401,19.21878401
20110914,19.33775744,19.43842726,18.94422995,18.99914077,1759,33419,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",18.99914077,18.99914077
20110915,19.17302500,19.17302500,18.50494346,18.63306869,1558,29030,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",18.63306869,18.63306869
20110916,18.74289031,18.80695293,18.50494346,18.52324707,1074,19894,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",18.52324707,18.52324707
20110919,18.31275562,18.41342544,18.07480877,18.32190743,970,17772,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",18.32190743,18.32190743
20110920,18.34936283,18.84356013,18.06565697,18.08396058,759,13726,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",18.08396058,18.08396058
20110921,18.08396058,18.33105923,17.96498715,17.98329075,1154,20753,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",17.98329075,17.98329075
20110922,17.50739705,18.45918445,16.76610110,18.05650517,5033,90878,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",18.05650517,18.05650517
20110923,18.04735337,18.24869301,17.77279931,18.19378220,3961,72066,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",18.19378220,18.19378220
20110926,18.26699661,18.66052410,18.22123760,18.64222049,9859,183794,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",18.64222049,18.64222049
20110927,19.00829257,20.06990159,19.00829257,19.34690924,8014,155046,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",19.34690924,19.34690924
20110928,19.31945383,19.53909708,19.00829257,19.01744437,3437,65363,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",19.01744437,19.01744437
20110929,19.41097185,19.61231149,18.89847095,19.12726599,1885,36055,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",19.12726599,19.12726599
20110930,19.23708762,19.29199843,17.51654886,17.57145967,3976,69864,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",17.57145967,17.57145967
20111003,17.42503084,17.55315606,16.21699299,16.43663623,4879,80194,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",16.43663623,16.43663623
20111004,16.31766281,16.41833263,15.77770649,16.31766281,2793,45575,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",16.31766281,16.31766281
20111005,16.35427001,17.04065516,16.00650154,17.02235155,5114,87052,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",17.02235155,17.02235155
20111006,16.99489615,17.47994165,16.95828894,17.36096822,4059,70468,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",17.36096822,17.36096822
20111007,17.43418264,17.54400426,16.56476146,16.91252993,1475,24946,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",16.91252993,16.91252993
20111010,17.27860201,17.58061147,17.04980696,17.55315606,850,14920,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",17.55315606,17.55315606
