Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20190409,57.86608083,58.64495129,57.58648631,57.95595050,106083,6148141,N/A,N/A,28364148,488700,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",57.95595050,57.95595050
20190410,56.88750000,57.85609531,56.79763033,57.21702212,54564,3121990,N/A,N/A,28002510,488700,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",57.21702212,57.21702212
20190411,55.73916535,55.93887572,55.15001975,55.51948394,54874,3046576,N/A,N/A,27171720,488700,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",55.51948394,55.51948394
20190412,53.98171406,54.73062796,53.70211954,54.35117825,47016,2555375,N/A,N/A,26599941,488700,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",54.35117825,54.35117825
20190415,55.01022249,56.13858610,54.65074381,55.66926672,43699,2432691,N/A,N/A,27245025,488700,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",55.66926672,55.66926672
20190416,55.75913639,57.15710900,55.20993286,56.93742759,43225,2461120,N/A,N/A,27865674,488700,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",56.93742759,56.93742759
20190417,56.59791996,57.41673249,56.22845577,56.52802133,41124,2324658,N/A,N/A,27665307,488700,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",56.52802133,56.52802133
20190418,55.10009215,55.66926672,55.05016456,55.24987493,38934,2151099,N/A,N/A,27039771,488700,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",55.24987493,55.24987493
20190419,55.10009215,55.66926672,55.05016456,55.24987493,0,0,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",55.33000000,55.24987493
20190422,54.63077278,55.11407188,54.57085966,54.92035282,18789,1031899,N/A,N/A,26878500,488700,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",54.92035282,54.92035282
20190423,54.38113481,55.94886124,54.33120721,55.76912191,50699,2827439,N/A,N/A,27293895,488700,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",55.76912191,55.76912191
20190424,55.65928120,56.94741311,55.35971564,56.56796340,46450,2627582,N/A,N/A,27684855,488700,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",56.56796340,56.56796340
20190425,57.51658768,58.60500922,57.46666008,57.79618220,29456,1702444,N/A,N/A,28285956,488700,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",57.79618220,57.79618220
20190426,57.60645735,58.14567536,57.25696419,58.03583465,10012,581055,N/A,N/A,28403244,488700,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",58.03583465,58.03583465
20190429,57.24697867,57.87606635,56.93742759,57.33684834,15038,862232,N/A,N/A,28061154,488700,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",57.33684834,57.33684834
20190430,57.25696419,58.12570432,57.09719589,58.11571880,9061,526587,N/A,N/A,28442340,488700,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",58.11571880,58.11571880
20190501,58.21557399,58.70486440,57.91600843,58.03583465,15849,919810,N/A,N/A,28403244,488700,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",58.03583465,58.03583465
20190502,58.39531332,59.67345972,58.34538573,59.55363349,23143,1378250,N/A,N/A,29146068,488700,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",59.55363349,59.55363349
20190503,59.19415482,59.26405345,57.94596498,58.41528436,18922,1105334,N/A,N/A,28588950,488700,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",58.41528436,58.41528436
20190506,58.11571880,59.64350316,57.97592154,59.46376382,14497,862046,N/A,N/A,29102085,488700,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",59.46376382,59.46376382
20190507,59.17418378,59.17418378,57.79618220,58.24553054,11507,670231,N/A,N/A,28505871,488700,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",58.24553054,58.24553054
20190508,58.88460374,60.91166403,58.81470511,60.59212744,22467,1361323,N/A,N/A,29654316,488700,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",60.59212744,60.59212744
20190509,59.55363349,61.03149026,59.44379279,60.60211295,19563,1185559,N/A,N/A,29659203,488700,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",60.60211295,60.60211295
20190510,60.95160611,63.63771064,60.94162059,63.23828989,19445,1229669,N/A,N/A,30949371,488700,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",63.23828989,63.23828989
20190513,62.48937599,62.78794300,61.40095445,61.55073723,15447,950774,N/A,N/A,30123468,488700,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",61.55073723,61.55073723
20190514,60.86173644,60.97157715,59.52367694,59.77331490,12818,766174,N/A,N/A,29253582,488700,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",59.77331490,59.77331490
20190515,59.89314113,61.31108478,59.88315561,60.76188125,8705,528932,N/A,N/A,29737395,488700,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",60.76188125,60.76188125
20190516,61.66057794,62.00008557,60.77186677,61.05146130,10660,650809,N/A,N/A,29879118,488700,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",61.05146130,61.05146130
