Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20131118,46.45597196,46.68941905,44.34561022,45.27006071,5871,265781,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",45.27006071,45.27006071
20131119,45.74629279,45.75563067,42.30061366,42.76750785,16820,719349,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",42.76750785,42.76750785
20131120,42.93558976,42.95426553,41.07735088,41.69365121,11069,461507,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",41.69365121,41.69365121
20131121,41.55358296,42.16054541,40.19025192,40.89059321,7302,298583,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",40.89059321,40.89059321
20131122,40.99330993,41.18006761,40.38634748,41.07735088,9476,389249,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",41.07735088,41.07735088
20131125,41.34814951,42.59942594,40.80655225,41.25477068,7273,300046,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",41.25477068,41.25477068
20131126,42.02047715,42.02047715,40.19025192,40.33965806,8737,352448,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",40.33965806,40.33965806
20131127,40.66648400,40.66648400,39.68600620,40.37700960,11533,465668,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",40.37700960,40.37700960
20131128,40.66648400,40.66648400,39.68600620,40.37700960,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Security","Common Stock",43.24000000,40.37700960
20131129,39.91945329,40.94662051,39.91945329,40.37700960,9499,383541,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",40.37700960,40.37700960
20131202,40.22760346,40.77853860,38.77089358,40.28363076,51307,2066832,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",40.28363076,40.28363076
20131203,39.96614271,41.88040889,39.87276387,40.05952155,32393,1297648,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",40.05952155,40.05952155
20131204,39.62064101,39.78872292,38.89228607,39.06036798,27777,1084980,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",39.06036798,39.06036798
20131205,39.48057275,39.48057275,37.93982192,38.33201304,33805,1295814,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",38.33201304,38.33201304
20131206,38.05187653,38.34135093,37.94915981,38.00518711,46623,1771916,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",38.00518711,38.00518711
20131209,38.00518711,38.53744649,37.57564445,38.45340553,30740,1182058,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",38.45340553,38.45340553
20131210,38.35068881,40.00349425,38.32267516,39.74203350,32894,1307274,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",39.74203350,39.74203350
20131211,39.51792429,40.17157615,39.21911201,39.64865466,33673,1335089,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",39.64865466,39.64865466
20131212,39.22844989,40.24627922,39.21911201,40.12488673,17705,710411,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",40.12488673,40.12488673
20131213,40.07819732,40.89993109,40.07819732,40.38634748,6838,276162,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",40.38634748,40.38634748
20131216,40.16223827,41.07735088,39.32182873,40.79721437,19539,797137,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",40.79721437,40.79721437
20131217,40.55442939,41.08668877,40.30230653,40.85324167,13967,570597,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",40.85324167,40.85324167
20131218,40.75986283,41.55358296,40.24627922,41.33881163,12252,506483,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",41.33881163,41.33881163
20131219,41.04933723,41.55358296,40.91860686,41.50689354,5930,246136,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",41.50689354,41.50689354
20131220,41.36682528,41.50689354,41.00264781,41.32947375,28786,1189710,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",41.32947375,41.32947375
20131223,41.24543279,41.88040889,40.66648400,41.69365121,7736,322542,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",41.69365121,41.69365121
20131224,41.79636794,42.03915292,41.32013586,41.62828603,3047,126841,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",41.62828603,41.62828603
20131225,41.79636794,42.03915292,41.32013586,41.62828603,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Security","Common Stock",44.58000000,41.62828603
20131226,41.88974677,42.02981503,41.49755565,41.74034063,5132,214211,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",41.74034063,41.74034063
20131227,41.80570582,41.99246350,41.17072972,41.68431333,3933,163944,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",41.68431333,41.68431333
20131230,41.50689354,41.90842254,41.08668877,41.19874337,3815,157173,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",41.19874337,41.19874337
20131231,41.30146009,41.55358296,40.86257956,41.26410856,8742,360731,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",41.26410856,41.26410856
20140101,41.30146009,41.55358296,40.86257956,41.26410856,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Security","Common Stock",44.19000000,41.26410856
20140102,41.16139184,41.25477068,40.40502325,40.75986283,9929,404705,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",40.75986283,40.75986283
20140103,40.68515976,41.38550105,40.31164441,41.04933723,3784,155331,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",41.04933723,41.04933723
20140106,41.05867512,41.06801300,40.49840209,40.78787649,5978,243830,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",40.78787649,40.78787649
20140107,39.36851815,41.06801300,39.36851815,40.96529628,13713,561757,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",40.96529628,40.96529628
20140108,41.10536453,41.42285258,40.52641574,40.97463416,14071,576554,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",40.97463416,40.97463416
20140109,40.98397205,41.32013586,40.93728263,41.20808126,10935,450610,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",41.20808126,41.20808126
20140110,41.24543279,43.02896860,41.10536453,42.70214267,20086,857715,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",42.70214267,42.70214267
20140113,42.67412901,44.29892080,42.20723482,43.92540545,22785,1000840,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",43.92540545,43.92540545
20140114,44.03746005,44.71912557,43.80401296,44.63508462,23382,1043658,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",44.63508462,44.63508462
20140115,44.79382864,45.93305046,44.13083889,44.35494810,17330,768671,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",44.35494810,44.35494810
20140116,44.14951466,44.52303001,43.92540545,44.26156926,11787,521711,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",44.26156926,44.26156926
20140117,44.37362387,45.04595150,43.88805391,44.82184229,15721,704644,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",44.82184229,44.82184229
20140120,44.37362387,45.04595150,43.88805391,44.82184229,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Security","Common Stock",48.00000000,44.82184229
20140121,46.11047026,46.11047026,44.76581499,44.98058632,15704,706375,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",44.98058632,44.98058632
20140122,44.92455901,45.90503681,44.89654536,45.29807437,6822,309023,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",45.29807437,45.29807437
20140123,45.45681839,45.45681839,44.42965117,44.56038154,8676,386606,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",44.56038154,44.56038154
20140124,44.46700271,44.55104366,42.79552150,43.73864777,14175,619995,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",43.73864777,43.73864777
20140127,42.20723482,44.82184229,42.20723482,43.51453856,7178,312347,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",43.51453856,43.51453856
20140128,43.67328258,44.70978769,43.67328258,44.56971943,7217,321660,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",44.56971943,44.56971943
20140129,44.21487984,45.27006071,44.00944640,44.61640885,8009,357333,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",44.61640885,44.61640885
20140130,44.73780134,46.34391735,44.66309827,46.14782179,12471,575509,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",46.14782179,46.14782179
20140131,45.98907777,46.65206752,45.78364432,46.08245661,20111,926764,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",46.08245661,46.08245661
20140203,46.08245661,46.63339175,44.07481159,44.29892080,11848,524854,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Security","Common Stock",44.29892080,44.29892080
