Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20120315,19.57812927,20.00374078,19.32276237,19.91861848,139113,2770939,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",19.91861848,19.91861848
20120316,20.13142423,21.22098969,20.04630193,20.89752494,20630,431116,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",20.89752494,20.89752494
20120319,20.85496379,21.28057530,20.48042567,21.15289184,9743,206093,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",21.15289184,21.15289184
20120320,21.03372062,21.45081990,20.64215804,21.11033069,4444,93814,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",21.11033069,21.11033069
20120321,20.98264724,21.43379544,20.54001128,20.64215804,7823,161484,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",20.64215804,20.64215804
20120322,20.55703574,20.56554797,19.51003143,19.97820409,7658,152993,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",19.97820409,19.97820409
20120323,20.00374078,20.13993646,19.79093503,20.02076524,4006,80203,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",20.02076524,20.02076524
20120326,20.38679113,20.55703574,19.83349618,20.42935228,2999,61268,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",20.42935228,20.42935228
20120327,20.26761991,20.55703574,20.26761991,20.42935228,2830,57815,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",20.42935228,20.42935228
20120328,20.42935228,20.49745013,20.08886308,20.42935228,3295,67315,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Parts","Common Stock",20.42935228,20.42935228
