Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20170504,14.10977656,14.44739198,13.73394052,14.01422502,137408,1925667,N/A,N/A,0,-5,"NYSE","Energy","Energy/Transportation","Common Stock",14.01422502,14.01422502
20170505,14.01422502,14.28813942,14.01422502,14.19258789,19257,273307,N/A,N/A,0,-5,"NYSE","Energy","Energy/Transportation","Common Stock",14.19258789,14.19258789
20170508,14.13525697,14.23080850,13.84860236,14.03333533,13122,184145,N/A,N/A,0,-5,"NYSE","Energy","Energy/Transportation","Common Stock",14.03333533,14.03333533
20170509,14.01422502,14.06136378,13.79127144,14.01422502,8184,114692,N/A,N/A,0,-5,"NYSE","Energy","Energy/Transportation","Common Stock",14.01422502,14.01422502
20170510,13.95689410,13.98874461,13.57468797,13.72120032,11546,158425,N/A,N/A,0,-5,"NYSE","Energy","Energy/Transportation","Common Stock",13.72120032,13.72120032
20170511,13.79127144,13.86134257,13.51735705,13.53646735,8533,115507,N/A,N/A,0,-5,"NYSE","Energy","Energy/Transportation","Common Stock",13.53646735,13.53646735
20170512,13.53646735,13.73394052,13.35810449,13.69571991,6712,91926,N/A,N/A,0,-5,"NYSE","Energy","Energy/Transportation","Common Stock",13.69571991,13.69571991
20170515,13.82312196,13.85497247,13.51735705,13.56194776,8527,115643,N/A,N/A,0,-5,"NYSE","Energy","Energy/Transportation","Common Stock",13.56194776,13.56194776
20170516,13.56831786,13.82949206,13.47913643,13.60016838,14203,193163,N/A,N/A,0,-5,"NYSE","Energy","Energy/Transportation","Common Stock",13.60016838,13.60016838
20170517,13.65112919,13.65112919,13.37721480,13.37721480,9296,124355,N/A,N/A,0,-5,"NYSE","Energy","Energy/Transportation","Common Stock",13.37721480,13.37721480
20170518,13.40269520,13.44091582,13.26892306,13.38358490,4808,64348,N/A,N/A,0,-5,"NYSE","Energy","Energy/Transportation","Common Stock",13.38358490,13.38358490
20170519,13.30714367,13.45365602,13.17337152,13.37721480,9161,122549,N/A,N/A,0,-5,"NYSE","Energy","Energy/Transportation","Common Stock",13.37721480,13.37721480
20170522,13.47276633,13.95689410,13.44091582,13.95689410,4843,67593,N/A,N/A,0,-5,"NYSE","Energy","Energy/Transportation","Common Stock",13.95689410,13.95689410
20170523,13.70846011,14.14799717,13.70846011,14.03333533,8737,122609,N/A,N/A,0,-5,"NYSE","Energy","Energy/Transportation","Common Stock",14.03333533,14.03333533
20170524,13.97600441,14.07155594,13.69571991,13.81038175,9113,125854,N/A,N/A,0,-5,"NYSE","Energy","Energy/Transportation","Common Stock",13.81038175,13.81038175
20170525,13.67660960,14.16073738,13.63838899,14.05244564,6566,92268,N/A,N/A,0,-5,"NYSE","Energy","Energy/Transportation","Common Stock",14.05244564,14.05244564
20170526,14.04607554,14.17347758,13.92504359,13.99511472,5980,83691,N/A,N/A,0,-5,"NYSE","Energy","Energy/Transportation","Common Stock",13.99511472,13.99511472
20170529,14.04607554,14.17347758,13.92504359,13.99511472,0,0,N/A,N/A,0,0,"NYSE","Energy","Energy/Transportation","Common Stock",21.97000000,13.99511472
20170530,14.17984768,14.46013218,13.98874461,14.08429615,11048,155603,N/A,N/A,0,-5,"NYSE","Energy","Energy/Transportation","Common Stock",14.08429615,14.08429615
20170531,14.08429615,14.14799717,13.91867349,14.06518584,10813,152087,N/A,N/A,4110638,186170,"NYSE","Energy","Energy/Transportation","Common Stock",14.06518584,14.06518584
20170601,14.08429615,14.39643116,13.89956318,14.37732085,8563,123113,N/A,N/A,4201862,186170,"NYSE","Energy","Energy/Transportation","Common Stock",14.37732085,14.37732085
20170602,14.33910024,14.56842392,14.02696523,14.19258789,11671,165642,N/A,N/A,4147872,186170,"NYSE","Energy","Energy/Transportation","Common Stock",14.19258789,14.19258789
20170605,14.09703635,14.27539922,13.93778380,14.20532809,7186,102079,N/A,N/A,4151596,186170,"NYSE","Energy","Energy/Transportation","Common Stock",14.20532809,14.20532809
20170606,14.14799717,14.37732085,13.95689410,14.36458065,6949,99819,N/A,N/A,4198138,186170,"NYSE","Energy","Energy/Transportation","Common Stock",14.36458065,14.36458065
20170607,14.27539922,14.36458065,14.12251676,14.16710748,6497,92044,N/A,N/A,4140426,186170,"NYSE","Energy","Energy/Transportation","Common Stock",14.16710748,14.16710748
20170608,14.12888687,14.31998993,13.95052400,14.02059513,5985,83913,N/A,N/A,4097606,186170,"NYSE","Energy","Energy/Transportation","Common Stock",14.02059513,14.02059513
20170609,14.00148482,14.10977656,13.65112919,14.00148482,7321,102505,N/A,N/A,4092021,186170,"NYSE","Energy","Energy/Transportation","Common Stock",14.00148482,14.00148482
20170612,14.03970543,14.04289048,13.77853124,13.77853124,3524,48556,N/A,N/A,4026862,186170,"NYSE","Energy","Energy/Transportation","Common Stock",13.77853124,13.77853124
20170613,13.85497247,14.13525697,13.67023950,14.05881574,3740,52580,N/A,N/A,4108777,186170,"NYSE","Energy","Energy/Transportation","Common Stock",14.05881574,14.05881574
20170614,14.09066625,14.12888687,13.94415390,14.03970543,3515,49350,N/A,N/A,4103191,186170,"NYSE","Energy","Energy/Transportation","Common Stock",14.03970543,14.03970543
20170615,13.98874461,14.33273014,13.24981275,13.36447459,9679,129355,N/A,N/A,3905851,186170,"NYSE","Energy","Energy/Transportation","Common Stock",13.36447459,13.36447459
20170616,13.16063132,13.74668073,13.09693030,13.61927868,3686,50201,N/A,N/A,3980319,186170,"NYSE","Energy","Energy/Transportation","Common Stock",13.61927868,13.61927868
20170619,13.55557766,13.75305083,13.48550653,13.55557766,1697,23004,N/A,N/A,3961702,186170,"NYSE","Energy","Energy/Transportation","Common Stock",13.55557766,13.55557766
20170620,13.50461684,13.56513281,13.05870968,13.09056019,3426,44848,N/A,N/A,3825798,186170,"NYSE","Energy","Energy/Transportation","Common Stock",13.09056019,13.09056019
