Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20050915,27.11515588,27.17221039,26.38771088,26.39484269,15298,403788,N/A,N/A,0,-5,"NYSE","Financials","Financials/Asset Managers","Common Stock",26.39484269,26.39484269
20050916,26.38771088,26.38771088,26.10243833,26.10243833,624,16288,N/A,N/A,0,-5,"NYSE","Financials","Financials/Asset Managers","Common Stock",26.10243833,26.10243833
20050919,26.10243833,26.17375646,25.99546112,26.17375646,11623,304218,N/A,N/A,0,-5,"NYSE","Financials","Financials/Asset Managers","Common Stock",26.17375646,26.17375646
20050920,26.10243833,26.38771088,26.10243833,26.17375646,6549,171412,N/A,N/A,0,-5,"NYSE","Financials","Financials/Asset Managers","Common Stock",26.17375646,26.17375646
20050921,26.10243833,26.10243833,25.67452950,25.95980205,4243,110147,N/A,N/A,0,-5,"NYSE","Financials","Financials/Asset Managers","Common Stock",25.95980205,25.95980205
20050922,25.95980205,26.53034715,25.95980205,26.53034715,8648,229434,N/A,N/A,0,-5,"NYSE","Financials","Financials/Asset Managers","Common Stock",26.53034715,26.53034715
20050923,26.53034715,27.17221039,26.53034715,26.87267421,12499,335882,N/A,N/A,0,-5,"NYSE","Financials","Financials/Asset Managers","Common Stock",26.87267421,26.87267421
20050926,26.92259691,27.20786946,26.92259691,26.92259691,8214,221142,N/A,N/A,0,-5,"NYSE","Financials","Financials/Asset Managers","Common Stock",26.92259691,26.92259691
20050927,26.92259691,27.02957411,26.48755627,26.56600622,15140,402209,N/A,N/A,0,-5,"NYSE","Financials","Financials/Asset Managers","Common Stock",26.56600622,26.56600622
20050928,26.55887441,26.67298343,26.24507460,26.38771088,8757,231077,N/A,N/A,0,-5,"NYSE","Financials","Financials/Asset Managers","Common Stock",26.38771088,26.38771088
20050929,26.32352455,26.32352455,25.85282484,26.10243833,26592,694116,N/A,N/A,0,-5,"NYSE","Financials","Financials/Asset Managers","Common Stock",26.10243833,26.10243833
20050930,26.10243833,26.10243833,25.38925695,25.53189323,40148,1025054,N/A,N/A,0,-5,"NYSE","Financials","Financials/Asset Managers","Common Stock",25.53189323,25.53189323
20051003,25.17530254,25.60321136,24.36940758,24.74739371,100076,2476620,N/A,N/A,0,-5,"NYSE","Financials","Financials/Asset Managers","Common Stock",24.74739371,24.74739371
20051004,24.24816675,24.46212116,23.71328072,24.17684861,80403,1943891,N/A,N/A,0,-5,"NYSE","Financials","Financials/Asset Managers","Common Stock",24.17684861,24.17684861
20051005,24.24816675,24.31948489,23.76320342,23.99855327,63044,1512965,N/A,N/A,0,-5,"NYSE","Financials","Financials/Asset Managers","Common Stock",23.99855327,23.99855327
20051006,23.82025793,23.99855327,23.68475346,23.79886248,75522,1797338,N/A,N/A,0,-5,"NYSE","Financials","Financials/Asset Managers","Common Stock",23.79886248,23.79886248
20051007,23.73467616,23.96289420,23.62769895,23.96289420,70552,1690630,N/A,N/A,0,-5,"NYSE","Financials","Financials/Asset Managers","Common Stock",23.96289420,23.96289420
20051010,23.96289420,23.96289420,23.53498538,23.55638082,34008,801105,N/A,N/A,0,-5,"NYSE","Financials","Financials/Asset Managers","Common Stock",23.55638082,23.55638082
20051011,23.56351263,23.81312611,23.52072175,23.53498538,36754,865005,N/A,N/A,0,-5,"NYSE","Financials","Financials/Asset Managers","Common Stock",23.53498538,23.53498538
20051012,23.46366724,23.74893979,23.33529459,23.37095366,41345,966272,N/A,N/A,0,-5,"NYSE","Financials","Financials/Asset Managers","Common Stock",23.37095366,23.37095366
20051013,23.19979013,23.32103096,23.16413106,23.21405376,31841,739159,N/A,N/A,0,-5,"NYSE","Financials","Financials/Asset Managers","Common Stock",23.21405376,23.21405376
20051014,23.19265832,23.35669003,23.09281292,23.09994474,24875,574611,N/A,N/A,0,-5,"NYSE","Financials","Financials/Asset Managers","Common Stock",23.09994474,23.09994474
20051017,23.06428567,23.37095366,22.82180400,23.16413106,19104,442528,N/A,N/A,0,-5,"NYSE","Financials","Financials/Asset Managers","Common Stock",23.16413106,23.16413106
20051018,23.03575841,23.21405376,22.92878121,23.12847199,17379,401950,N/A,N/A,0,-5,"NYSE","Financials","Financials/Asset Managers","Common Stock",23.12847199,23.12847199
20051019,23.02149479,23.64909440,22.97157209,23.64909440,17844,421994,N/A,N/A,0,-5,"NYSE","Financials","Financials/Asset Managers","Common Stock",23.64909440,23.64909440
20051020,23.64909440,24.29095763,23.60630351,23.94863057,27896,668071,N/A,N/A,0,-5,"NYSE","Financials","Financials/Asset Managers","Common Stock",23.94863057,23.94863057
20051021,24.09126685,24.60475744,23.98428964,24.24816675,28818,698784,N/A,N/A,0,-5,"NYSE","Financials","Financials/Asset Managers","Common Stock",24.24816675,24.24816675
20051024,25.13964347,26.01685656,24.91142543,25.88135210,40134,1038722,N/A,N/A,0,-5,"NYSE","Financials","Financials/Asset Managers","Common Stock",25.88135210,25.88135210
20051025,25.20382979,26.72290612,25.16103891,26.51608352,29004,769072,N/A,N/A,0,-5,"NYSE","Financials","Financials/Asset Managers","Common Stock",26.51608352,26.51608352
20051026,26.28073367,26.90120147,26.17375646,26.38771088,22080,582641,N/A,N/A,0,-5,"NYSE","Financials","Financials/Asset Managers","Common Stock",26.38771088,26.38771088
20051027,26.35205181,26.38771088,25.53189323,25.87422029,20330,526023,N/A,N/A,0,-5,"NYSE","Financials","Financials/Asset Managers","Common Stock",25.87422029,25.87422029
20051028,26.03112019,26.53034715,25.82429759,26.45902901,14302,378417,N/A,N/A,0,-5,"NYSE","Financials","Financials/Asset Managers","Common Stock",26.45902901,26.45902901
20051031,26.53747896,26.81561970,26.35918362,26.54461078,12116,321615,N/A,N/A,0,-5,"NYSE","Financials","Financials/Asset Managers","Common Stock",26.54461078,26.54461078
20051101,26.31639274,26.35918362,26.00259293,26.07391107,15749,410638,N/A,N/A,0,-5,"NYSE","Financials","Financials/Asset Managers","Common Stock",26.07391107,26.07391107
20051102,25.90938433,26.39581121,25.88077099,26.32427784,12016,316313,N/A,N/A,0,-5,"NYSE","Financials","Financials/Asset Managers","Common Stock",26.32427784,26.32427784
20051103,26.26705115,26.91085143,26.26705115,26.76778470,18879,505349,N/A,N/A,0,-5,"NYSE","Financials","Financials/Asset Managers","Common Stock",26.76778470,26.76778470
