Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20180507,17.00000000,17.00000000,14.79000000,15.01000000,27431,411739,N/A,N/A,15,1,"NYSE","Healthcare","Healthcare/Pharmaceuticals","Common Stock",15.01000000,15.01000000
20180508,15.45000000,15.45000000,14.14000000,14.71000000,22379,329195,N/A,N/A,15,1,"NYSE","Healthcare","Healthcare/Pharmaceuticals","Common Stock",14.71000000,14.71000000
20180509,15.03000000,15.34000000,13.47000000,14.47000000,115994,1678433,N/A,N/A,14,1,"NYSE","Healthcare","Healthcare/Pharmaceuticals","Common Stock",14.47000000,14.47000000
20180510,14.57000000,14.69000000,13.93000000,13.95000000,25620,357399,N/A,N/A,14,1,"NYSE","Healthcare","Healthcare/Pharmaceuticals","Common Stock",13.95000000,13.95000000
20180511,14.04000000,15.12500000,13.95000000,14.70000000,19295,283636,N/A,N/A,15,1,"NYSE","Healthcare","Healthcare/Pharmaceuticals","Common Stock",14.70000000,14.70000000
20180514,15.02000000,16.05000000,14.95000000,15.15000000,16276,246581,N/A,N/A,15,1,"NYSE","Healthcare","Healthcare/Pharmaceuticals","Common Stock",15.15000000,15.15000000
20180515,15.20000000,15.27000000,14.90000000,15.09000000,10928,164904,N/A,N/A,15,1,"NYSE","Healthcare","Healthcare/Pharmaceuticals","Common Stock",15.09000000,15.09000000
20180516,15.23000000,15.44000000,15.12000000,15.37000000,5049,77603,N/A,N/A,15,1,"NYSE","Healthcare","Healthcare/Pharmaceuticals","Common Stock",15.37000000,15.37000000
20180517,16.00000000,16.81000000,15.60000000,16.81000000,24596,413459,N/A,N/A,17,1,"NYSE","Healthcare","Healthcare/Pharmaceuticals","Common Stock",16.81000000,16.81000000
20180518,16.47000000,17.95000000,16.47000000,17.17000000,11135,191188,N/A,N/A,17,1,"NYSE","Healthcare","Healthcare/Pharmaceuticals","Common Stock",17.17000000,17.17000000
20180521,16.99000000,17.00000000,16.16000000,16.70000000,14784,246893,N/A,N/A,17,1,"NYSE","Healthcare","Healthcare/Pharmaceuticals","Common Stock",16.70000000,16.70000000
20180522,16.79000000,17.71000000,16.72000000,17.33000000,6995,121223,N/A,N/A,17,1,"NYSE","Healthcare","Healthcare/Pharmaceuticals","Common Stock",17.33000000,17.33000000
20180523,17.31000000,17.96100000,17.31000000,17.68000000,10465,185021,N/A,N/A,18,1,"NYSE","Healthcare","Healthcare/Pharmaceuticals","Common Stock",17.68000000,17.68000000
