Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19800801,1.20628848,1.20628848,1.18323839,1.19092175,1127,1342,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",1.19092175,1.19092175
19800804,1.19092175,1.21397185,1.19092175,1.21397185,803,975,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",1.21397185,1.21397185
19800805,1.21397185,1.22165522,1.20628848,1.20628848,749,904,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",1.20628848,1.20628848
19800806,1.19860512,1.19860512,1.18323839,1.19860512,1046,1254,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",1.19860512,1.19860512
19800807,1.19860512,1.19860512,1.17555502,1.19860512,1397,1674,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",1.19860512,1.19860512
19800808,1.21397185,1.22933858,1.21397185,1.22165522,3429,4189,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",1.22165522,1.22165522
19800811,1.22165522,1.22933858,1.21397185,1.21397185,560,680,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",1.21397185,1.21397185
19800812,1.21397185,1.22165522,1.20628848,1.21397185,972,1180,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",1.21397185,1.21397185
19800813,1.21397185,1.23702195,1.20628848,1.22933858,3402,4182,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",1.22933858,1.22933858
19800814,1.22165522,1.22165522,1.21397185,1.22165522,722,882,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",1.22165522,1.22165522
19800815,1.22165522,1.24470531,1.22165522,1.24470531,1789,2227,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",1.24470531,1.24470531
19800818,1.24470531,1.24470531,1.22165522,1.23702195,716,886,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",1.23702195,1.23702195
19800819,1.23702195,1.23702195,1.21397185,1.23702195,682,844,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",1.23702195,1.23702195
