Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20150518,12.95763120,12.95763120,12.25935885,12.95763120,21975,284744,N/A,N/A,3276531,182029,"NYSE","Financials","Financials/Commercial REIT","Common Stock",12.95763120,12.95763120
20150519,12.90004173,13.78547986,12.90004173,13.53352592,19787,267788,N/A,N/A,3425272,182195,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.53352592,13.53352592
20150520,13.46153908,13.56232066,13.21678382,13.39675092,7176,96135,N/A,N/A,3377436,181485,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.39675092,13.39675092
20150521,13.38955224,13.43274434,12.97202857,13.13759830,7930,104181,N/A,N/A,3315920,181694,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.13759830,13.13759830
20150522,13.13759830,13.24557856,12.99362462,13.10880356,5362,70289,N/A,N/A,3311652,181859,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.10880356,13.10880356
20150525,13.13759830,13.24557856,12.99362462,13.10880356,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",18.21000000,13.10880356
20150526,13.13759830,13.28157198,13.03681672,13.13039962,6814,89471,N/A,N/A,3321305,182089,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.13039962,13.13039962
20150527,13.17382982,13.53574823,13.02906246,13.49955639,6527,88112,N/A,N/A,3408924,182784,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.49955639,13.49955639
20150528,13.34031229,13.53574823,13.26069024,13.40545760,9498,127325,N/A,N/A,3385162,182784,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.40545760,13.40545760
20150529,13.26792861,13.39098087,13.10868451,13.35478902,5655,75521,N/A,N/A,6901237,374051,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.35478902,13.35478902
20150601,13.26792861,13.39098087,13.21002166,13.37650413,10145,135705,N/A,N/A,6908209,373821,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.37650413,13.37650413
20150602,13.26792861,13.53574823,13.26792861,13.51403312,9220,124599,N/A,N/A,6979235,373821,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.51403312,13.51403312
20150603,13.53574823,13.71670743,13.39821923,13.70223069,11650,159631,N/A,N/A,7076428,373821,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.70223069,13.70223069
20150604,13.68775395,13.70223069,13.55746333,13.68775395,9280,127022,N/A,N/A,7046697,372644,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.68775395,13.68775395
20150605,13.66603885,13.68051559,13.48507965,13.65156211,7119,97185,N/A,N/A,7019647,372198,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.65156211,13.65156211
20150608,13.53574823,13.68051559,13.48507965,13.65880048,7872,107522,N/A,N/A,7023369,372198,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.65880048,13.65880048
20150609,13.68051559,13.70223069,13.62260864,13.68051559,9593,131237,N/A,N/A,7034535,372198,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.68051559,13.68051559
20150610,13.68051559,13.70946906,13.64432375,13.65156211,10918,149048,N/A,N/A,7019647,372198,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.65156211,13.65156211
20150611,13.65156211,13.68051559,13.62984701,13.65156211,8608,117513,N/A,N/A,7019647,372198,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.65156211,13.65156211
20150612,13.59365517,13.65156211,13.50679475,13.54298659,9116,123458,N/A,N/A,6963818,372198,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.54298659,13.54298659
20150615,13.52127149,13.64794293,13.44888781,13.60813191,7763,105640,N/A,N/A,6997315,372198,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.60813191,13.60813191
20150616,13.60089354,13.70946906,13.47784128,13.67327722,12511,171066,N/A,N/A,7030813,372198,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.67327722,13.67327722
20150617,13.62260864,13.78185274,13.61537027,13.77461437,14598,201082,N/A,N/A,7082921,372198,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.77461437,13.77461437
20150618,13.74566090,13.89766663,13.71670743,13.82528295,9982,138004,N/A,N/A,7108975,372198,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.82528295,13.82528295
20150619,13.81080621,13.82528295,13.62984701,13.64432375,4406,60117,N/A,N/A,7015925,372198,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.64432375,13.64432375
20150622,13.64432375,13.74566090,13.52850986,13.52850986,6462,87421,N/A,N/A,6956374,372198,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.52850986,13.52850986
20150623,13.35478902,13.75289927,13.29688208,13.57917843,9722,132017,N/A,N/A,6982428,372198,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.57917843,13.57917843
20150624,13.56470170,13.92662010,13.47494593,13.75289927,7427,102143,N/A,N/A,7071755,372198,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.75289927,13.75289927
20150625,13.75289927,13.85423642,13.68775395,13.71670743,11942,163805,N/A,N/A,7053145,372198,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.71670743,13.71670743
20150626,13.85496602,14.15331350,13.78947511,13.94228723,87902,1225555,N/A,N/A,7131307,372198,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.94228723,13.94228723
20150629,13.84041248,13.94956400,13.72398419,13.72398419,7229,99211,N/A,N/A,7019647,372198,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.72398419,13.72398419
20150630,13.89862662,13.94956400,13.71670743,13.73126096,4909,67407,N/A,N/A,7023369,372198,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.73126096,13.73126096
20150701,13.73126096,13.78947511,13.67304682,13.75309127,6522,89698,N/A,N/A,7034535,372198,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.75309127,13.75309127
20150702,13.75309127,13.79311349,13.69487712,13.69487712,3415,46768,N/A,N/A,7004759,372198,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.69487712,13.69487712
20150703,13.75309127,13.79311349,13.69487712,13.69487712,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",18.82000000,13.69487712
20150706,13.63666298,13.74581450,13.57117207,13.68032359,4225,57799,N/A,N/A,6997315,372198,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.68032359,13.68032359
20150707,13.62938621,13.79675187,13.53478823,13.55661853,4485,60801,N/A,N/A,6934042,372198,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.55661853,13.55661853
20150708,13.56389530,13.65849328,13.42563671,13.53478823,4230,57252,N/A,N/A,6922876,372198,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.53478823,13.53478823
20150709,13.62938621,13.62938621,13.44019025,13.59300237,3539,48106,N/A,N/A,6952652,372198,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.59300237,13.59300237
20150710,13.57117207,13.81858218,13.52023469,13.81130541,7007,96776,N/A,N/A,7064311,372198,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.81130541,13.81130541
20150713,13.74581450,13.78947511,13.57117207,13.65121652,3409,46537,N/A,N/A,6982428,372198,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.65121652,13.65121652
20150714,13.68760036,13.81858218,13.61483268,13.78947511,4631,63859,N/A,N/A,7053145,372198,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.78947511,13.78947511
20150715,13.73126096,13.80402864,13.66577005,13.78947511,5105,70395,N/A,N/A,7053145,372198,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.78947511,13.78947511
20150716,13.73126096,13.82585894,13.72398419,13.78947511,7813,107737,N/A,N/A,7053145,372198,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.78947511,13.78947511
20150717,13.75309127,13.78947511,13.67304682,13.77492157,5130,70665,N/A,N/A,7045701,372198,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.77492157,13.77492157
20150720,13.76764480,13.76764480,13.54206500,13.55661853,3738,50675,N/A,N/A,6934042,372198,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.55661853,13.55661853
20150721,13.48385085,13.56389530,13.11273569,13.33831550,7390,98570,N/A,N/A,6822383,372198,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.33831550,13.33831550
20150722,13.33103873,13.38925287,13.17822660,13.26554782,3868,51311,N/A,N/A,6785163,372198,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.26554782,13.26554782
20150723,13.30193166,13.33831550,12.90170943,12.97447710,7048,91444,N/A,N/A,6636284,372198,"NYSE","Financials","Financials/Commercial REIT","Common Stock",12.97447710,12.97447710
20150724,13.01813771,13.06907509,12.61791548,12.77072760,5902,75373,N/A,N/A,6532068,372198,"NYSE","Financials","Financials/Commercial REIT","Common Stock",12.77072760,12.77072760
20150727,12.69795993,12.91626296,12.66157609,12.78528114,6555,83808,N/A,N/A,6539512,372198,"NYSE","Financials","Financials/Commercial REIT","Common Stock",12.78528114,12.78528114
20150728,12.73434376,13.04724478,12.64702255,13.03269125,7348,95764,N/A,N/A,6666060,372198,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.03269125,13.03269125
20150729,12.82779773,13.26685527,12.82779773,13.14977326,6568,86368,N/A,N/A,6688391,372198,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.14977326,13.14977326
20150730,13.06196175,13.28149052,12.93756211,13.18636139,10004,131916,N/A,N/A,6707001,372198,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.18636139,13.18636139
20150731,13.24490239,13.35466678,13.16440851,13.27417289,3162,41973,N/A,N/A,6751665,372198,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.27417289,13.27417289
20150803,13.31807865,13.35466678,13.23026714,13.29612577,3082,40979,N/A,N/A,3187370,175419,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.29612577,13.29612577
20150804,13.24490239,13.35466678,13.17904376,13.18636139,3417,45058,N/A,N/A,3161057,175419,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.18636139,13.18636139
20150805,13.27417289,13.35466678,13.18636139,13.23758476,4851,64216,N/A,N/A,3173337,175419,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.23758476,13.23758476
20150806,13.16440851,13.28880814,13.00342074,13.11318513,8146,106820,N/A,N/A,3143515,175419,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.11318513,13.11318513
20150807,13.02537362,13.29612577,13.02537362,13.23758476,3844,50885,N/A,N/A,3173337,175419,"NYSE","Financials","Financials/Commercial REIT","Common Stock",13.23758476,13.23758476
