Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20090924,5.74443555,5.78966732,5.57858570,5.57858570,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.57858570,5.57858570
20090925,5.62683293,5.67809561,5.50621486,5.67809561,10121,57468,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.67809561,5.67809561
20090928,5.68111106,5.68111106,5.53938483,5.57858570,3391,18917,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.57858570,5.57858570
20090929,5.62683293,5.64191019,5.47304489,5.57255480,5000,27863,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.57255480,5.57255480
20090930,5.53636938,5.56350844,5.50319941,5.51827667,4285,23646,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.51827667,5.51827667
20091001,5.48812215,5.51526121,5.46399854,5.47304489,7268,39778,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.47304489,5.47304489
20091002,5.49716850,5.55144664,5.47304489,5.51827667,2389,13183,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.51827667,5.51827667
20091005,5.54843118,5.56049299,5.53033847,5.55144664,1315,7300,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.55144664,5.55144664
20091006,5.56049299,5.58763206,5.51827667,5.56350844,1359,7561,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.56350844,5.56350844
20091007,5.53335393,5.53335393,5.48812215,5.50319941,1539,8469,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.50319941,5.50319941
20091008,5.50319941,5.54843118,5.46098308,5.54240028,2155,11944,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.54240028,5.54240028
20091009,5.53636938,5.53636938,5.49113760,5.49415305,972,5340,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.49415305,5.49415305
20091012,5.51224576,5.51224576,5.29513324,5.46098308,3104,16951,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.46098308,5.46098308
20091013,5.45796763,5.57858570,5.45495218,5.56350844,4221,23484,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.56350844,5.56350844
20091014,5.59969386,5.59969386,5.49415305,5.53335393,1095,6059,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.53335393,5.53335393
20091015,5.53033847,5.59366296,5.52129212,5.57858570,2127,11866,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.57858570,5.57858570
20091016,5.53033847,5.66904925,5.52732302,5.59969386,2339,13098,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.59969386,5.59969386
20091019,5.57858570,5.57858570,5.53033847,5.56049299,854,4749,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.56049299,5.56049299
20091020,5.52430757,5.56049299,5.50319941,5.54843118,1214,6736,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.54843118,5.54843118
20091021,5.52430757,5.59667841,5.50319941,5.52430757,789,4359,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.52430757,5.52430757
20091022,5.51224576,5.57557025,5.46701399,5.56350844,822,4573,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.56350844,5.56350844
20091023,5.54843118,5.56350844,5.49415305,5.53033847,671,3711,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.53033847,5.53033847
20091026,5.48812215,5.51827667,5.47606034,5.49716850,1131,6217,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.49716850,5.49716850
20091027,5.47304489,5.52129212,5.46399854,5.47606034,1275,6982,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.47606034,5.47606034
20091028,5.47304489,5.47606034,5.43082857,5.43685947,1134,6165,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.43685947,5.43685947
20091029,5.44892128,5.46399854,5.35242682,5.45193673,1752,9552,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.45193673,5.45193673
20091030,5.40067405,5.43384402,5.39765860,5.40067405,793,4283,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.40067405,5.40067405
20091102,5.40368950,5.41575131,5.32528776,5.36147318,1264,6777,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.36147318,5.36147318
20091103,5.28005598,5.44892128,5.28005598,5.44289037,1769,9628,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.44289037,5.44289037
20091104,5.54843118,5.55446209,5.42479766,5.50319941,1763,9702,N/A,N/A,0,-5,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.50319941,5.50319941
