Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20201015,9.62000000,9.62000000,9.62000000,9.62000000,9138,87908,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.62000000,9.62000000
20201016,9.62000000,9.62000000,9.62000000,9.62000000,1,10,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.62000000,9.62000000
20201019,9.70000000,9.70000000,9.66000000,9.70000000,529,5131,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.70000000,9.70000000
20201020,9.70000000,9.70000000,9.70000000,9.70000000,0,0,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.70000000,9.70000000
20201021,9.65000000,9.68000000,9.65000000,9.68000000,1750,16940,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.68000000,9.68000000
20201022,9.66000000,9.68000000,9.65000000,9.65000000,40,386,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.65000000,9.65000000
20201023,9.64000000,9.65000000,9.62000000,9.65000000,32,309,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.65000000,9.65000000
20201026,9.65000000,9.65000000,9.65000000,9.65000000,0,0,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.65000000,9.65000000
20201027,9.62000000,9.65000000,9.61000000,9.63200000,24,231,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.63200000,9.63200000
20201028,9.55000000,9.62000000,9.55000000,9.60000000,536,5146,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.60000000,9.60000000
20201029,9.60000000,9.62000000,9.60000000,9.62000000,510,4906,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.62000000,9.62000000
20201030,9.67000000,9.67000000,9.60000000,9.66000000,9,87,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.66000000,9.66000000
20201102,9.65000000,9.65000000,9.65000000,9.65000000,3,29,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.65000000,9.65000000
20201103,9.66000000,9.66000000,9.66000000,9.66000000,2,19,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.66000000,9.66000000
20201104,9.66000000,9.66000000,9.60000000,9.66000000,45,435,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.66000000,9.66000000
20201105,9.60000000,9.66000000,9.60000000,9.66000000,1038,10027,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.66000000,9.66000000
20201106,9.65000000,9.67000000,9.65000000,9.65000000,339,3271,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.65000000,9.65000000
20201109,9.75000000,9.89000000,9.65000000,9.65000000,78,753,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.65000000,9.65000000
