Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19910806,710.93750000,751.56250000,710.93750000,710.93750000,1,711,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Medical Supplies","Common Stock",710.93750000,710.93750000
19910807,710.93750000,710.93750000,650.00000000,650.00000000,1,650,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Medical Supplies","Common Stock",650.00000000,650.00000000
19910808,650.00000000,710.93750000,650.00000000,650.00000000,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Medical Supplies","Common Stock",650.00000000,650.00000000
19910809,670.31250000,731.25000000,670.31250000,670.31250000,1,670,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Medical Supplies","Common Stock",670.31250000,670.31250000
19910812,670.31250000,731.25000000,670.31250000,670.31250000,1,670,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Medical Supplies","Common Stock",670.31250000,670.31250000
19910813,690.62500000,731.25000000,690.62500000,690.62500000,2,1381,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Medical Supplies","Common Stock",690.62500000,690.62500000
19910814,690.62500000,731.25000000,690.62500000,690.62500000,1,691,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Medical Supplies","Common Stock",690.62500000,690.62500000
19910815,710.93750000,731.25000000,710.93750000,710.93750000,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Medical Supplies","Common Stock",710.93750000,710.93750000
19910816,710.93750000,751.56250000,710.93750000,710.93750000,4,2844,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Medical Supplies","Common Stock",710.93750000,710.93750000
19910819,710.93750000,751.56250000,690.62500000,690.62500000,1,691,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Medical Supplies","Common Stock",690.62500000,690.62500000
19910820,710.93750000,751.56250000,710.93750000,710.93750000,2,1422,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Medical Supplies","Common Stock",710.93750000,710.93750000
19910821,792.18750000,812.50000000,792.18750000,792.18750000,4,3169,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Medical Supplies","Common Stock",792.18750000,792.18750000
19910822,792.18750000,792.18750000,751.56250000,751.56250000,3,2255,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Medical Supplies","Common Stock",751.56250000,751.56250000
19910823,771.87500000,792.18750000,771.87500000,771.87500000,6,4631,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Medical Supplies","Common Stock",771.87500000,771.87500000
19910826,771.87500000,792.18750000,771.87500000,771.87500000,1,772,N/A,N/A,0,-5,"NYSE MKTS LLC","Healthcare","Healthcare/Medical Supplies","Common Stock",771.87500000,771.87500000
