Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20210419,9.90000000,9.90000000,9.90000000,9.90000000,1,10,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.90000000,9.90000000
20210420,9.90000000,9.91700000,9.87000000,9.91700000,319,3164,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.91700000,9.91700000
20210421,9.88000000,10.14000000,9.88000000,9.89000000,740,7319,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.89000000,9.89000000
20210422,9.89000000,10.04000000,9.89000000,9.89000000,153,1513,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.89000000,9.89000000
20210423,9.89000000,9.93500000,9.88000000,9.92000000,1243,12331,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.92000000,9.92000000
20210426,10.00000000,10.00000000,9.87000000,9.90000000,969,9593,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.90000000,9.90000000
20210427,9.94000000,9.95000000,9.87900000,9.91500000,6109,60571,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.91500000,9.91500000
20210428,9.87000000,9.96000000,9.87000000,9.90000000,3645,36086,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.90000000,9.90000000
20210429,9.89000000,9.94000000,9.88000000,9.89800000,2683,26556,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.89800000,9.89800000
20210430,9.87000000,9.95000000,9.87000000,9.91000000,1747,17313,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.91000000,9.91000000
20210503,9.87000000,9.92000000,9.87000000,9.88000000,1145,11313,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.88000000,9.88000000
20210504,9.89000000,9.89000000,9.86000000,9.86000000,1561,15391,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.86000000,9.86000000
20210505,9.87000000,9.88000000,9.83000000,9.83000000,444,4365,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.83000000,9.83000000
20210506,9.85000000,9.90100000,9.85000000,9.89000000,1279,12649,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.89000000,9.89000000
20210507,9.90000000,9.92000000,9.90000000,9.90000000,2057,20364,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.90000000,9.90000000
20210510,9.89000000,9.91000000,9.86000000,9.90000000,704,6970,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.90000000,9.90000000
20210511,9.85000000,9.88000000,9.81000000,9.81000000,5425,53219,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.81000000,9.81000000
20210512,9.83000000,9.84000000,9.80000000,9.81000000,1644,16128,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.81000000,9.81000000
20210513,9.80000000,9.85000000,9.75000000,9.77000000,4384,42832,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.77000000,9.77000000
20210514,9.78000000,9.78000000,9.71000000,9.77000000,1398,13658,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.77000000,9.77000000
20210517,9.75000000,9.81000000,9.73000000,9.78000000,2296,22455,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.78000000,9.78000000
20210518,9.78000000,9.80000000,9.75000000,9.77000000,754,7367,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.77000000,9.77000000
20210519,9.77000000,9.83000000,9.73000000,9.82000000,1060,10409,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.82000000,9.82000000
20210520,9.77000000,9.78000000,9.73000000,9.74000000,2299,22392,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.74000000,9.74000000
20210521,9.75000000,9.76000000,9.70000000,9.70100000,1678,16278,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.70100000,9.70100000
20210524,9.72000000,9.74000000,9.71000000,9.73000000,2105,20482,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.73000000,9.73000000
20210525,9.71000000,9.76000000,9.71000000,9.73000000,5421,52746,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.73000000,9.73000000
20210526,9.71000000,9.76000000,9.71000000,9.75000000,155,1511,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.75000000,9.75000000
20210527,9.75000000,9.79000000,9.75000000,9.76000000,3057,29836,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.76000000,9.76000000
20210528,9.74000000,9.80000000,9.73000000,9.80000000,6947,68081,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.80000000,9.80000000
20210531,9.74000000,9.80000000,9.73000000,9.80000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.80000000,9.80000000
20210601,9.75000000,9.81000000,9.72800000,9.75000000,1935,18866,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.75000000,9.75000000
20210602,9.74000000,9.77800000,9.72000000,9.75000000,6768,65988,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.75000000,9.75000000
20210603,9.78000000,9.80000000,9.75000000,9.75000000,1007,9818,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.75000000,9.75000000
20210604,9.76500000,9.80000000,9.75000000,9.80000000,1405,13769,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.80000000,9.80000000
20210607,9.83000000,9.85000000,9.76000000,9.85000000,103,1015,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.85000000,9.85000000
20210608,9.84900000,9.88000000,9.82000000,9.88000000,1601,15818,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.88000000,9.88000000
20210609,9.88000000,9.88000000,9.78000000,9.83000000,4032,39635,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.83000000,9.83000000
20210610,9.85000000,9.86000000,9.75000000,9.75000000,10197,99421,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.75000000,9.75000000
20210611,9.80000000,9.81500000,9.77000000,9.77000000,495,4836,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.77000000,9.77000000
20210614,9.75000000,9.80000000,9.73000000,9.75000000,498,4856,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.75000000,9.75000000
20210615,9.75000000,9.77000000,9.75000000,9.76000000,2724,26586,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.76000000,9.76000000
20210616,9.78000000,9.78000000,9.76000000,9.77000000,229,2237,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.77000000,9.77000000
20210617,9.77000000,9.83000000,9.74000000,9.79000000,568,5561,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.79000000,9.79000000
20210618,9.80000000,9.81000000,9.77000000,9.81000000,3098,30391,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.81000000,9.81000000
20210621,9.80500000,9.87000000,9.79000000,9.84000000,316,3109,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.84000000,9.84000000
20210622,9.83000000,9.85000000,9.81000000,9.82000000,5298,52026,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.82000000,9.82000000
20210623,9.82000000,9.85000000,9.82000000,9.85000000,2296,22616,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.85000000,9.85000000
20210624,9.80000000,9.84000000,9.77000000,9.83000000,5421,53288,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.83000000,9.83000000
20210625,9.75000000,9.85000000,9.72000000,9.77000000,895,8744,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.77000000,9.77000000
20210628,9.77000000,9.78000000,9.74000000,9.77000000,4328,42285,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.77000000,9.77000000
20210629,9.76000000,9.78500000,9.71000000,9.78000000,2204,21555,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.78000000,9.78000000
20210630,9.78000000,9.79000000,9.73000000,9.73000000,4010,39017,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.73000000,9.73000000
20210701,9.76000000,9.83000000,9.70000000,9.72000000,80810,785473,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.72000000,9.72000000
20210702,9.70000000,9.75000000,9.70000000,9.73000000,5963,58020,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.73000000,9.73000000
20210705,9.70000000,9.75000000,9.70000000,9.73000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.73000000,9.73000000
20210706,9.75000000,9.75000000,9.72000000,9.74000000,2340,22792,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.74000000,9.74000000
20210707,9.74000000,9.75000000,9.70000000,9.75000000,1760,17160,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.75000000,9.75000000
