Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20210507,9.61000000,9.61000000,9.61000000,9.61000000,1,10,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.61000000,9.61000000
20210510,10.00000000,10.00000000,9.73300000,9.90000000,227,2247,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.90000000,9.90000000
20210511,9.66000000,9.95000000,9.66000000,9.88000000,36,356,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.88000000,9.88000000
20210512,9.73000000,9.76100000,9.73000000,9.76100000,5,49,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.76100000,9.76100000
20210513,9.76000000,9.76000000,9.74000000,9.74000000,87,847,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.74000000,9.74000000
20210514,9.80000000,9.85600000,9.80000000,9.85600000,6,59,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.85600000,9.85600000
20210517,9.86000000,9.86000000,9.67000000,9.67500000,8,77,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.67500000,9.67500000
20210518,9.64000000,9.69000000,9.64000000,9.65000000,230,2220,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.65000000,9.65000000
20210519,9.65000000,9.74000000,9.65000000,9.74000000,15,146,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.74000000,9.74000000
20210520,9.90000000,9.90000000,9.73500000,9.74100000,5,49,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.74100000,9.74100000
20210521,9.71000000,9.71400000,9.69000000,9.70000000,57,553,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.70000000,9.70000000
20210524,9.70000000,9.73000000,9.68000000,9.70000000,559,5422,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.70000000,9.70000000
20210525,9.66000000,9.70000000,9.66000000,9.70000000,19,184,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.70000000,9.70000000
20210526,9.82000000,9.94000000,9.69000000,9.70000000,152,1474,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.70000000,9.70000000
20210527,9.79000000,9.79000000,9.67000000,9.68400000,24,232,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.68400000,9.68400000
20210528,9.66000000,9.68000000,9.66000000,9.67000000,7,68,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.67000000,9.67000000
20210531,9.66000000,9.68000000,9.66000000,9.67000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.67000000,9.67000000
20210601,9.66000000,9.66000000,9.66000000,9.66000000,4,39,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.66000000,9.66000000
20210602,9.80000000,9.85000000,9.67000000,9.67000000,9,87,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.67000000,9.67000000
20210603,9.60000000,9.67800000,9.60000000,9.66000000,40,386,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.66000000,9.66000000
20210604,9.66000000,9.75600000,9.65400000,9.66000000,64,618,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.66000000,9.66000000
20210607,9.60000000,9.71200000,9.60000000,9.66300000,9,87,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.66300000,9.66300000
20210608,9.66000000,9.66000000,9.66000000,9.66000000,3,29,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.66000000,9.66000000
20210609,9.75000000,9.75000000,9.75000000,9.75000000,1,10,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.75000000,9.75000000
20210610,9.64000000,9.73300000,9.64000000,9.73000000,10,97,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.73000000,9.73000000
20210611,9.75000000,9.77000000,9.74000000,9.77000000,74,723,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.77000000,9.77000000
20210614,9.85000000,9.85000000,9.77000000,9.77000000,4,39,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.77000000,9.77000000
20210615,9.70000000,9.70000000,9.67000000,9.67000000,10,97,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.67000000,9.67000000
