Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20141002,67.17659689,68.39798956,62.29102620,63.31699605,13850,876940,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",63.31699605,63.31699605
20141003,62.29102620,63.46356317,61.85132484,62.29102620,1721,107203,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",62.29102620,62.29102620
20141006,63.51241887,63.85440882,61.55819060,62.14445908,1744,108380,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",62.14445908,62.14445908
20141007,61.80246914,61.80246914,57.84515688,58.62684819,1387,81315,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",58.62684819,58.62684819
20141008,58.38256966,58.61707705,54.42525740,54.96267018,1222,67164,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",54.96267018,54.96267018
20141009,54.42525740,55.40237154,50.07709950,51.15192505,1038,53096,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",51.15192505,51.15192505
20141010,50.80993510,53.49699898,50.12595520,51.73819353,842,43564,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",51.73819353,51.73819353
20141013,51.20078075,53.25272044,51.20078075,52.71530767,232,12230,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",52.71530767,52.71530767
20141014,51.93361636,51.93361636,50.46794515,50.46794515,585,29524,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",50.46794515,50.46794515
20141015,49.14884107,49.93053238,46.92590641,47.73202557,372,17756,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",47.73202557,47.73202557
20141016,46.46177719,51.24963646,46.46177719,50.46794515,495,24982,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",50.46794515,50.46794515
20141017,51.78704924,52.51988484,49.97938808,50.85879081,375,19072,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",50.85879081,50.85879081
20141020,50.07709950,50.80993510,48.75799541,49.39311960,172,8496,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",49.39311960,49.39311960
20141021,48.85570683,50.95650222,48.61142829,50.17481091,707,35474,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",50.17481091,50.17481091
20141022,49.39311960,50.46794515,47.68316986,48.07401552,580,27883,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",48.07401552,48.07401552
20141023,48.17172693,49.44197531,47.63431416,48.95341824,163,7979,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",48.95341824,48.95341824
20141024,48.26943834,48.85570683,47.73202557,48.07401552,209,10047,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",48.07401552,48.07401552
20141027,47.29232421,48.12287122,44.21441468,46.07093154,398,18336,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",46.07093154,46.07093154
20141028,46.60834431,49.19769677,45.43580735,48.70913971,591,28787,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",48.70913971,48.70913971
20141029,47.87859269,53.74127751,47.53660274,53.20386473,839,44638,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",53.20386473,53.20386473
20141030,52.51988484,55.15809301,51.44505929,54.96267018,547,30065,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",54.96267018,54.96267018
20141031,53.54585468,59.01769385,53.54585468,57.35659981,785,45025,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",57.35659981,57.35659981
20141103,58.04057971,58.57799249,57.27354511,57.99172400,242,14034,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",57.99172400,57.99172400
20141104,58.23600254,58.62684819,56.96575416,58.08943542,172,9991,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",58.08943542,58.08943542
20141105,58.62684819,59.16426097,56.37948568,58.67570390,577,33856,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",58.67570390,58.67570390
20141106,58.08943542,60.38565364,57.84027131,59.40853950,463,27506,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",59.40853950,59.40853950
20141107,59.26197238,60.82535500,59.26197238,60.14137510,371,22312,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",60.14137510,60.14137510
20141110,59.84824086,61.06963353,59.45739521,60.67878788,303,18386,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",60.67878788,60.67878788
20141111,60.67878788,61.06963353,57.74744547,58.28485824,384,22381,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",58.28485824,58.28485824
20141112,58.13829112,59.40853950,56.86804275,57.84515688,472,27303,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",57.84515688,57.84515688
20141113,58.62684819,58.77341531,56.33062997,57.30774411,147,8424,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",57.30774411,57.30774411
20141114,57.16117699,57.50316694,54.57182453,55.40237154,224,12410,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",55.40237154,55.40237154
20141117,55.69550578,57.21003269,53.39928756,54.03441175,113,6106,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",54.03441175,54.03441175
20141118,54.37640170,55.20694871,51.83590494,52.76416337,300,15829,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",52.76416337,52.76416337
20141119,51.83590494,54.76724735,51.73819353,53.05729761,345,18305,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",53.05729761,53.05729761
20141120,52.86187479,56.15963500,50.95650222,54.18097887,232,12570,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",54.18097887,54.18097887
20141121,55.84207290,55.89092861,53.30157615,54.22983458,208,11280,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",54.22983458,54.22983458
20141124,54.22983458,55.10923730,53.79013322,54.47411311,224,12202,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",54.47411311,54.47411311
20141125,54.71839165,55.69550578,54.13212316,54.91381447,151,8292,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",54.91381447,54.91381447
20141126,54.52296882,54.86495877,53.98555604,54.18097887,185,10023,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",54.18097887,54.18097887
20141127,54.52296882,54.86495877,53.98555604,54.18097887,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",11.09000000,54.18097887
20141128,54.03441175,54.96267018,52.27560630,53.88784463,249,13418,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",53.88784463,53.88784463
20141201,54.03441175,54.37640170,52.81301908,53.83898892,221,11898,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",53.83898892,53.83898892
20141202,53.79013322,54.52296882,53.00844191,53.00844191,72,3817,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",53.00844191,53.00844191
20141203,53.20386473,54.57182453,51.98735763,54.03441175,122,6592,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",54.03441175,54.03441175
20141204,53.59471039,55.45122725,52.27560630,54.03441175,145,7835,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",54.03441175,54.03441175
20141205,53.46279998,55.69550578,53.46279998,55.64665008,90,5008,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",55.64665008,55.64665008
