Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19800801,2.74457126,2.75940678,2.74457126,2.74457126,2384,6543,N/A,N/A,0,-5,"NYSE","","","Common Stock",2.74457126,2.74457126
19800804,2.70748246,2.70748246,2.70006470,2.70006470,3168,8554,N/A,N/A,0,-5,"NYSE","","","Common Stock",2.70006470,2.70006470
19800805,2.74457126,2.75940678,2.74457126,2.74457126,2048,5621,N/A,N/A,0,-5,"NYSE","","","Common Stock",2.74457126,2.74457126
19800806,2.87809095,2.88550871,2.87809095,2.87809095,2352,6769,N/A,N/A,0,-5,"NYSE","","","Common Stock",2.87809095,2.87809095
19800807,2.86325543,2.86325543,2.85583767,2.85583767,2416,6900,N/A,N/A,0,-5,"NYSE","","","Common Stock",2.85583767,2.85583767
19800808,2.75940678,2.75940678,2.75198902,2.75198902,1328,3655,N/A,N/A,0,-5,"NYSE","","","Common Stock",2.75198902,2.75198902
19800811,2.77424230,2.79649558,2.77424230,2.77424230,2336,6481,N/A,N/A,0,-5,"NYSE","","","Common Stock",2.77424230,2.77424230
19800812,2.77424230,2.77424230,2.75940678,2.75940678,3088,8521,N/A,N/A,0,-5,"NYSE","","","Common Stock",2.75940678,2.75940678
19800813,2.80391334,2.83358439,2.80391334,2.80391334,2400,6729,N/A,N/A,0,-5,"NYSE","","","Common Stock",2.80391334,2.80391334
19800814,3.01161063,3.02644615,3.01161063,3.01161063,5504,16576,N/A,N/A,0,-5,"NYSE","","","Common Stock",3.01161063,3.01161063
19800815,3.11545927,3.14513031,3.11545927,3.11545927,3472,10817,N/A,N/A,0,-5,"NYSE","","","Common Stock",3.11545927,3.11545927
19800818,2.93743303,2.93743303,2.92259751,2.92259751,2256,6593,N/A,N/A,0,-5,"NYSE","","","Common Stock",2.92259751,2.92259751
19800819,2.84841991,2.84841991,2.83358439,2.83358439,2784,7889,N/A,N/A,0,-5,"NYSE","","","Common Stock",2.83358439,2.83358439
19800820,2.89292647,2.92259751,2.89292647,2.89292647,1296,3749,N/A,N/A,0,-5,"NYSE","","","Common Stock",2.89292647,2.89292647
19800821,2.93001527,2.95226855,2.93001527,2.93001527,720,2110,N/A,N/A,0,-5,"NYSE","","","Common Stock",2.93001527,2.93001527
19800822,2.98193959,3.00419287,2.98193959,2.98193959,2320,6918,N/A,N/A,0,-5,"NYSE","","","Common Stock",2.98193959,2.98193959
19800825,2.99677511,3.00419287,2.99677511,2.99677511,896,2685,N/A,N/A,0,-5,"NYSE","","","Common Stock",2.99677511,2.99677511
19800826,2.99677511,3.01161063,2.99677511,2.99677511,144,432,N/A,N/A,0,-5,"NYSE","","","Common Stock",2.99677511,2.99677511
19800827,2.98935735,2.98935735,2.97452183,2.97452183,1776,5283,N/A,N/A,0,-5,"NYSE","","","Common Stock",2.97452183,2.97452183
19800828,2.90776199,2.90776199,2.87809095,2.87809095,3760,10822,N/A,N/A,0,-5,"NYSE","","","Common Stock",2.87809095,2.87809095
19800829,2.87809095,2.89292647,2.87809095,2.87809095,1120,3223,N/A,N/A,0,-5,"NYSE","","","Common Stock",2.87809095,2.87809095
19800901,2.87809095,2.89292647,2.87809095,2.87809095,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",48.50000000,2.87809095
