Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20141021,32.81000000,53.85000000,32.81000000,41.00000000,2709,111069,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",41.00000000,41.00000000
20141022,41.00000000,41.99000000,39.75000000,39.75000000,3328,132288,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",39.75000000,39.75000000
20141023,39.75000000,39.76000000,39.40000000,39.45000000,2072,81740,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",39.45000000,39.45000000
20141024,39.48000000,39.48000000,38.50000000,38.74000000,1042,40367,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",38.74000000,38.74000000
20141027,38.25000000,38.50000000,38.25000000,38.40000000,1213,46579,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",38.40000000,38.40000000
20141028,38.00000000,38.45000000,37.67000000,38.08000000,3196,121704,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",38.08000000,38.08000000
20141029,38.30000000,38.30000000,38.13000000,38.25000000,442,16907,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",38.25000000,38.25000000
20141030,38.25000000,38.25000000,37.75000000,37.75000000,1399,52812,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",37.75000000,37.75000000
20141031,38.25000000,38.40000000,37.00000000,37.97000000,82711,3140537,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",37.97000000,37.97000000
20141103,37.52000000,38.89000000,37.51000000,38.45000000,36409,1399926,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",38.45000000,38.45000000
20141104,38.50000000,38.68000000,35.90000000,36.97000000,37577,1389222,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",36.97000000,36.97000000
20141105,35.90000000,38.45000000,35.56000000,38.13000000,30637,1168189,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",38.13000000,38.13000000
20141106,37.20000000,40.76000000,37.20000000,38.95000000,26233,1021775,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",38.95000000,38.95000000
20141107,38.50000000,39.18000000,36.75000000,36.96000000,40456,1495254,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",36.96000000,36.96000000
20141110,35.61000000,37.38000000,35.61000000,35.82000000,25777,923332,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",35.82000000,35.82000000
20141111,36.07000000,36.79000000,35.65000000,36.50000000,15350,560275,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",36.50000000,36.50000000
20141112,36.66000000,38.23000000,36.56000000,38.10000000,15287,582435,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",38.10000000,38.10000000
20141113,37.56000000,38.18000000,37.22000000,37.51000000,20586,772181,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",37.51000000,37.51000000
20141114,37.09000000,37.61000000,37.01000000,37.40000000,10716,400778,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",37.40000000,37.40000000
20141117,37.11000000,37.85000000,36.82000000,37.76000000,8107,306120,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",37.76000000,37.76000000
20141118,37.91000000,39.76000000,37.65000000,39.33000000,11169,439277,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",39.33000000,39.33000000
20141119,38.92000000,39.28000000,38.15000000,39.01000000,8835,344653,N/A,N/A,1815367,46536,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",39.01000000,39.01000000
20141120,38.44000000,39.80000000,38.44000000,39.71000000,8324,330546,N/A,N/A,1847943,46536,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",39.71000000,39.71000000
20141121,39.92000000,39.92000000,38.41000000,39.29000000,7473,293614,N/A,N/A,1828398,46536,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",39.29000000,39.29000000
20141124,39.22000000,39.29000000,38.48000000,38.86000000,9767,379546,N/A,N/A,1808387,46536,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",38.86000000,38.86000000
20141125,38.61000000,38.93000000,38.49000000,38.82000000,7899,306639,N/A,N/A,1806526,46536,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",38.82000000,38.82000000
20141126,38.82000000,39.17000000,38.60000000,39.10000000,3610,141151,N/A,N/A,1819556,46536,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",39.10000000,39.10000000
20141127,38.82000000,39.17000000,38.60000000,39.10000000,0,0,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",39.10000000,39.10000000
20141128,38.99000000,39.74000000,38.60000000,39.21000000,2265,88811,N/A,N/A,1824675,46536,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",39.21000000,39.21000000
20141201,39.04000000,39.49000000,38.30500000,38.79000000,6732,261134,N/A,N/A,1805130,46536,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",38.79000000,38.79000000
20141202,38.30000000,38.69000000,37.35000000,37.53000000,7276,273068,N/A,N/A,1746494,46536,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",37.53000000,37.53000000
20141203,37.50000000,38.12000000,36.75000000,37.51000000,9845,369286,N/A,N/A,1745564,46536,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",37.51000000,37.51000000
20141204,37.52000000,39.26000000,37.29300000,39.13000000,6495,254149,N/A,N/A,1820952,46536,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",39.13000000,39.13000000
20141205,38.85000000,39.02000000,38.19000000,38.62000000,4142,159964,N/A,N/A,1797218,46536,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",38.62000000,38.62000000
20141208,38.12000000,39.19000000,38.12000000,39.10000000,3508,137163,N/A,N/A,1819556,46536,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",39.10000000,39.10000000
20141209,38.64000000,39.50000000,38.37000000,39.40000000,4530,178482,N/A,N/A,1833516,46536,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",39.40000000,39.40000000
20141210,39.93000000,39.93000000,38.50000000,38.76000000,5758,223180,N/A,N/A,1803733,46536,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",38.76000000,38.76000000
20141211,38.75000000,39.67000000,38.69000000,39.30000000,4002,157279,N/A,N/A,1828863,46536,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",39.30000000,39.30000000
20141212,39.27000000,39.58000000,38.64000000,38.67000000,3752,145090,N/A,N/A,1799545,46536,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",38.67000000,38.67000000
20141215,38.62000000,38.80000000,38.12000000,38.51000000,3103,119497,N/A,N/A,1792099,46536,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",38.51000000,38.51000000
20141216,38.50000000,39.44400000,38.26000000,38.53000000,3667,141290,N/A,N/A,1793030,46536,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",38.53000000,38.53000000
