Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20141212,19.25000000,19.44000000,18.10000000,18.50000000,86275,1596088,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.50000000,18.50000000
20141215,18.50000000,18.60000000,18.10000000,18.58000000,4512,83833,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.58000000,18.58000000
20141216,18.49000000,18.53000000,18.00000000,18.04000000,3746,67578,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.04000000,18.04000000
20141217,18.09000000,18.33000000,18.00000000,18.20000000,7097,129165,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.20000000,18.20000000
20141218,18.50000000,18.75000000,18.09000000,18.50000000,6139,113572,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.50000000,18.50000000
20141219,18.50000000,19.69000000,18.50000000,19.41000000,3381,65625,N/A,N/A,0,-5,"NYSE","","","Common Stock",19.41000000,19.41000000
20141222,19.20000000,19.65000000,19.00000000,19.46000000,2562,49857,N/A,N/A,0,-5,"NYSE","","","Common Stock",19.46000000,19.46000000
20141223,19.65000000,19.80000000,19.30000000,19.31000000,1024,19773,N/A,N/A,0,-5,"NYSE","","","Common Stock",19.31000000,19.31000000
20141224,19.26000000,19.46000000,19.02000000,19.18000000,284,5447,N/A,N/A,0,-5,"NYSE","","","Common Stock",19.18000000,19.18000000
20141225,19.26000000,19.46000000,19.02000000,19.18000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",19.18000000,19.18000000
20141226,19.01000000,19.34000000,19.01000000,19.05000000,480,9144,N/A,N/A,0,-5,"NYSE","","","Common Stock",19.05000000,19.05000000
20141229,19.02000000,19.25000000,18.67000000,18.90000000,3292,62219,N/A,N/A,0,-5,"NYSE","","","Common Stock",18.90000000,18.90000000
20141230,18.82000000,19.34000000,18.53000000,19.25000000,1968,37884,N/A,N/A,0,-5,"NYSE","","","Common Stock",19.25000000,19.25000000
20141231,19.29000000,19.90000000,19.02000000,19.80000000,3535,69993,N/A,N/A,0,-5,"NYSE","","","Common Stock",19.80000000,19.80000000
20150101,19.29000000,19.90000000,19.02000000,19.80000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",19.80000000,19.80000000
20150102,19.77000000,19.77000000,18.73500000,19.50000000,2135,41633,N/A,N/A,0,-5,"NYSE","","","Common Stock",19.50000000,19.50000000
20150105,19.52000000,19.87000000,19.18000000,19.34000000,992,19185,N/A,N/A,0,-5,"NYSE","","","Common Stock",19.34000000,19.34000000
