Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20190517,14.72000000,14.95000000,14.00000000,14.50000000,391722,5679969,N/A,N/A,0,-5,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",14.50000000,14.50000000
20190520,14.30000000,16.24000000,14.22000000,15.41000000,158396,2440882,N/A,N/A,8711948,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",15.41000000,15.41000000
20190521,15.65000000,17.02000000,15.60000000,16.70000000,116946,1952998,N/A,N/A,9441242,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",16.70000000,16.70000000
20190522,16.58000000,17.62000000,16.50000000,17.30000000,97064,1679207,N/A,N/A,9780448,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",17.30000000,17.30000000
20190523,17.30000000,17.98000000,16.98000000,17.40000000,175991,3062243,N/A,N/A,9836982,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",17.40000000,17.40000000
20190524,17.26000000,17.45000000,17.04000000,17.32000000,36158,626257,N/A,N/A,9791755,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",17.32000000,17.32000000
20190527,17.26000000,17.45000000,17.04000000,17.32000000,0,0,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",17.32000000,17.32000000
20190528,17.35000000,17.70000000,17.14000000,17.70000000,124661,2206500,N/A,N/A,10006585,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",17.70000000,17.70000000
20190529,17.50000000,17.76000000,17.33000000,17.45000000,33951,592445,N/A,N/A,9865249,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",17.45000000,17.45000000
20190530,17.40000000,17.52100000,17.24000000,17.31000000,42822,741249,N/A,N/A,9786101,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",17.31000000,17.31000000
20190531,17.16000000,17.65000000,17.08000000,17.50000000,33973,594528,N/A,N/A,9893517,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",17.50000000,17.50000000
20190603,17.47000000,17.88000000,17.38000000,17.58000000,26695,469298,N/A,N/A,9938744,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",17.58000000,17.58000000
20190604,17.61000000,17.89000000,17.43000000,17.50000000,18170,317975,N/A,N/A,9893517,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",17.50000000,17.50000000
20190605,17.60000000,17.62000000,17.30000000,17.35000000,13896,241096,N/A,N/A,9808715,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",17.35000000,17.35000000
20190606,17.30000000,17.34000000,16.82000000,17.05000000,31288,533460,N/A,N/A,9639112,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",17.05000000,17.05000000
20190607,17.09000000,17.39000000,17.01000000,17.20000000,46267,795792,N/A,N/A,9723913,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",17.20000000,17.20000000
20190610,17.29000000,17.40000000,17.16000000,17.30000000,33451,578702,N/A,N/A,9780448,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",17.30000000,17.30000000
20190611,17.62000000,17.83000000,17.47000000,17.60000000,72272,1271987,N/A,N/A,9950051,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",17.60000000,17.60000000
20190612,17.90000000,18.21000000,17.52000000,18.19000000,59519,1082651,N/A,N/A,10283604,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",18.19000000,18.19000000
20190613,18.28000000,18.75000000,18.08000000,18.62000000,50044,931819,N/A,N/A,10526702,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",18.62000000,18.62000000
20190614,18.81000000,18.94000000,18.50000000,18.80000000,15095,283786,N/A,N/A,10628464,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",18.80000000,18.80000000
20190617,18.90000000,18.90000000,18.55000000,18.62000000,12258,228244,N/A,N/A,10526702,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",18.62000000,18.62000000
20190618,18.66000000,18.93000000,18.38000000,18.80000000,21356,401493,N/A,N/A,10628464,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",18.80000000,18.80000000
20190619,18.75000000,18.84000000,18.50000000,18.80000000,19695,370266,N/A,N/A,10628464,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",18.80000000,18.80000000
20190620,18.85000000,19.10800000,18.80000000,18.91000000,22765,430486,N/A,N/A,10690651,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",18.91000000,18.91000000
20190621,18.92000000,19.05000000,18.90000000,19.04000000,29115,554350,N/A,N/A,10764146,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",19.04000000,19.04000000
20190624,19.07000000,19.20000000,18.96000000,19.05000000,17089,325545,N/A,N/A,10769800,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",19.05000000,19.05000000
20190625,19.00000000,19.00000000,18.56000000,18.70000000,21449,401096,N/A,N/A,10571929,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",18.70000000,18.70000000
20190626,18.68000000,18.81000000,18.41000000,18.69000000,39780,743488,N/A,N/A,10566276,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",18.69000000,18.69000000
20190627,18.70000000,18.70000000,18.36000000,18.56000000,20877,387477,N/A,N/A,10492781,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",18.56000000,18.56000000
20190628,18.60000000,19.12500000,18.55000000,19.09000000,24877,474902,N/A,N/A,10792413,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",19.09000000,19.09000000
20190701,19.27000000,19.58500000,18.60000000,18.74000000,28256,529517,N/A,N/A,10594543,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",18.74000000,18.74000000
20190702,18.74000000,18.85000000,18.61000000,18.75000000,10039,188231,N/A,N/A,10600196,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",18.75000000,18.75000000
20190703,18.80000000,19.04000000,18.70000000,18.94000000,8852,167657,N/A,N/A,10707612,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",18.94000000,18.94000000
20190704,18.80000000,19.04000000,18.70000000,18.94000000,0,0,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",18.94000000,18.94000000
20190705,18.94000000,19.19000000,18.81000000,19.18000000,22084,423571,N/A,N/A,10843294,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",19.18000000,19.18000000
20190708,19.05000000,19.08000000,18.61300000,18.97000000,30493,578452,N/A,N/A,10724572,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",18.97000000,18.97000000
20190709,18.94000000,19.10000000,18.20500000,18.43000000,54866,1011180,N/A,N/A,10419286,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",18.43000000,18.43000000
20190710,18.43000000,18.79000000,18.27000000,18.34000000,35046,642744,N/A,N/A,10368405,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",18.34000000,18.34000000
20190711,18.34000000,18.54500000,18.12100000,18.54000000,18667,346086,N/A,N/A,10481474,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",18.54000000,18.54000000
20190712,18.51000000,18.73000000,18.15000000,18.33000000,19072,349590,N/A,N/A,10362752,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",18.33000000,18.33000000
20190715,18.21000000,18.25000000,17.39000000,17.73000000,39354,697746,N/A,N/A,10023546,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",17.73000000,17.73000000
20190716,17.74000000,17.74000000,17.14000000,17.16000000,15206,260935,N/A,N/A,9701300,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",17.16000000,17.16000000
20190717,17.16000000,17.16000000,16.84000000,17.00000000,9474,161058,N/A,N/A,9610845,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",17.00000000,17.00000000
20190718,17.00000000,17.71000000,16.89000000,17.54000000,22759,399193,N/A,N/A,9916130,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",17.54000000,17.54000000
20190719,17.65000000,18.55000000,17.65000000,18.41000000,25139,462809,N/A,N/A,10407980,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",18.41000000,18.41000000
20190722,18.37000000,18.59000000,18.02000000,18.45000000,10983,202636,N/A,N/A,10430593,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",18.45000000,18.45000000
20190723,18.52000000,18.62000000,18.32000000,18.44000000,12552,231459,N/A,N/A,10424940,565344,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",18.44000000,18.44000000
