Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19800801,0.51291744,0.55314626,0.50286024,0.50286024,6,3,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Water","Common Stock",0.50286024,0.50286024
19800804,0.50286024,0.55314626,0.50286024,0.50286024,12,6,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Water","Common Stock",0.50286024,0.50286024
19800805,0.50286024,0.55314626,0.50286024,0.50286024,48,24,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Water","Common Stock",0.50286024,0.50286024
19800806,0.50286024,0.55314626,0.50286024,0.50286024,54,27,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Water","Common Stock",0.50286024,0.50286024
19800807,0.50286024,0.55314626,0.50286024,0.50286024,120,60,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Water","Common Stock",0.50286024,0.50286024
19800808,0.50286024,0.55314626,0.50286024,0.50286024,42,21,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Water","Common Stock",0.50286024,0.50286024
19800811,0.50286024,0.55314626,0.50286024,0.50286024,24,12,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Water","Common Stock",0.50286024,0.50286024
19800812,0.50286024,0.55314626,0.50286024,0.50286024,6,3,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Water","Common Stock",0.50286024,0.50286024
19800813,0.50286024,0.55314626,0.50286024,0.50286024,24,12,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Water","Common Stock",0.50286024,0.50286024
19800814,0.50286024,0.54308906,0.49280303,0.49280303,60,30,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Water","Common Stock",0.49280303,0.49280303
19800815,0.49280303,0.54308906,0.49280303,0.49280303,30,15,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Water","Common Stock",0.49280303,0.49280303
19800818,0.49280303,0.54308906,0.49280303,0.49280303,18,9,N/A,N/A,0,-5,"NYSE","Utilities","Utilities/Water","Common Stock",0.49280303,0.49280303
