Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20141112,20.94000000,20.94000000,20.11000000,20.75000000,248607,5158595,N/A,N/A,4767927,229780,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",20.75000000,20.75000000
20141113,20.75000000,21.99000000,20.74500000,21.50000000,22760,489340,N/A,N/A,4940262,229780,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",21.50000000,21.50000000
20141114,21.50000000,22.37000000,21.46000000,21.98000000,20892,459206,N/A,N/A,5050556,229780,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",21.98000000,21.98000000
20141117,22.06000000,22.84000000,21.50000000,22.33000000,16284,363622,N/A,N/A,5130979,229780,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",22.33000000,22.33000000
20141118,22.13000000,22.40000000,21.75000000,21.88000000,4379,95813,N/A,N/A,5027578,229780,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",21.88000000,21.88000000
20141119,21.91000000,23.09000000,21.80000000,22.24000000,13871,308491,N/A,N/A,5110299,229780,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",22.24000000,22.24000000
20141120,22.21000000,22.69000000,22.10000000,22.29000000,14333,319483,N/A,N/A,5121788,229780,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",22.29000000,22.29000000
20141121,22.68000000,22.76000000,22.29000000,22.56000000,8355,188489,N/A,N/A,5183828,229780,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",22.56000000,22.56000000
20141124,22.64000000,22.70000000,22.13000000,22.41000000,7580,169868,N/A,N/A,5149361,229780,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",22.41000000,22.41000000
20141125,22.48000000,23.65000000,22.28000000,22.99000000,12239,281375,N/A,N/A,5282634,229780,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",22.99000000,22.99000000
20141126,23.34000000,23.34000000,22.63500000,22.98000000,6462,148497,N/A,N/A,5280336,229780,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",22.98000000,22.98000000
20141127,23.34000000,23.34000000,22.63500000,22.98000000,0,0,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",22.98000000,22.98000000
20141128,23.06000000,23.80000000,23.00000000,23.80000000,3275,77945,N/A,N/A,5468755,229780,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",23.80000000,23.80000000
20141201,23.90000000,24.25000000,23.51000000,23.73000000,11505,273014,N/A,N/A,5452671,229780,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",23.73000000,23.73000000
20141202,23.55000000,24.51000000,23.35000000,24.41000000,10592,258551,N/A,N/A,5608921,229780,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",24.41000000,24.41000000
20141203,24.85000000,25.43000000,24.31100000,25.16000000,9499,238995,N/A,N/A,5781255,229780,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",25.16000000,25.16000000
20141204,25.60000000,25.94000000,24.91500000,25.03000000,9322,233330,N/A,N/A,5751384,229780,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",25.03000000,25.03000000
20141205,25.00000000,25.47000000,24.73000000,25.03000000,10685,267446,N/A,N/A,5751384,229780,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",25.03000000,25.03000000
20141208,24.50000000,25.48000000,24.21000000,24.72000000,6378,157664,N/A,N/A,5680152,229780,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",24.72000000,24.72000000
20141209,24.75000000,25.11000000,24.56000000,25.01000000,5974,149410,N/A,N/A,5746788,229780,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",25.01000000,25.01000000
20141210,24.81000000,24.96000000,24.50000000,24.70000000,10728,264982,N/A,N/A,5675557,229780,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",24.70000000,24.70000000
20141211,24.64000000,26.51000000,24.64000000,26.38000000,17846,470777,N/A,N/A,6061587,229780,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",26.38000000,26.38000000
20141212,26.30000000,26.33500000,25.58000000,26.03000000,14966,389565,N/A,N/A,5981164,229780,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",26.03000000,26.03000000
20141215,26.11000000,26.53000000,25.98000000,26.07000000,13949,363650,N/A,N/A,5990355,229780,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",26.07000000,26.07000000
20141216,26.32000000,27.09000000,26.00000000,26.27000000,10137,266299,N/A,N/A,6036311,229780,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",26.27000000,26.27000000
20141217,26.29000000,26.77000000,26.00000000,26.66000000,10881,290087,N/A,N/A,6125925,229780,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",26.66000000,26.66000000
20141218,26.99000000,27.00000000,25.99500000,26.75000000,15571,416524,N/A,N/A,6146605,229780,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",26.75000000,26.75000000
20141219,26.80000000,27.33000000,26.12000000,26.94000000,38837,1046269,N/A,N/A,6190263,229780,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",26.94000000,26.94000000
20141222,27.17000000,27.49000000,26.85000000,27.45000000,6572,180401,N/A,N/A,6307451,229780,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",27.45000000,27.45000000
