Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19811027,1.50844365,1.53897895,1.50844365,1.52676483,31557,48180,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",1.52676483,1.52676483
19811028,1.52676483,1.53897895,1.52065777,1.52676483,17043,26021,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",1.52676483,1.52676483
19811029,1.52676483,1.52676483,1.51455071,1.51455071,11157,16898,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",1.51455071,1.51455071
19811030,1.51455071,1.53592542,1.50844365,1.53592542,9032,13872,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",1.53592542,1.53592542
19811102,1.58172836,1.60004954,1.58172836,1.59394248,28330,45156,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",1.59394248,1.59394248
19811103,1.59394248,1.60921013,1.58783542,1.60310307,21243,34055,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",1.60310307,1.60310307
19811104,1.60310307,1.60921013,1.58172836,1.58478189,7622,12079,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",1.58478189,1.58478189
19811105,1.58478189,1.58783542,1.56340718,1.56340718,12892,20155,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",1.56340718,1.56340718
19811106,1.55119307,1.55119307,1.52676483,1.53287189,58638,89885,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",1.53287189,1.53287189
19811109,1.56951424,1.56951424,1.53287189,1.55730012,13824,21528,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",1.55730012,1.55730012
19811110,1.55730012,1.58172836,1.55730012,1.56951424,19978,31356,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",1.56951424,1.56951424
19811111,1.56951424,1.57562130,1.55730012,1.57562130,4768,7513,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",1.57562130,1.57562130
19811112,1.57562130,1.58172836,1.56340718,1.56951424,8449,13261,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",1.56951424,1.56951424
19811113,1.56951424,1.56951424,1.55119307,1.55119307,8700,13495,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",1.55119307,1.55119307
19811116,1.55119307,1.55119307,1.51455071,1.55119307,15138,23482,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",1.55119307,1.55119307
19811117,1.56340718,1.60615660,1.56340718,1.60004954,8951,14322,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",1.60004954,1.60004954
19811118,1.61226366,1.64890601,1.61226366,1.61226366,15689,25295,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",1.61226366,1.61226366
19811119,1.61226366,1.63058484,1.61226366,1.62447778,8481,13777,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",1.62447778,1.62447778
19811120,1.62447778,1.63669190,1.61226366,1.61837072,7176,11613,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",1.61837072,1.61837072
19811123,1.61837072,1.62447778,1.53897895,1.56340718,32976,51555,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",1.56340718,1.56340718
19811124,1.55730012,1.55730012,1.53287189,1.54508601,53148,82118,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",1.54508601,1.54508601
19811125,1.56340718,1.60615660,1.56340718,1.58783542,15300,24294,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",1.58783542,1.58783542
19811126,1.56340718,1.60615660,1.56340718,1.58783542,0,0,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",32.50000000,1.58783542
19811127,1.58783542,1.61837072,1.58783542,1.61837072,3462,5603,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",1.61837072,1.61837072
19811130,1.61837072,1.61837072,1.60615660,1.61226366,13330,21491,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",1.61226366,1.61226366
19811201,1.61226366,1.61226366,1.60004954,1.61226366,3170,5111,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",1.61226366,1.61226366
19811202,1.61226366,1.61837072,1.59394248,1.60615660,5319,8543,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",1.60615660,1.60615660
19811203,1.60615660,1.61226366,1.59394248,1.61226366,7784,12550,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",1.61226366,1.61226366
19811204,1.61226366,1.63669190,1.61226366,1.62447778,4500,7310,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",1.62447778,1.62447778
19811207,1.61837072,1.61837072,1.58783542,1.59394248,13954,22242,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",1.59394248,1.59394248
19811208,1.58783542,1.58783542,1.55119307,1.57562130,8465,13338,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",1.57562130,1.57562130
19811209,1.57562130,1.61226366,1.56340718,1.61226366,4427,7137,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",1.61226366,1.61226366
19811210,1.61226366,1.61226366,1.59394248,1.60004954,5870,9392,N/A,N/A,0,-5,"NYSE","Healthcare","Healthcare/Medical Supplies","Common Stock",1.60004954,1.60004954
