Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19960312,113.73249651,116.55231047,112.79255852,113.73249651,80,9099,N/A,N/A,0,-5,"NYSE","","","Common Stock",113.73249651,113.73249651
19960313,112.79255852,116.55231047,112.79255852,116.55231047,18,2098,N/A,N/A,0,-5,"NYSE","","","Common Stock",116.55231047,116.55231047
19960314,116.55231047,116.55231047,112.79255852,112.79255852,99,11166,N/A,N/A,0,-5,"NYSE","","","Common Stock",112.79255852,112.79255852
19960315,116.55231047,116.55231047,112.79255852,116.55231047,28,3263,N/A,N/A,0,-5,"NYSE","","","Common Stock",116.55231047,116.55231047
19960318,112.79255852,116.55231047,112.79255852,112.79255852,40,4512,N/A,N/A,0,-5,"NYSE","","","Common Stock",112.79255852,112.79255852
19960319,116.55231047,116.55231047,112.79255852,115.61237249,40,4624,N/A,N/A,0,-5,"NYSE","","","Common Stock",115.61237249,115.61237249
19960320,112.79255852,115.61237249,112.79255852,115.61237249,28,3237,N/A,N/A,0,-5,"NYSE","","","Common Stock",115.61237249,115.61237249
19960321,115.61237249,115.61237249,112.79255852,115.61237249,14,1619,N/A,N/A,0,-5,"NYSE","","","Common Stock",115.61237249,115.61237249
19960322,112.79255852,115.61237249,112.79255852,115.61237249,30,3468,N/A,N/A,0,-5,"NYSE","","","Common Stock",115.61237249,115.61237249
19960325,115.61237249,115.61237249,112.79255852,115.61237249,6,694,N/A,N/A,0,-5,"NYSE","","","Common Stock",115.61237249,115.61237249
19960326,115.61237249,115.61237249,112.79255852,114.67243450,17,1949,N/A,N/A,0,-5,"NYSE","","","Common Stock",114.67243450,114.67243450
19960327,114.67243450,114.67243450,114.67243450,114.67243450,3,344,N/A,N/A,0,-5,"NYSE","","","Common Stock",114.67243450,114.67243450
19960328,114.67243450,114.67243450,114.67243450,114.67243450,17,1949,N/A,N/A,0,-5,"NYSE","","","Common Stock",114.67243450,114.67243450
19960329,114.67243450,114.67243450,114.67243450,114.67243450,18,2064,N/A,N/A,0,-5,"NYSE","","","Common Stock",114.67243450,114.67243450
19960401,114.67243450,114.67243450,112.79255852,114.67243450,14,1605,N/A,N/A,0,-5,"NYSE","","","Common Stock",114.67243450,114.67243450
