Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20000810,18.90824310,19.89048950,18.66268150,19.39936630,55562,1077868,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",19.39936630,19.39936630
20000811,19.21519510,19.27658550,18.96963350,19.03102390,8901,169395,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",19.03102390,19.03102390
20000814,18.90824310,19.33797590,18.66268150,19.33797590,3233,62520,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",19.33797590,19.33797590
20000815,19.15380470,21.11829749,19.09241430,20.62717429,3807,78528,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",20.62717429,20.62717429
20000816,20.74995509,23.57391348,20.74995509,22.83722868,2673,61044,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",22.83722868,22.83722868
20000817,22.59166708,22.89861908,22.22332469,22.34610548,2442,54569,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",22.34610548,22.34610548
20000818,22.22332469,23.08279028,21.97776309,22.96000948,993,22799,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",22.96000948,22.96000948
20000821,23.08279028,24.37198867,23.08279028,23.57391348,5691,134159,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",23.57391348,23.57391348
20000822,23.57391348,23.94225588,23.51252308,23.94225588,766,18340,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",23.94225588,23.94225588
20000823,23.88086548,24.24920787,23.63530388,24.18781748,4089,98904,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",24.18781748,24.18781748
20000824,24.00364628,24.31059827,23.94225588,24.18781748,1565,37854,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",24.18781748,24.18781748
20000825,24.24920787,24.31059827,23.45113268,23.69669428,2383,56469,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",23.69669428,23.69669428
20000828,23.81947508,23.94225588,23.57391348,23.69669428,469,11114,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",23.69669428,23.69669428
20000829,23.63530388,23.75808468,23.20557108,23.45113268,1719,40312,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",23.45113268,23.45113268
20000830,23.20557108,24.06503668,22.77583828,23.94225588,1880,45011,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",23.94225588,23.94225588
20000831,24.43337907,25.29284467,23.69669428,25.29284467,2309,58401,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",25.29284467,25.29284467
20000901,25.10867347,25.78396787,24.86311187,25.53840627,3135,80063,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",25.53840627,25.53840627
20000904,25.10867347,25.78396787,24.86311187,25.53840627,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",26.00000000,25.53840627
20000905,25.17006387,25.47701587,23.26696148,23.32835188,2479,57831,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",23.32835188,23.32835188
20000906,23.45113268,23.57391348,20.99551669,21.48663989,2510,53931,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",21.48663989,21.48663989
20000907,21.48663989,22.40749588,21.48663989,22.28471509,1433,31934,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",22.28471509,22.28471509
20000908,22.53027668,22.71444788,22.40749588,22.65305748,274,6207,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",22.65305748,22.65305748
20000911,22.59166708,22.96000948,22.16193429,22.53027668,327,7367,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",22.53027668,22.53027668
20000912,22.46888628,22.46888628,21.60942069,21.85498229,1839,40191,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",21.85498229,21.85498229
20000913,21.97776309,22.22332469,21.54803029,22.10054389,809,17879,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",22.10054389,22.10054389
20000914,22.10054389,22.34610548,22.03915349,22.22332469,764,16979,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",22.22332469,22.22332469
20000915,22.34610548,22.34610548,22.03915349,22.16193429,516,11436,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",22.16193429,22.16193429
20000918,22.16193429,22.22332469,21.60942069,21.60942069,3414,73775,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",21.60942069,21.60942069
20000919,21.60942069,21.67081109,21.42524949,21.54803029,1018,21936,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",21.54803029,21.54803029
20000920,21.54803029,21.54803029,21.05690709,21.11829749,135,2851,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",21.11829749,21.11829749
20000921,21.24107829,21.36385909,21.11829749,21.17968789,962,20375,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",21.17968789,21.17968789
20000922,20.93412629,20.93412629,20.68856469,20.74995509,1218,25273,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",20.74995509,20.74995509
20000925,20.74995509,21.42524949,20.74995509,21.11829749,5974,126161,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",21.11829749,21.11829749
20000926,21.11829749,21.30246869,20.74995509,20.81134549,1652,34380,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",20.81134549,20.81134549
20000927,20.62717429,20.74995509,20.01327030,20.07466070,1619,32501,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",20.07466070,20.07466070
20000928,19.95187990,19.95187990,19.52214710,19.64492790,1680,33003,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",19.64492790,19.64492790
20000929,19.64492790,19.64492790,18.84685270,18.90824310,1078,20383,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",18.90824310,18.90824310
20001002,18.78546230,19.03102390,18.66268150,18.96963350,1401,26576,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",18.96963350,18.96963350
20001003,19.03102390,19.27658550,18.66268150,18.78546230,3326,62480,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",18.78546230,18.78546230
20001004,18.66268150,19.09241430,18.66268150,18.84685270,376,7086,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",18.84685270,18.84685270
20001005,18.72407190,18.78546230,18.17155831,18.29433911,105,1921,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",18.29433911,18.29433911
20001006,18.29433911,18.29433911,16.32984632,16.45262712,979,16107,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",16.45262712,16.45262712
20001009,16.45262712,17.43487351,16.32984632,17.43487351,1201,20939,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",17.43487351,17.43487351
20001010,17.31209271,18.04877751,17.12792151,17.98738711,1074,19318,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",17.98738711,17.98738711
20001011,18.17155831,18.47851030,17.74182551,17.74182551,1182,20971,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",17.74182551,17.74182551
20001012,17.74182551,17.80321591,16.88235991,16.94375031,487,8252,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",16.94375031,16.94375031
20001013,16.82096951,16.88235991,16.57540791,16.88235991,3449,58227,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",16.88235991,16.88235991
