Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20070523,5.64635296,5.87638956,5.44559375,5.54597335,66688,369850,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.54597335,5.54597335
20070524,5.58779819,5.77182747,5.57106826,5.73000264,8856,50745,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.73000264,5.73000264
20070525,5.73418512,5.77600996,5.65053545,5.68817780,2481,14112,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.68817780,5.68817780
20070528,5.73418512,5.77600996,5.65053545,5.68817780,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",13.60000000,5.68817780
20070529,5.68817780,5.81783479,5.60452813,5.73418512,1939,11119,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.73418512,5.73418512
20070530,5.68817780,5.69236028,5.60871061,5.66726538,2888,16367,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.66726538,5.66726538
20070531,5.67981283,5.72163767,5.63380551,5.65471793,2356,13323,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.65471793,5.65471793
20070601,5.70909022,5.73418512,5.61289309,5.73418512,994,5700,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.73418512,5.73418512
20070604,5.80946983,5.80946983,5.64635296,5.70909022,1139,6503,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.70909022,5.70909022
20070605,5.70909022,5.77182747,5.64635296,5.74673257,877,5040,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.74673257,5.74673257
20070606,5.74673257,5.75091505,5.63798799,5.73000264,631,3616,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.73000264,5.73000264
20070607,5.74673257,5.75509754,5.65471793,5.73836760,1846,10593,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.73836760,5.73836760
20070608,5.73836760,5.81365231,5.65471793,5.79273989,3366,19498,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.79273989,5.79273989
20070611,5.83038224,5.83038224,5.63798799,5.65053545,3666,20715,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.65053545,5.65053545
20070612,5.64635296,5.70909022,5.48323610,5.54179087,7900,43780,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.54179087,5.54179087
20070613,5.62544054,5.65890041,5.49578355,5.62962303,5624,31661,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.62962303,5.62962303
20070614,5.67144786,5.75091505,5.57525074,5.63798799,2913,16423,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.63798799,5.63798799
20070615,5.63798799,5.70490773,5.55015584,5.70490773,2635,15032,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.70490773,5.70490773
20070618,5.63380551,5.67563035,5.55433832,5.64635296,2352,13280,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.64635296,5.64635296
20070619,5.68399532,5.81783479,5.55852080,5.81365231,2819,16389,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.81365231,5.81365231
20070620,5.68817780,5.68817780,5.61289309,5.65890041,2043,11561,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.65890041,5.65890041
20070621,5.68817780,5.68817780,5.62962303,5.68399532,1802,10243,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.68399532,5.68399532
20070622,5.70072525,5.72163767,5.63798799,5.72163767,2603,14893,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.72163767,5.72163767
20070625,5.70490773,5.70490773,5.58361571,5.58361571,2928,16349,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.58361571,5.58361571
20070626,5.58361571,5.62544054,5.56270329,5.60452813,493,2763,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.60452813,5.60452813
20070627,5.71587074,5.71587074,5.61387750,5.65212497,1999,11299,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.65212497,5.65212497
20070628,5.65212497,5.65212497,5.56288089,5.58837920,841,4700,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.58837920,5.58837920
20070629,5.58837920,5.60962779,5.48213625,5.60962779,2102,11791,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.60962779,5.60962779
20070702,5.60962779,5.70312158,5.56288089,5.63087638,1400,7883,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.63087638,5.63087638
20070703,5.63512610,5.66912384,5.57987976,5.63937581,1590,8967,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.63937581,5.63937581
20070704,5.63512610,5.66912384,5.57987976,5.63937581,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",13.27000000,5.63937581
20070705,5.65212497,5.72861989,5.61812722,5.67337356,2017,11443,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.67337356,5.67337356
20070706,5.70312158,5.73286961,5.64787525,5.70737130,940,5365,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.70737130,5.70737130
20070709,5.72861989,5.79236566,5.65212497,5.65637469,1401,7925,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.65637469,5.65637469
20070710,5.70312158,5.85186171,5.66062440,5.75836792,2212,12738,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.75836792,5.75836792
20070711,5.80936453,5.82636341,5.72012046,5.77111707,3089,17827,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.77111707,5.77111707
20070712,5.84336228,5.92835664,5.76686735,5.77961651,2137,12351,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.77961651,5.77961651
20070713,5.77961651,5.88160974,5.74136905,5.82211369,954,5554,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.82211369,5.82211369
20070716,5.85611143,5.86886059,5.80511482,5.84336228,1088,6358,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.84336228,5.84336228
20070717,5.87736002,5.90710805,5.81361425,5.86036115,1288,7548,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.86036115,5.86036115
20070718,5.89010918,5.89010918,5.82636341,5.84336228,749,4377,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.84336228,5.84336228
20070719,5.87311030,5.88585946,5.81361425,5.84336228,401,2343,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.84336228,5.84336228
20070720,5.80086510,5.97510354,5.80086510,5.97510354,470,2808,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.97510354,5.97510354
20070723,5.97510354,5.97510354,5.82211369,5.86886059,904,5305,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.86886059,5.86886059
20070724,5.86886059,5.89435889,5.78386623,5.79236566,224,1297,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.79236566,5.79236566
20070725,5.85186171,5.95810466,5.82636341,5.86461087,1086,6369,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.86461087,5.86461087
20070726,5.83486284,5.83486284,5.69037243,5.73286961,350,2007,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.73286961,5.73286961
20070727,5.63512610,5.78386623,5.63512610,5.74561876,491,2821,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.74561876,5.74561876
20070730,5.88585946,5.88585946,5.71587074,5.73711933,435,2496,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.73711933,5.73711933
20070731,5.67762328,5.77111707,5.60537807,5.65637469,6520,36880,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.65637469,5.65637469
20070801,5.67762328,5.74136905,5.67762328,5.72861989,903,5173,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.72861989,5.72861989
20070802,5.82211369,5.83911256,5.72012046,5.72012046,383,2191,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.72012046,5.72012046
20070803,5.86036115,5.86036115,5.63512610,5.65212497,337,1905,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.65212497,5.65212497
20070806,5.73711933,5.76686735,5.60962779,5.69037243,1157,6584,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.69037243,5.69037243
20070807,5.72861989,5.87736002,5.67337356,5.69462215,1294,7369,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.69462215,5.69462215
20070808,5.77961651,5.78811594,5.62662666,5.72012046,757,4330,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.72012046,5.72012046
20070809,5.72861989,5.73711933,5.52463343,5.52888314,973,5380,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.52888314,5.52888314
20070810,5.55863117,5.62237694,5.46938709,5.59687863,1344,7522,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.59687863,5.59687863
20070813,5.75411820,5.80936453,5.60537807,5.64787525,207,1169,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.64787525,5.64787525
20070814,5.69462215,5.72861989,5.34614527,5.34614527,294,1572,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.34614527,5.34614527
20070815,5.52463343,5.82211369,5.48213625,5.49063568,4607,25295,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.49063568,5.49063568
20070816,5.56713061,5.58412948,5.05716444,5.32914640,5323,28367,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.32914640,5.32914640
20070817,5.63087638,5.68612271,5.21865373,5.32489668,5759,30666,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.32489668,5.32489668
20070820,5.35464471,5.44813850,5.16340739,5.28664922,3935,20803,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.28664922,5.28664922
20070821,5.28664922,5.32489668,5.23565260,5.29089894,726,3841,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.29089894,5.29089894
20070822,5.35039499,5.35464471,5.28664922,5.34189555,2351,12559,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.34189555,5.34189555
20070823,5.35464471,5.41414076,5.29514865,5.39714189,629,3395,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.39714189,5.39714189
20070824,5.39714189,5.41839048,5.36739386,5.39714189,698,3767,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.39714189,5.39714189
20070827,5.43963907,5.43963907,5.31214753,5.32064696,580,3086,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.32064696,5.32064696
20070828,5.33339612,5.35889442,5.31214753,5.31214753,215,1142,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.31214753,5.31214753
20070829,5.37589330,5.38014301,5.28664922,5.33339612,855,4560,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.33339612,5.33339612
20070830,5.37589330,5.40989104,5.29514865,5.38439273,1154,6214,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.38439273,5.38439273
20070831,5.41414076,5.47363681,5.39714189,5.43538935,920,5001,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.43538935,5.43538935
20070903,5.41414076,5.47363681,5.39714189,5.43538935,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",12.79000000,5.43538935
20070904,5.46088766,5.54588202,5.43538935,5.54588202,1148,6367,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.54588202,5.54588202
20070905,5.52038371,5.57563004,5.50338484,5.56713061,379,2110,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.56713061,5.56713061
20070906,5.56713061,5.65212497,5.49063568,5.56713061,427,2377,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.56713061,5.56713061
20070907,5.52463343,5.72861989,5.52463343,5.65637469,1059,5990,N/A,N/A,0,-5,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",5.65637469,5.65637469
