Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20180501,1148.10000000,1285.00000000,1090.69000000,1175.52000000,24,28212,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1175.52000000,1175.52000000
20180502,1224.98000000,1224.98000000,1115.00000000,1120.06000000,31,34722,N/A,N/A,231700,207,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1120.06000000,1120.06000000
20180503,1100.02000000,1100.02000000,980.00000000,985.01000000,42,41370,N/A,N/A,203763,207,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",985.01000000,985.01000000
20180504,961.00000000,1019.00000000,961.00000000,1005.00000000,6,6030,N/A,N/A,207898,207,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1005.00000000,1005.00000000
20180507,985.00000000,1001.05000000,964.70000000,997.60000000,19,18954,N/A,N/A,206368,207,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",997.60000000,997.60000000
20180508,1000.00000000,1006.74000000,985.00000000,987.80000000,9,8890,N/A,N/A,204340,207,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",987.80000000,987.80000000
20180509,1056.90700000,1056.90700000,1004.44000000,1004.44000000,3,3013,N/A,N/A,207782,207,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1004.44000000,1004.44000000
20180510,1010.00000000,1010.00000000,985.01000000,985.01000000,3,2955,N/A,N/A,203763,207,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",985.01000000,985.01000000
20180511,1007.90000000,1007.90000000,970.01000000,1000.78000000,4,4003,N/A,N/A,207025,207,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",1000.78000000,1000.78000000
20180514,980.00000000,992.20000000,950.12000000,950.12000000,6,5701,N/A,N/A,196546,207,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",950.12000000,950.12000000
