Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19800801,4.67704394,4.93687971,4.67704394,4.67704394,10,47,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",4.67704394,4.67704394
19800804,4.67704394,4.93687971,4.67704394,4.67704394,18,84,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",4.67704394,4.67704394
19800805,4.67704394,4.93687971,4.67704394,4.67704394,6,28,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",4.67704394,4.67704394
19800806,4.67704394,4.93687971,4.67704394,4.67704394,7,33,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",4.67704394,4.67704394
19800807,4.67704394,5.19671549,4.67704394,4.67704394,7,33,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",4.67704394,4.67704394
19800808,4.93687971,5.19671549,4.93687971,4.93687971,6,30,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",4.93687971,4.93687971
19800811,4.93687971,5.19671549,4.93687971,4.93687971,7,35,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",4.93687971,4.93687971
19800812,4.93687971,5.19671549,4.67704394,4.67704394,13,61,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",4.67704394,4.67704394
19800813,4.67704394,4.93687971,4.67704394,4.67704394,2,9,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",4.67704394,4.67704394
19800814,4.93687971,5.19671549,4.93687971,4.93687971,8,39,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",4.93687971,4.93687971
19800815,4.93687971,5.19671549,4.67704394,4.67704394,8,37,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",4.67704394,4.67704394
19800818,4.67704394,5.19671549,4.67704394,4.67704394,1,5,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",4.67704394,4.67704394
19800819,4.67704394,4.93687971,4.67704394,4.67704394,1,5,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",4.67704394,4.67704394
19800820,4.67704394,4.93687971,4.67704394,4.67704394,0,0,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",4.67704394,4.67704394
19800821,4.67704394,4.93687971,4.67704394,4.67704394,3,14,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",4.67704394,4.67704394
19800822,4.67704394,4.93687971,4.67704394,4.67704394,3,14,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",4.67704394,4.67704394
19800825,4.67704394,4.93687971,4.67704394,4.67704394,8,37,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",4.67704394,4.67704394
19800826,4.67704394,4.93687971,4.67704394,4.67704394,9,42,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",4.67704394,4.67704394
19800827,4.67704394,4.93687971,4.67704394,4.67704394,5,23,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",4.67704394,4.67704394
19800828,4.67704394,4.93687971,4.67704394,4.67704394,1,5,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",4.67704394,4.67704394
19800829,4.67704394,4.93687971,4.67704394,4.67704394,4,19,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",4.67704394,4.67704394
19800901,4.67704394,4.93687971,4.67704394,4.67704394,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",2.25000000,4.67704394
19800902,4.67704394,4.67704394,4.41720817,4.41720817,21,93,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",4.41720817,4.41720817
19800903,4.41720817,4.67704394,4.41720817,4.41720817,17,75,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",4.41720817,4.41720817
19800904,4.41720817,4.67704394,4.41720817,4.41720817,4,18,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",4.41720817,4.41720817
19800905,4.41720817,4.67704394,4.41720817,4.41720817,1,4,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",4.41720817,4.41720817
19800908,4.41720817,4.41720817,4.41720817,4.41720817,0,0,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",4.41720817,4.41720817
