Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20210624,17.00000000,17.89000000,16.40000000,16.64000000,129940,2162202,N/A,N/A,0,-5,"NYSE","","","Common Stock",16.64000000,16.64000000
20210625,16.82000000,17.93000000,16.61200000,17.25000000,27274,470477,N/A,N/A,0,-5,"NYSE","","","Common Stock",17.25000000,17.25000000
20210628,17.70000000,17.70000000,17.00000000,17.24000000,13255,228516,N/A,N/A,0,-5,"NYSE","","","Common Stock",17.24000000,17.24000000
20210629,17.10000000,17.62000000,17.10000000,17.35000000,12456,216112,N/A,N/A,0,-5,"NYSE","","","Common Stock",17.35000000,17.35000000
20210630,17.69000000,17.71000000,16.98000000,17.16000000,27865,478163,N/A,N/A,0,-5,"NYSE","","","Common Stock",17.16000000,17.16000000
20210701,17.46000000,17.58000000,16.68000000,16.85000000,15793,266112,N/A,N/A,0,-5,"NYSE","","","Common Stock",16.85000000,16.85000000
20210702,16.73000000,16.95000000,16.57500000,16.70000000,9322,155677,N/A,N/A,0,-5,"NYSE","","","Common Stock",16.70000000,16.70000000
20210705,16.73000000,16.95000000,16.57500000,16.70000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",16.70000000,16.70000000
20210706,16.72000000,16.81000000,16.59000000,16.70000000,8485,141699,N/A,N/A,0,-5,"NYSE","","","Common Stock",16.70000000,16.70000000
20210707,16.72000000,17.00000000,16.50000000,16.50000000,8598,141867,N/A,N/A,0,-5,"NYSE","","","Common Stock",16.50000000,16.50000000
20210708,16.50000000,16.69000000,15.80000000,16.00000000,14969,239504,N/A,N/A,0,-5,"NYSE","","","Common Stock",16.00000000,16.00000000
20210709,16.15000000,16.60000000,16.09100000,16.50000000,6141,101327,N/A,N/A,0,-5,"NYSE","","","Common Stock",16.50000000,16.50000000
20210712,16.50000000,16.75000000,16.25000000,16.25000000,9661,156991,N/A,N/A,0,-5,"NYSE","","","Common Stock",16.25000000,16.25000000
20210713,16.26000000,16.53700000,16.02000000,16.30000000,8560,139528,N/A,N/A,0,-5,"NYSE","","","Common Stock",16.30000000,16.30000000
20210714,16.34000000,16.43000000,15.91000000,15.98000000,10703,171034,N/A,N/A,0,-5,"NYSE","","","Common Stock",15.98000000,15.98000000
20210715,15.98000000,16.08000000,14.81000000,14.89000000,19457,289715,N/A,N/A,0,-5,"NYSE","","","Common Stock",14.89000000,14.89000000
20210716,14.91000000,15.07000000,13.45000000,13.75000000,20140,276925,N/A,N/A,0,-5,"NYSE","","","Common Stock",13.75000000,13.75000000
20210719,13.30000000,13.41000000,12.34000000,12.55000000,21691,272222,N/A,N/A,0,-5,"NYSE","","","Common Stock",12.55000000,12.55000000
20210720,12.66000000,12.77000000,11.64000000,12.05000000,27909,336303,N/A,N/A,0,-5,"NYSE","","","Common Stock",12.05000000,12.05000000
20210721,12.18000000,12.52000000,11.95000000,12.38000000,17254,213605,N/A,N/A,0,-5,"NYSE","","","Common Stock",12.38000000,12.38000000
20210722,12.29000000,12.97000000,11.83000000,12.87000000,10559,135894,N/A,N/A,0,-5,"NYSE","","","Common Stock",12.87000000,12.87000000
20210723,12.85000000,12.99000000,12.29500000,12.55000000,5180,65009,N/A,N/A,0,-5,"NYSE","","","Common Stock",12.55000000,12.55000000
20210726,12.58000000,12.96000000,12.01000000,12.40000000,3732,46277,N/A,N/A,0,-5,"NYSE","","","Common Stock",12.40000000,12.40000000
20210727,12.35000000,12.98000000,12.26000000,12.54000000,4831,60581,N/A,N/A,0,-5,"NYSE","","","Common Stock",12.54000000,12.54000000
20210728,12.53000000,12.60000000,12.13000000,12.25000000,4864,59584,N/A,N/A,0,-5,"NYSE","","","Common Stock",12.25000000,12.25000000
20210729,12.42000000,12.56000000,11.52000000,11.62000000,8030,93309,N/A,N/A,0,-5,"NYSE","","","Common Stock",11.62000000,11.62000000
20210730,11.56000000,11.63500000,11.03000000,11.08000000,4562,50547,N/A,N/A,0,-5,"NYSE","","","Common Stock",11.08000000,11.08000000
20210802,11.19000000,11.25000000,10.23000000,10.92000000,18684,204029,N/A,N/A,6882033,630223,"NYSE","","","Common Stock",10.92000000,10.92000000
20210803,11.00000000,11.05000000,7.98000000,8.49000000,74503,632530,N/A,N/A,5350592,630223,"NYSE","","","Common Stock",8.49000000,8.49000000
20210804,8.61000000,9.64000000,8.34000000,9.43000000,67272,634375,N/A,N/A,5943001,630223,"NYSE","","","Common Stock",9.43000000,9.43000000
20210805,9.52000000,9.69000000,8.44000000,8.96000000,29026,260073,N/A,N/A,5646796,630223,"NYSE","","","Common Stock",8.96000000,8.96000000
20210806,8.66000000,9.13000000,8.35000000,8.92000000,16426,146520,N/A,N/A,5621588,630223,"NYSE","","","Common Stock",8.92000000,8.92000000
20210809,9.15000000,9.39000000,8.85000000,8.89000000,13504,120051,N/A,N/A,5602681,630223,"NYSE","","","Common Stock",8.89000000,8.89000000
20210810,8.92000000,8.94000000,8.31000000,8.57000000,10888,93310,N/A,N/A,5401010,630223,"NYSE","","","Common Stock",8.57000000,8.57000000
20210811,8.61000000,8.63000000,8.37000000,8.44000000,6533,55139,N/A,N/A,5319081,630223,"NYSE","","","Common Stock",8.44000000,8.44000000
20210812,8.64000000,9.80000000,8.51000000,9.01000000,33002,297348,N/A,N/A,5678308,630223,"NYSE","","","Common Stock",9.01000000,9.01000000
20210813,9.00000000,9.01000000,8.37000000,8.40000000,14065,118146,N/A,N/A,5293872,630223,"NYSE","","","Common Stock",8.40000000,8.40000000
20210816,8.77000000,9.94000000,8.56000000,9.89000000,40571,401247,N/A,N/A,6232904,630223,"NYSE","","","Common Stock",9.89000000,9.89000000
20210817,9.90000000,9.93000000,9.21000000,9.50000000,22815,216743,N/A,N/A,5987117,630223,"NYSE","","","Common Stock",9.50000000,9.50000000
20210818,9.50000000,9.50500000,9.16000000,9.33000000,13807,128819,N/A,N/A,5879979,630223,"NYSE","","","Common Stock",9.33000000,9.33000000
20210819,9.20000000,9.46500000,9.09000000,9.36000000,9804,91765,N/A,N/A,5898886,630223,"NYSE","","","Common Stock",9.36000000,9.36000000
20210820,9.46000000,10.01000000,9.42000000,9.90000000,12721,125938,N/A,N/A,6239206,630223,"NYSE","","","Common Stock",9.90000000,9.90000000
20210823,10.18000000,10.68000000,9.92000000,10.31000000,13352,137659,N/A,N/A,6497597,630223,"NYSE","","","Common Stock",10.31000000,10.31000000
20210824,10.44000000,10.50000000,10.07500000,10.24000000,9028,92447,N/A,N/A,6453482,630223,"NYSE","","","Common Stock",10.24000000,10.24000000
20210825,10.32000000,10.33500000,10.09000000,10.21000000,5770,58912,N/A,N/A,6434575,630223,"NYSE","","","Common Stock",10.21000000,10.21000000
20210826,10.35000000,10.53000000,10.10000000,10.38000000,8282,85967,N/A,N/A,6541713,630223,"NYSE","","","Common Stock",10.38000000,10.38000000
20210827,10.37000000,10.46400000,9.85000000,9.96000000,11176,111313,N/A,N/A,6277019,630223,"NYSE","","","Common Stock",9.96000000,9.96000000
