Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19920508,0.51562830,0.53472565,0.47743361,0.52517697,41200,21637,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Retailers","Common Stock",0.52517697,0.52517697
19920511,0.53472565,0.55382299,0.52517697,0.53949998,5606,3024,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Retailers","Common Stock",0.53949998,0.53949998
19920512,0.53472565,0.55382299,0.52517697,0.54427432,16791,9139,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Retailers","Common Stock",0.54427432,0.54427432
19920513,0.53472565,0.54427432,0.52517697,0.53472565,6484,3467,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Retailers","Common Stock",0.53472565,0.53472565
19920514,0.52517697,0.53472565,0.51562830,0.53472565,16943,9060,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Retailers","Common Stock",0.53472565,0.53472565
19920515,0.53472565,0.53472565,0.50607963,0.53472565,1078,576,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Retailers","Common Stock",0.53472565,0.53472565
19920518,0.53472565,0.53472565,0.51562830,0.53472565,1230,658,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Retailers","Common Stock",0.53472565,0.53472565
19920519,0.53472565,0.54427432,0.51562830,0.54427432,1424,775,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Retailers","Common Stock",0.54427432,0.54427432
19920520,0.51562830,0.54427432,0.51562830,0.54427432,1127,613,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Retailers","Common Stock",0.54427432,0.54427432
19920521,0.54427432,0.54427432,0.51562830,0.51562830,2233,1151,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Retailers","Common Stock",0.51562830,0.51562830
19920522,0.53472565,0.53472565,0.51562830,0.52040264,1320,687,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Retailers","Common Stock",0.52040264,0.52040264
19920525,0.53472565,0.53472565,0.51562830,0.52040264,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Retailers","Common Stock",13.62500000,0.52040264
19920526,0.51562830,0.53472565,0.51562830,0.51562830,2544,1312,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Retailers","Common Stock",0.51562830,0.51562830
