Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20191220,9.70000000,9.80000000,9.70000000,9.80000000,402,3940,N/A,N/A,387406,39531,"NYSE","","","Common Stock",9.80000000,9.80000000
20191223,9.80000000,9.80000000,9.73000000,9.73000000,4259,41440,N/A,N/A,384639,39531,"NYSE","","","Common Stock",9.73000000,9.73000000
20191224,10.11000000,10.11000000,9.75000000,9.75000000,74,722,N/A,N/A,385430,39531,"NYSE","","","Common Stock",9.75000000,9.75000000
20191225,10.11000000,10.11000000,9.75000000,9.75000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20191226,9.75000000,9.75000000,9.75000000,9.75000000,0,0,N/A,N/A,385430,39531,"NYSE","","","Common Stock",9.75000000,9.75000000
20191227,9.75000000,9.75000000,9.75000000,9.75000000,0,0,N/A,N/A,385430,39531,"NYSE","","","Common Stock",9.75000000,9.75000000
20191230,9.75000000,9.75000000,9.75000000,9.75000000,0,0,N/A,N/A,385430,39531,"NYSE","","","Common Stock",9.75000000,9.75000000
20191231,9.75000000,9.75000000,9.75000000,9.75000000,0,0,N/A,N/A,385430,39531,"NYSE","","","Common Stock",9.75000000,9.75000000
20200101,9.75000000,9.75000000,9.75000000,9.75000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20200102,9.78000000,9.78000000,9.78000000,9.78000000,100,978,N/A,N/A,386616,39531,"NYSE","","","Common Stock",9.78000000,9.78000000
20200103,9.78000000,9.79000000,9.78000000,9.79000000,398,3896,N/A,N/A,387011,39531,"NYSE","","","Common Stock",9.79000000,9.79000000
20200106,9.79000000,9.79000000,9.79000000,9.79000000,0,0,N/A,N/A,387011,39531,"NYSE","","","Common Stock",9.79000000,9.79000000
20200107,9.79000000,9.79000000,9.79000000,9.79000000,0,0,N/A,N/A,387011,39531,"NYSE","","","Common Stock",9.79000000,9.79000000
20200108,9.79000000,9.79000000,9.79000000,9.79000000,0,0,N/A,N/A,387011,39531,"NYSE","","","Common Stock",9.79000000,9.79000000
20200109,9.79000000,9.79000000,9.79000000,9.79000000,0,0,N/A,N/A,387011,39531,"NYSE","","","Common Stock",9.79000000,9.79000000
20200110,9.83000000,9.90000000,9.83000000,9.90000000,4058,40174,N/A,N/A,391359,39531,"NYSE","","","Common Stock",9.90000000,9.90000000
20200113,9.98000000,9.98000000,9.98000000,9.98000000,1,10,N/A,N/A,394522,39531,"NYSE","","","Common Stock",9.98000000,9.98000000
20200114,9.90000000,9.90000000,9.90000000,9.90000000,1046,10355,N/A,N/A,391359,39531,"NYSE","","","Common Stock",9.90000000,9.90000000
20200115,9.87000000,9.91000000,9.87000000,9.90000000,5,50,N/A,N/A,391359,39531,"NYSE","","","Common Stock",9.90000000,9.90000000
20200116,9.90000000,9.95000000,9.90000000,9.91500000,504,4997,N/A,N/A,391952,39531,"NYSE","","","Common Stock",9.91500000,9.91500000
20200117,9.90000000,9.98000000,9.90000000,9.98000000,52,519,N/A,N/A,394522,39531,"NYSE","","","Common Stock",9.98000000,9.98000000
20200120,9.90000000,9.98000000,9.90000000,9.98000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.98000000,9.98000000
20200121,9.92400000,9.94000000,9.91000000,9.91000000,12,119,N/A,N/A,391755,39531,"NYSE","","","Common Stock",9.91000000,9.91000000
20200122,9.91000000,9.91000000,9.91000000,9.91000000,0,0,N/A,N/A,391755,39531,"NYSE","","","Common Stock",9.91000000,9.91000000
20200123,9.90000000,9.90000000,9.90000000,9.90000000,6,59,N/A,N/A,391359,39531,"NYSE","","","Common Stock",9.90000000,9.90000000
20200124,9.90000000,9.94200000,9.90000000,9.94200000,373,3708,N/A,N/A,393020,39531,"NYSE","","","Common Stock",9.94200000,9.94200000
20200127,9.94000000,9.95000000,9.94000000,9.95000000,3,30,N/A,N/A,393336,39531,"NYSE","","","Common Stock",9.95000000,9.95000000
20200128,9.95000000,9.95000000,9.95000000,9.95000000,0,0,N/A,N/A,393336,39531,"NYSE","","","Common Stock",9.95000000,9.95000000
20200129,9.91000000,9.91000000,9.90000000,9.91000000,676,6699,N/A,N/A,391755,39531,"NYSE","","","Common Stock",9.91000000,9.91000000
