Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20150617,22.75000000,22.75000000,22.75000000,22.75000000,1,23,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",22.75000000,22.75000000
20150618,22.75000000,22.75000000,22.75000000,22.75000000,1,23,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",22.75000000,22.75000000
20150619,22.75000000,22.75000000,22.75000000,22.75000000,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",22.75000000,22.75000000
20150622,22.75000000,22.75000000,22.75000000,22.75000000,2,46,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",22.75000000,22.75000000
20150623,22.75000000,22.75000000,22.75000000,22.75000000,0,0,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",22.75000000,22.75000000
20150624,25.90000000,25.90000000,25.90000000,25.90000000,3,78,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",25.90000000,25.90000000
20150625,25.90000000,25.90000000,25.90000000,25.90000000,1,26,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",25.90000000,25.90000000
20150626,25.90000000,25.90000000,25.90000000,25.90000000,1,26,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",25.90000000,25.90000000
20150629,25.94000000,26.01000000,25.90000000,26.00000000,28,728,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",26.00000000,26.00000000
20150630,26.95000000,30.40000000,26.60000000,29.00000000,55588,1612052,N/A,N/A,0,-5,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",29.00000000,29.00000000
