Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20210716,20.00000000,21.04000000,19.20000000,20.90000000,101604,2123524,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",20.90000000,20.90000000
20210719,20.40000000,20.68000000,17.75000000,17.93000000,45935,823615,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",17.93000000,17.93000000
20210720,18.00000000,18.80000000,17.15000000,17.50000000,12796,223930,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",17.50000000,17.50000000
20210721,17.75000000,17.85000000,17.05000000,17.54000000,15721,275746,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",17.54000000,17.54000000
20210722,17.53000000,18.48000000,17.05000000,17.26000000,12512,215957,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",17.26000000,17.26000000
20210723,17.26000000,17.48000000,16.05000000,17.48000000,7458,130366,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",17.48000000,17.48000000
20210726,17.92000000,18.11000000,17.37000000,17.60000000,7281,128146,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",17.60000000,17.60000000
20210727,17.72000000,17.90000000,16.76000000,17.00000000,4897,83249,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",17.00000000,17.00000000
20210728,17.05000000,18.00000000,17.00000000,17.80000000,4851,86348,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",17.80000000,17.80000000
20210729,17.80000000,18.39000000,17.80000000,18.07000000,3198,57788,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",18.07000000,18.07000000
20210730,18.07000000,18.34000000,17.40000000,18.06000000,4037,72908,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",18.06000000,18.06000000
20210802,18.24000000,18.25000000,17.69000000,18.00000000,2310,41580,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",18.00000000,18.00000000
20210803,17.97000000,18.07500000,17.79000000,17.90000000,1689,30233,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",17.90000000,17.90000000
20210804,17.96000000,18.21000000,17.64000000,18.08000000,6776,122510,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",18.08000000,18.08000000
20210805,18.10000000,18.71000000,17.86000000,18.00000000,4517,81306,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",18.00000000,18.00000000
20210806,18.10000000,18.47000000,18.00000000,18.45000000,2336,43099,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",18.45000000,18.45000000
20210809,18.60000000,19.83000000,18.55000000,19.50000000,8913,173804,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",19.50000000,19.50000000
20210810,19.81000000,20.15000000,18.00000000,18.09000000,10243,185296,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",18.09000000,18.09000000
20210811,18.13000000,18.95000000,18.13000000,18.23000000,5302,96655,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",18.23000000,18.23000000
20210812,18.65000000,18.85000000,18.20000000,18.32000000,4383,80297,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",18.32000000,18.32000000
20210813,18.54000000,18.77500000,17.52000000,18.00000000,7440,133920,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",18.00000000,18.00000000
20210816,18.25000000,18.46000000,18.05500000,18.43000000,3055,56304,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",18.43000000,18.43000000
20210817,18.34000000,18.77000000,18.01000000,18.73000000,5010,93837,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",18.73000000,18.73000000
20210818,18.50000000,19.51000000,18.15000000,19.50000000,8481,165380,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",19.50000000,19.50000000
20210819,19.38000000,20.35000000,19.38000000,19.78000000,9654,190956,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",19.78000000,19.78000000
20210820,17.66000000,18.48000000,17.36000000,18.05000000,21633,390476,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",18.05000000,18.05000000
20210823,18.06000000,18.17500000,16.86000000,17.43000000,9641,168043,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",17.43000000,17.43000000
20210824,17.37000000,17.60000000,16.80000000,16.95000000,5833,98869,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",16.95000000,16.95000000
20210825,17.08000000,17.17800000,15.72000000,15.92000000,9207,146575,N/A,N/A,0,-5,"NYSE","Technology","Technology/Software","Common Stock",15.92000000,15.92000000
