Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20210322,9.80000000,9.80000000,9.70000000,9.71000000,297,2884,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.71000000,9.71000000
20210323,9.69000000,9.69000000,9.57000000,9.57000000,324,3101,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.57000000,9.57000000
20210324,9.62000000,9.70000000,9.60000000,9.62000000,150,1443,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.62000000,9.62000000
20210325,9.67000000,9.67000000,9.60000000,9.65000000,387,3735,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.65000000,9.65000000
20210326,9.80000000,9.80000000,9.80000000,9.80000000,3,29,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.80000000,9.80000000
20210329,9.80000000,9.80000000,9.80000000,9.80000000,0,0,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.80000000,9.80000000
20210330,9.67000000,9.78000000,9.67000000,9.76000000,646,6305,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.76000000,9.76000000
20210331,9.74000000,9.75500000,9.70000000,9.72000000,978,9506,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.72000000,9.72000000
20210401,9.76000000,9.79000000,9.75300000,9.76000000,58,566,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.76000000,9.76000000
20210402,9.76000000,9.79000000,9.75300000,9.76000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.76000000,9.76000000
20210405,9.72000000,9.72000000,9.72000000,9.72000000,2,19,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.72000000,9.72000000
20210406,9.72000000,9.76000000,9.71000000,9.75000000,136,1326,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.75000000,9.75000000
20210407,9.75000000,9.85000000,9.75000000,9.80000000,241,2362,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.80000000,9.80000000
20210408,9.80000000,9.85000000,9.80000000,9.80000000,267,2617,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.80000000,9.80000000
20210409,9.81000000,9.81000000,9.81000000,9.81000000,52,510,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.81000000,9.81000000
20210412,9.93000000,9.93000000,9.70000000,9.78000000,118,1154,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.78000000,9.78000000
20210413,9.88000000,9.89000000,9.80000000,9.80000000,19,186,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.80000000,9.80000000
20210414,9.80000000,9.85000000,9.80000000,9.83000000,2467,24251,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.83000000,9.83000000
20210415,9.80000000,9.87000000,9.80000000,9.84000000,3020,29717,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.84000000,9.84000000
20210416,9.78000000,9.82000000,9.78000000,9.82000000,29,285,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.82000000,9.82000000
20210419,9.82000000,9.82000000,9.82000000,9.82000000,0,0,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.82000000,9.82000000
20210420,9.82000000,9.82000000,9.77000000,9.80000000,50,490,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.80000000,9.80000000
20210421,9.80000000,9.80000000,9.77000000,9.79000000,42,411,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.79000000,9.79000000
20210422,9.79000000,9.80000000,9.70000000,9.79000000,224,2193,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.79000000,9.79000000
20210423,9.79000000,9.80000000,9.72000000,9.72000000,82,797,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.72000000,9.72000000
20210426,9.71000000,9.75000000,9.65000000,9.75000000,762,7430,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.75000000,9.75000000
20210427,9.75800000,9.79000000,9.75000000,9.79000000,63,617,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.79000000,9.79000000
