Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20120925,3.90679722,3.90679722,3.90679722,3.90679722,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Banks","Common Stock",3.90679722,3.90679722
20120926,3.90679722,3.90679722,3.90679722,3.90679722,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Banks","Common Stock",3.90679722,3.90679722
20120927,3.90679722,3.90679722,3.90679722,3.90679722,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Banks","Common Stock",3.90679722,3.90679722
20120928,3.90679722,3.90679722,3.90679722,3.90679722,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Banks","Common Stock",3.90679722,3.90679722
20121001,3.90679722,3.90679722,3.90679722,3.90679722,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Banks","Common Stock",3.90679722,3.90679722
20121002,3.90679722,3.90679722,3.90679722,3.90679722,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Banks","Common Stock",3.90679722,3.90679722
20121003,3.90679722,3.90679722,3.72921553,3.90679722,47,184,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Banks","Common Stock",3.90679722,3.90679722
20121004,3.90679722,3.90679722,3.90679722,3.90679722,23,90,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Banks","Common Stock",3.90679722,3.90679722
20121005,3.90679722,3.90679722,3.90679722,3.90679722,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Banks","Common Stock",3.90679722,3.90679722
20121008,3.90679722,3.90679722,3.90679722,3.90679722,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Banks","Common Stock",3.90679722,3.90679722
20121009,3.90679722,3.90679722,3.90679722,3.90679722,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Banks","Common Stock",3.90679722,3.90679722
20121010,3.90679722,3.90679722,3.90679722,3.90679722,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Banks","Common Stock",3.90679722,3.90679722
20121011,3.90679722,3.90679722,3.90679722,3.90679722,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Banks","Common Stock",3.90679722,3.90679722
20121012,3.90679722,3.90679722,3.90679722,3.90679722,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Banks","Common Stock",3.90679722,3.90679722
20121015,3.90679722,3.90679722,3.90679722,3.90679722,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Banks","Common Stock",3.90679722,3.90679722
20121016,3.90679722,3.90679722,3.90679722,3.90679722,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Banks","Common Stock",3.90679722,3.90679722
20121017,3.90679722,3.90679722,3.90679722,3.90679722,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Banks","Common Stock",3.90679722,3.90679722
20121018,3.90679722,3.90679722,3.90679722,3.90679722,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Banks","Common Stock",3.90679722,3.90679722
20121019,3.90679722,3.90679722,3.90679722,3.90679722,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Banks","Common Stock",3.90679722,3.90679722
20121022,3.90679722,3.90679722,3.90679722,3.90679722,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Banks","Common Stock",3.90679722,3.90679722
20121023,3.90679722,3.90679722,3.90679722,3.90679722,5,20,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Banks","Common Stock",3.90679722,3.90679722
20121024,3.90679722,3.90679722,3.90679722,3.90679722,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Banks","Common Stock",3.90679722,3.90679722
20121025,3.90679722,3.90679722,3.90679722,3.90679722,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Banks","Common Stock",3.90679722,3.90679722
20121026,3.90679722,3.90679722,3.90679722,3.90679722,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Banks","Common Stock",3.90679722,3.90679722
20121029,3.90679722,3.90679722,3.90679722,3.90679722,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Financials","Financials/Banks","Common Stock",11.00000000,3.90679722
20121030,3.90679722,3.90679722,3.90679722,3.90679722,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Financials","Financials/Banks","Common Stock",11.00000000,3.90679722
20121031,3.90679722,3.90679722,3.90679722,3.90679722,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Banks","Common Stock",3.90679722,3.90679722
20121101,3.90679722,3.90679722,3.90679722,3.90679722,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Banks","Common Stock",3.90679722,3.90679722
20121102,3.90679722,3.90679722,3.90679722,3.90679722,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Banks","Common Stock",3.90679722,3.90679722
20121105,3.58715017,3.58715017,3.58715017,3.58715017,5,18,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Banks","Common Stock",3.58715017,3.58715017
20121106,3.58715017,3.58715017,3.58715017,3.58715017,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Banks","Common Stock",3.58715017,3.58715017
20121107,3.58715017,3.58715017,3.58715017,3.58715017,0,0,N/A,N/A,0,-5,"NYSE MKTS LLC","Financials","Financials/Banks","Common Stock",3.58715017,3.58715017
