Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20201102,9.70000000,9.70000000,9.64000000,9.64000000,28,270,N/A,N/A,294312,30530,"NYSE","","","Common Stock",9.64000000,9.64000000
20201103,9.68000000,9.68000000,9.64000000,9.64000000,6,58,N/A,N/A,294312,30530,"NYSE","","","Common Stock",9.64000000,9.64000000
20201104,9.65000000,9.65000000,9.65000000,9.65000000,3,29,N/A,N/A,294617,30530,"NYSE","","","Common Stock",9.65000000,9.65000000
20201105,9.65000000,9.65000000,9.65000000,9.65000000,0,0,N/A,N/A,294617,30530,"NYSE","","","Common Stock",9.65000000,9.65000000
20201106,9.68000000,9.70000000,9.59500000,9.70000000,29,281,N/A,N/A,296144,30530,"NYSE","","","Common Stock",9.70000000,9.70000000
20201109,9.70000000,9.70000000,9.60100000,9.62100000,42,404,N/A,N/A,293732,30530,"NYSE","","","Common Stock",9.62100000,9.62100000
20201110,9.69000000,9.70000000,9.66500000,9.66500000,16,155,N/A,N/A,295075,30530,"NYSE","","","Common Stock",9.66500000,9.66500000
20201111,9.64000000,9.66800000,9.64000000,9.65000000,4018,38774,N/A,N/A,294617,30530,"NYSE","","","Common Stock",9.65000000,9.65000000
20201112,9.66000000,9.66000000,9.63000000,9.65000000,148,1428,N/A,N/A,294617,30530,"NYSE","","","Common Stock",9.65000000,9.65000000
20201113,9.66000000,9.67000000,9.65000000,9.67000000,21,203,N/A,N/A,295228,30530,"NYSE","","","Common Stock",9.67000000,9.67000000
20201116,9.65000000,9.70000000,9.65000000,9.65000000,2038,19667,N/A,N/A,294617,30530,"NYSE","","","Common Stock",9.65000000,9.65000000
20201117,9.75000000,9.75000000,9.63000000,9.66000000,4501,43480,N/A,N/A,294923,30530,"NYSE","","","Common Stock",9.66000000,9.66000000
20201118,9.75000000,9.75000000,9.65000000,9.66600000,65,628,N/A,N/A,295106,30530,"NYSE","","","Common Stock",9.66600000,9.66600000
20201119,9.76000000,9.76000000,9.65000000,9.65000000,255,2461,N/A,N/A,294617,30530,"NYSE","","","Common Stock",9.65000000,9.65000000
20201120,9.65000000,9.71000000,9.65000000,9.69000000,593,5746,N/A,N/A,295839,30530,"NYSE","","","Common Stock",9.69000000,9.69000000
20201123,9.78000000,9.78000000,9.69200000,9.72000000,132,1283,N/A,N/A,296755,30530,"NYSE","","","Common Stock",9.72000000,9.72000000
20201124,9.75000000,9.75000000,9.66000000,9.67000000,139,1344,N/A,N/A,295228,30530,"NYSE","","","Common Stock",9.67000000,9.67000000
20201125,9.71300000,9.75000000,9.71300000,9.75000000,274,2672,N/A,N/A,297670,30530,"NYSE","","","Common Stock",9.75000000,9.75000000
20201126,9.71300000,9.75000000,9.71300000,9.75000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20201127,9.75000000,9.75000000,9.71000000,9.75000000,108,1053,N/A,N/A,297670,30530,"NYSE","","","Common Stock",9.75000000,9.75000000
20201130,9.75000000,9.75000000,9.68000000,9.74500000,317,3089,N/A,N/A,297518,30530,"NYSE","","","Common Stock",9.74500000,9.74500000
20201201,9.71000000,9.80000000,9.71000000,9.79000000,75,734,N/A,N/A,298892,30530,"NYSE","","","Common Stock",9.79000000,9.79000000
20201202,9.79000000,9.79000000,9.76400000,9.77900000,40,391,N/A,N/A,298556,30530,"NYSE","","","Common Stock",9.77900000,9.77900000
20201203,9.75000000,9.82000000,9.73000000,9.81000000,2667,26163,N/A,N/A,299502,30530,"NYSE","","","Common Stock",9.81000000,9.81000000
20201204,9.82000000,9.90000000,9.77000000,9.82000000,235,2308,N/A,N/A,299808,30530,"NYSE","","","Common Stock",9.82000000,9.82000000
20201207,9.91000000,9.91000000,9.80000000,9.80800000,209,2050,N/A,N/A,299441,30530,"NYSE","","","Common Stock",9.80800000,9.80800000
20201208,9.91000000,9.91000000,9.81000000,9.88000000,183,1808,N/A,N/A,301639,30530,"NYSE","","","Common Stock",9.88000000,9.88000000
20201209,9.92000000,9.92000000,9.79400000,9.85000000,1330,13100,N/A,N/A,300723,30530,"NYSE","","","Common Stock",9.85000000,9.85000000
20201210,9.90000000,9.91000000,9.81000000,9.86000000,311,3066,N/A,N/A,301029,30530,"NYSE","","","Common Stock",9.86000000,9.86000000
20201211,9.93000000,9.97000000,9.82000000,9.89000000,4453,44040,N/A,N/A,301945,30530,"NYSE","","","Common Stock",9.89000000,9.89000000
20201214,10.00000000,10.07000000,9.91000000,9.97000000,1394,13898,N/A,N/A,304387,30530,"NYSE","","","Common Stock",9.97000000,9.97000000
20201215,10.00000000,10.00000000,9.91000000,9.91000000,214,2121,N/A,N/A,302555,30530,"NYSE","","","Common Stock",9.91000000,9.91000000
20201216,10.00000000,10.02000000,9.92000000,9.98000000,390,3892,N/A,N/A,304692,30530,"NYSE","","","Common Stock",9.98000000,9.98000000
20201217,10.00000000,10.01000000,9.92000000,9.95000000,1210,12039,N/A,N/A,303776,30530,"NYSE","","","Common Stock",9.95000000,9.95000000
20201218,9.96000000,9.97200000,9.89000000,9.96000000,10421,103793,N/A,N/A,304082,30530,"NYSE","","","Common Stock",9.96000000,9.96000000
20201221,9.97000000,10.00000000,9.90000000,10.00000000,434,4340,N/A,N/A,305303,30530,"NYSE","","","Common Stock",10.00000000,10.00000000
20201222,10.00000000,10.05800000,9.93000000,9.95000000,620,6169,N/A,N/A,303776,30530,"NYSE","","","Common Stock",9.95000000,9.95000000
