Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20170403,27.15809133,28.48750839,27.15809133,28.03532571,155,4345,N/A,N/A,8344300,269171,"NYSE","Basic Materials","Basic Materials/Coal","Common Stock",28.03532571,28.03532571
20170404,28.93969106,29.39187373,23.97472531,24.64395567,37113,914611,N/A,N/A,7347626,269638,"NYSE","Basic Materials","Basic Materials/Coal","Common Stock",24.64395567,24.64395567
20170405,25.31318602,25.77441235,23.51349898,25.32222968,31785,804867,N/A,N/A,7575686,270560,"NYSE","Basic Materials","Basic Materials/Coal","Common Stock",25.32222968,25.32222968
20170406,25.45788448,25.88293619,24.42690798,24.91526527,16144,402232,N/A,N/A,7458795,270737,"NYSE","Basic Materials","Basic Materials/Coal","Common Stock",24.91526527,24.91526527
20170407,24.82482874,25.21551457,24.52638817,24.93335258,4184,104321,N/A,N/A,7466620,270824,"NYSE","Basic Materials","Basic Materials/Coal","Common Stock",24.93335258,24.93335258
20170410,25.32222968,25.74728139,24.65299932,25.30414237,8163,206558,N/A,N/A,7579063,270874,"NYSE","Basic Materials","Basic Materials/Coal","Common Stock",25.30414237,25.30414237
20170411,25.00570180,25.23179314,24.43595164,24.86100335,5935,147550,N/A,N/A,7484420,272260,"NYSE","Basic Materials","Basic Materials/Coal","Common Stock",24.86100335,24.86100335
20170412,24.80674143,24.96952719,23.04322901,23.28740765,10030,233573,N/A,N/A,7014099,272392,"NYSE","Basic Materials","Basic Materials/Coal","Common Stock",23.28740765,23.28740765
20170413,23.31453861,23.41401880,21.05362524,21.54198253,37009,797247,N/A,N/A,6391682,268333,"NYSE","Basic Materials","Basic Materials/Coal","Common Stock",21.54198253,21.54198253
20170414,23.31453861,23.41401880,21.05362524,21.54198253,0,0,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Coal","Common Stock",23.82000000,21.54198253
20170417,21.65955003,21.69572464,20.44770046,21.18023639,19348,409795,N/A,N/A,6314752,269631,"NYSE","Basic Materials","Basic Materials/Coal","Common Stock",21.18023639,21.18023639
20170418,21.17119274,22.29260577,21.17119274,21.70476829,30422,660302,N/A,N/A,6471102,269629,"NYSE","Basic Materials","Basic Materials/Coal","Common Stock",21.70476829,21.70476829
20170419,22.15695097,22.74478844,22.09364539,22.55487172,10811,243841,N/A,N/A,6729893,269843,"NYSE","Basic Materials","Basic Materials/Coal","Common Stock",22.55487172,22.55487172
20170420,22.66339556,22.87139959,22.35591134,22.60913364,4914,111101,N/A,N/A,6745779,269831,"NYSE","Basic Materials","Basic Materials/Coal","Common Stock",22.60913364,22.60913364
20170421,22.71765748,23.46828072,22.71765748,23.23314573,5246,121881,N/A,N/A,6969667,271299,"NYSE","Basic Materials","Basic Materials/Coal","Common Stock",23.23314573,23.23314573
20170424,24.14655473,24.37264606,23.52254264,23.86620147,2614,62386,N/A,N/A,7160120,271319,"NYSE","Basic Materials","Basic Materials/Coal","Common Stock",23.86620147,23.86620147
20170425,24.40882068,24.41786433,23.02514170,23.60393552,5448,128594,N/A,N/A,7085214,271464,"NYSE","Basic Materials","Basic Materials/Coal","Common Stock",23.60393552,23.60393552
20170426,24.19177299,24.41786433,23.51349898,23.99281262,8518,204371,N/A,N/A,7201453,271446,"NYSE","Basic Materials","Basic Materials/Coal","Common Stock",23.99281262,23.99281262
20170427,24.17368569,24.19177299,23.54062995,23.70341571,5681,134659,N/A,N/A,7202969,274818,"NYSE","Basic Materials","Basic Materials/Coal","Common Stock",23.70341571,23.70341571
20170428,23.96568166,23.96568166,22.78096305,22.97992343,4151,95390,N/A,N/A,7058354,277779,"NYSE","Basic Materials","Basic Materials/Coal","Common Stock",22.97992343,22.97992343
20170501,23.27836399,23.52254264,22.88948690,23.28740765,4618,107541,N/A,N/A,7165037,278254,"NYSE","Basic Materials","Basic Materials/Coal","Common Stock",23.28740765,23.28740765
20170502,23.42306245,23.96568166,23.28740765,23.54062995,9157,215562,N/A,N/A,481555,18500,"NYSE","Basic Materials","Basic Materials/Coal","Common Stock",23.54062995,23.54062995
