Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19971119,16.17688072,16.17688072,16.17688072,16.17688072,3,49,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",16.17688072,16.17688072
19971120,16.17688072,16.17688072,16.17688072,16.17688072,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",16.17688072,16.17688072
19971121,16.17688072,16.17688072,16.17688072,16.17688072,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",16.17688072,16.17688072
19971124,16.17688072,16.17688072,16.17688072,16.17688072,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",16.17688072,16.17688072
19971125,16.17688072,16.17688072,16.17688072,16.17688072,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",16.17688072,16.17688072
19971126,16.17688072,16.17688072,16.17688072,16.17688072,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",16.17688072,16.17688072
19971127,16.17688072,16.17688072,16.17688072,16.17688072,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",28.00000000,16.17688072
19971128,16.17688072,16.17688072,16.17688072,16.17688072,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",16.17688072,16.17688072
19971201,16.17688072,16.17688072,16.17688072,16.17688072,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",16.17688072,16.17688072
19971202,16.17688072,16.17688072,16.17688072,16.17688072,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",16.17688072,16.17688072
19971203,16.17688072,16.17688072,16.17688072,16.17688072,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",16.17688072,16.17688072
19971204,16.17688072,16.17688072,16.17688072,16.17688072,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",16.17688072,16.17688072
19971205,16.32131716,16.32131716,16.32131716,16.32131716,7,114,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",16.32131716,16.32131716
19971208,16.17688072,16.25198767,16.17688072,16.25198767,25,406,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",16.25198767,16.25198767
19971209,16.25198767,16.25198767,16.25198767,16.25198767,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",16.25198767,16.25198767
19971210,16.25198767,16.25198767,16.25198767,16.25198767,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",16.25198767,16.25198767
19971211,16.25198767,16.25198767,16.25198767,16.25198767,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",16.25198767,16.25198767
19971212,16.25198767,16.25198767,16.25198767,16.25198767,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",16.25198767,16.25198767
19971215,16.25198767,16.25198767,16.25198767,16.25198767,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",16.25198767,16.25198767
19971216,16.25198767,16.25198767,16.25198767,16.25198767,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",16.25198767,16.25198767
19971217,16.25198767,16.25198767,16.25198767,16.25198767,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",16.25198767,16.25198767
19971218,16.75462646,17.62124507,16.75462646,17.62124507,19,335,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",17.62124507,17.62124507
19971219,17.62124507,17.62124507,17.62124507,17.62124507,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",17.62124507,17.62124507
19971222,16.75462646,16.75462646,16.75462646,16.75462646,2,34,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",16.75462646,16.75462646
19971223,16.75462646,16.75462646,16.75462646,16.75462646,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",16.75462646,16.75462646
19971224,16.75462646,16.75462646,16.75462646,16.75462646,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",16.75462646,16.75462646
19971225,16.75462646,16.75462646,16.75462646,16.75462646,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",29.00000000,16.75462646
19971226,16.75462646,16.75462646,16.75462646,16.75462646,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",16.75462646,16.75462646
19971229,16.75462646,16.75462646,16.75462646,16.75462646,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",16.75462646,16.75462646
19971230,16.75462646,16.75462646,16.75462646,16.75462646,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",16.75462646,16.75462646
19971231,16.75462646,16.75462646,16.75462646,16.75462646,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",16.75462646,16.75462646
19980101,16.75462646,16.75462646,16.75462646,16.75462646,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",29.00000000,16.75462646
19980102,16.75462646,16.75462646,16.75462646,16.75462646,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",16.75462646,16.75462646
19980105,16.75462646,16.75462646,16.75462646,16.75462646,3,50,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",16.75462646,16.75462646
19980106,16.75462646,16.75462646,16.75462646,16.75462646,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",16.75462646,16.75462646
19980107,16.54086054,16.54086054,16.54086054,16.54086054,5,83,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",16.54086054,16.54086054
19980108,16.54086054,16.54086054,16.54086054,16.54086054,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",16.54086054,16.54086054
19980109,17.62124507,17.62124507,17.04349933,17.04349933,20,341,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",17.04349933,17.04349933
