Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19840907,1.67384470,1.83582967,1.67384470,1.67384470,3,5,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.67384470,1.67384470
19840910,1.67384470,1.83582967,1.67384470,1.67384470,43,72,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.67384470,1.67384470
19840911,1.67384470,1.78183468,1.61984971,1.61984971,16,26,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.61984971,1.61984971
19840912,1.67384470,1.78183468,1.67384470,1.67384470,192,321,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.67384470,1.67384470
19840913,1.67384470,1.72783969,1.61984971,1.61984971,143,232,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.61984971,1.61984971
19840914,1.61984971,1.72783969,1.51185973,1.51185973,89,135,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.51185973,1.51185973
19840917,1.51185973,1.72783969,1.51185973,1.51185973,19,29,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.51185973,1.51185973
19840918,1.51185973,1.72783969,1.51185973,1.51185973,1,2,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.51185973,1.51185973
19840919,1.51185973,1.61984971,1.40386974,1.40386974,33,46,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.40386974,1.40386974
19840920,1.40386974,1.61984971,1.40386974,1.40386974,16,22,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.40386974,1.40386974
19840921,1.40386974,1.56585472,1.40386974,1.40386974,11,15,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.40386974,1.40386974
19840924,1.40386974,1.40386974,1.40386974,1.40386974,0,0,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.40386974,1.40386974
19840925,1.40386974,1.56585472,1.40386974,1.40386974,9,13,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.40386974,1.40386974
19840926,1.40386974,1.51185973,1.40386974,1.40386974,67,94,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.40386974,1.40386974
19840927,1.40386974,1.51185973,1.40386974,1.40386974,91,128,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.40386974,1.40386974
