Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19800801,6.39113180,6.41609716,6.34120109,6.39113180,359,2294,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",6.39113180,6.39113180
19800804,6.39113180,6.39113180,6.34120109,6.39113180,419,2678,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",6.39113180,6.39113180
19800805,6.39113180,6.39113180,6.34120109,6.39113180,296,1892,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",6.39113180,6.39113180
19800806,6.39113180,6.59085467,6.39113180,6.59085467,535,3526,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",6.59085467,6.59085467
19800807,6.66575075,6.89043898,6.66575075,6.89043898,590,4065,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",6.89043898,6.89043898
19800808,6.86547362,6.86547362,6.71568147,6.74064683,552,3721,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",6.74064683,6.74064683
19800811,6.74064683,6.91540434,6.66575075,6.66575075,482,3213,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",6.66575075,6.66575075
19800812,6.66575075,6.69071611,6.44106252,6.51595860,4275,27856,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",6.51595860,6.51595860
19800813,6.51595860,6.56588931,6.49099324,6.54092396,2872,18786,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",6.54092396,6.54092396
19800814,6.51595860,6.51595860,6.41609716,6.44106252,496,3195,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",6.44106252,6.44106252
19800815,6.44106252,6.49099324,6.44106252,6.49099324,670,4349,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",6.49099324,6.49099324
19800818,6.49099324,6.49099324,6.39113180,6.44106252,323,2080,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",6.44106252,6.44106252
19800819,6.44106252,6.46602788,6.36616645,6.46602788,342,2211,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",6.46602788,6.46602788
19800820,6.46602788,6.46602788,6.36616645,6.36616645,296,1884,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",6.36616645,6.36616645
19800821,6.39113180,6.46602788,6.39113180,6.46602788,234,1513,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",6.46602788,6.46602788
19800822,6.46602788,6.54092396,6.44106252,6.49099324,366,2376,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",6.49099324,6.49099324
19800825,6.46602788,6.46602788,6.36616645,6.39113180,349,2231,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",6.39113180,6.39113180
