Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19800801,3.50480061,3.53425271,3.47534850,3.47534850,50,174,N/A,N/A,0,-5,"NYSE","","","Common Stock",3.47534850,3.47534850
19800804,3.44589640,3.44589640,3.38699218,3.44589640,40,138,N/A,N/A,0,-5,"NYSE","","","Common Stock",3.44589640,3.44589640
19800805,3.44589640,3.44589640,3.38699218,3.44589640,40,138,N/A,N/A,0,-5,"NYSE","","","Common Stock",3.44589640,3.44589640
19800806,3.44589640,3.44589640,3.38699218,3.38699218,47,159,N/A,N/A,0,-5,"NYSE","","","Common Stock",3.38699218,3.38699218
19800807,3.38699218,3.47534850,3.38699218,3.41644429,40,137,N/A,N/A,0,-5,"NYSE","","","Common Stock",3.41644429,3.41644429
19800808,3.38699218,3.38699218,3.29863587,3.29863587,209,689,N/A,N/A,0,-5,"NYSE","","","Common Stock",3.29863587,3.29863587
19800811,3.29863587,3.32808797,3.23973165,3.26918376,104,340,N/A,N/A,0,-5,"NYSE","","","Common Stock",3.26918376,3.26918376
19800812,3.26918376,3.29863587,3.21027955,3.26918376,212,693,N/A,N/A,0,-5,"NYSE","","","Common Stock",3.26918376,3.26918376
19800813,3.26918376,3.29863587,3.21027955,3.26918376,40,131,N/A,N/A,0,-5,"NYSE","","","Common Stock",3.26918376,3.26918376
19800814,3.26918376,3.32808797,3.21027955,3.29863587,61,201,N/A,N/A,0,-5,"NYSE","","","Common Stock",3.29863587,3.29863587
19800815,3.29863587,3.29863587,3.23973165,3.29863587,25,82,N/A,N/A,0,-5,"NYSE","","","Common Stock",3.29863587,3.29863587
19800818,3.23973165,3.23973165,3.18082744,3.21027955,68,218,N/A,N/A,0,-5,"NYSE","","","Common Stock",3.21027955,3.21027955
19800819,3.21027955,3.21027955,3.12192323,3.12192323,50,156,N/A,N/A,0,-5,"NYSE","","","Common Stock",3.12192323,3.12192323
19800820,3.12192323,3.12192323,3.06301902,3.12192323,104,325,N/A,N/A,0,-5,"NYSE","","","Common Stock",3.12192323,3.12192323
