Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20040706,26.90000000,27.00000000,26.51000000,26.52000000,2868,76059,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.52000000,26.52000000
20040707,26.40000000,26.75000000,26.30000000,26.42000000,2401,63434,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.42000000,26.42000000
20040708,26.65000000,26.65000000,26.13000000,26.49000000,2881,76318,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.49000000,26.49000000
20040709,26.49000000,26.75000000,25.75000000,25.80000000,3909,100852,N/A,N/A,0,-5,"NYSE","","","Common Stock",25.80000000,25.80000000
20040712,25.80000000,25.80000000,24.35000000,24.51000000,6044,148138,N/A,N/A,0,-5,"NYSE","","","Common Stock",24.51000000,24.51000000
20040713,24.60000000,26.99000000,24.59000000,26.97000000,8200,221154,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.97000000,26.97000000
20040714,26.97000000,28.85000000,26.40000000,28.65000000,9094,260543,N/A,N/A,0,-5,"NYSE","","","Common Stock",28.65000000,28.65000000
20040715,28.64000000,29.25000000,27.80000000,29.05000000,3560,103418,N/A,N/A,0,-5,"NYSE","","","Common Stock",29.05000000,29.05000000
20040716,28.80000000,29.38000000,28.50000000,29.35000000,3767,110561,N/A,N/A,0,-5,"NYSE","","","Common Stock",29.35000000,29.35000000
20040719,29.40000000,30.27000000,28.25000000,28.51000000,4301,122622,N/A,N/A,0,-5,"NYSE","","","Common Stock",28.51000000,28.51000000
20040720,28.61000000,28.93000000,27.55000000,28.23000000,2794,78875,N/A,N/A,0,-5,"NYSE","","","Common Stock",28.23000000,28.23000000
20040721,28.30000000,28.75000000,27.70000000,28.09000000,1379,38736,N/A,N/A,0,-5,"NYSE","","","Common Stock",28.09000000,28.09000000
20040722,28.00000000,28.01000000,27.00000000,27.62000000,2334,64465,N/A,N/A,0,-5,"NYSE","","","Common Stock",27.62000000,27.62000000
20040723,27.52000000,27.64000000,26.10000000,26.80000000,3314,88815,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.80000000,26.80000000
20040726,26.75000000,27.19000000,26.73000000,26.80000000,1810,48508,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.80000000,26.80000000
20040727,26.85000000,27.26000000,26.85000000,27.26000000,2085,56837,N/A,N/A,0,-5,"NYSE","","","Common Stock",27.26000000,27.26000000
20040728,27.50000000,28.60000000,27.48000000,28.26000000,2731,77178,N/A,N/A,0,-5,"NYSE","","","Common Stock",28.26000000,28.26000000
20040729,27.40000000,27.40000000,25.22000000,27.10000000,10071,272924,N/A,N/A,0,-5,"NYSE","","","Common Stock",27.10000000,27.10000000
20040730,27.20000000,27.60000000,26.63000000,26.85000000,1609,43202,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.85000000,26.85000000
20040802,27.10000000,27.16000000,26.50000000,26.77000000,1294,34640,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.77000000,26.77000000
