Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20170601,25.59000000,25.59000000,25.59000000,25.59000000,0,0,N/A,N/A,1831979,71590,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",25.59000000,25.59000000
20170602,26.81000000,27.86500000,26.69000000,27.05000000,52030,1407412,N/A,N/A,1936500,71590,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",27.05000000,27.05000000
20170605,27.00000000,27.99000000,26.84000000,27.89000000,22415,625154,N/A,N/A,1996635,71590,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",27.89000000,27.89000000
20170606,27.89000000,29.47000000,27.52000000,29.14000000,32714,953286,N/A,N/A,2086123,71590,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",29.14000000,29.14000000
20170607,29.14000000,29.32500000,27.08000000,27.15000000,48203,1308711,N/A,N/A,1943659,71590,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",27.15000000,27.15000000
20170608,26.87000000,27.20000000,25.35000000,25.81000000,67622,1745324,N/A,N/A,1847729,71590,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",25.81000000,25.81000000
20170609,25.74000000,26.20000000,25.37000000,25.81000000,31191,805040,N/A,N/A,1847729,71590,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",25.81000000,25.81000000
20170612,25.58000000,26.45000000,25.44000000,25.94000000,21986,570317,N/A,N/A,1857036,71590,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",25.94000000,25.94000000
20170613,25.75000000,26.22000000,25.53000000,25.87000000,19545,505629,N/A,N/A,1852024,71590,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",25.87000000,25.87000000
20170614,25.80000000,26.02000000,25.51000000,25.59000000,13613,348357,N/A,N/A,1831979,71590,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",25.59000000,25.59000000
20170615,25.44000000,25.61000000,25.18000000,25.34000000,13284,336617,N/A,N/A,1814082,71590,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",25.34000000,25.34000000
20170616,25.34000000,26.20000000,25.29000000,26.16000000,24983,653555,N/A,N/A,1872785,71590,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",26.16000000,26.16000000
