Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19870422,1.76450778,1.89876380,1.76450778,1.82204607,29597,53927,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Retailers","Common Stock",1.82204607,1.82204607
19870423,1.82204607,1.82204607,1.76450778,1.80286664,6716,12108,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Retailers","Common Stock",1.80286664,1.80286664
19870424,1.80286664,1.80286664,1.76450778,1.80286664,1793,3233,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Retailers","Common Stock",1.80286664,1.80286664
19870427,1.80286664,1.80286664,1.72614891,1.76450778,1391,2454,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Retailers","Common Stock",1.76450778,1.76450778
19870428,1.76450778,1.76450778,1.72614891,1.72614891,1026,1771,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Retailers","Common Stock",1.72614891,1.72614891
19870429,1.72614891,1.74532834,1.68779005,1.68779005,3465,5848,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Retailers","Common Stock",1.68779005,1.68779005
19870430,1.68779005,1.74532834,1.68779005,1.68779005,7724,13036,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Retailers","Common Stock",1.68779005,1.68779005
19870501,1.68779005,1.74532834,1.68779005,1.68779005,1289,2176,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Retailers","Common Stock",1.68779005,1.68779005
19870504,1.70696948,1.76450778,1.70696948,1.76450778,4003,7063,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Retailers","Common Stock",1.76450778,1.76450778
19870505,1.76450778,1.76450778,1.70696948,1.70696948,533,910,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Retailers","Common Stock",1.70696948,1.70696948
19870506,1.70696948,1.76450778,1.63025175,1.66861061,1031,1720,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Retailers","Common Stock",1.66861061,1.66861061
19870507,1.66861061,1.76450778,1.64943118,1.76450778,6419,11326,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Retailers","Common Stock",1.76450778,1.76450778
19870508,1.76450778,1.76450778,1.68779005,1.72614891,1451,2505,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Retailers","Common Stock",1.72614891,1.72614891
