Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19840907,1.85698092,1.85698092,1.82742684,1.82742684,1188,2171,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.82742684,1.82742684
19840910,1.82742684,1.83235252,1.81264981,1.82250116,2544,4636,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.82250116,1.82250116
19840911,1.85698092,1.87175795,1.85205524,1.85205524,7476,13846,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.85205524,1.85205524
19840912,1.85698092,1.88160931,1.83727820,1.87175795,12312,23045,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.87175795,1.87175795
19840913,1.88160931,1.90131202,1.87668363,1.90131202,1884,3582,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.90131202,1.90131202
19840914,1.91608906,1.94071746,1.91116338,1.94071746,10920,21193,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.94071746,1.94071746
19840917,1.94564313,1.96042017,1.93086610,1.95056881,18912,36889,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.95056881,1.95056881
19840918,1.95256122,1.95754225,1.93761815,1.93761815,12612,24437,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.93761815,1.93761815
19840919,1.93761815,1.93761815,1.91271303,1.91769406,10308,19768,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.91769406,1.91769406
19840920,1.92267508,1.92765610,1.91271303,1.92765610,1452,2799,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.92765610,1.92765610
19840921,1.93263713,1.93263713,1.91769406,1.92267508,5184,9967,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.92267508,1.92267508
19840924,1.92267508,1.92267508,1.89776996,1.89776996,6636,12594,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.89776996,1.89776996
19840925,1.90275099,1.90275099,1.87784587,1.89278894,1476,2794,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.89278894,1.89278894
