Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19851126,1.26488504,1.42809602,1.26488504,1.26488504,64,81,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",1.26488504,1.26488504
19851127,1.26488504,1.42809602,1.26488504,1.26488504,40,51,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",1.26488504,1.26488504
19851128,1.26488504,1.42809602,1.26488504,1.26488504,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Banks","Common Stock",31.00000000,1.26488504
19851129,1.26488504,1.26488504,1.26488504,1.26488504,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",1.26488504,1.26488504
19851202,1.26488504,1.42809602,1.26488504,1.26488504,16,20,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",1.26488504,1.26488504
19851203,1.26488504,1.30568779,1.14247681,1.14247681,112,128,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",1.14247681,1.14247681
19851204,1.14247681,1.14247681,1.14247681,1.14247681,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",1.14247681,1.14247681
19851205,1.14247681,1.14247681,1.14247681,1.14247681,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",1.14247681,1.14247681
19851206,1.22408230,1.34649053,1.22408230,1.22408230,32,39,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",1.22408230,1.22408230
19851209,1.22408230,1.22408230,1.22408230,1.22408230,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",1.22408230,1.22408230
19851210,1.22408230,1.22408230,1.22408230,1.22408230,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",1.22408230,1.22408230
19851211,1.22408230,1.22408230,1.22408230,1.22408230,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",1.22408230,1.22408230
19851212,1.22408230,1.22408230,1.22408230,1.22408230,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Banks","Common Stock",1.22408230,1.22408230
