Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20170626,1.05000000,1.05000000,1.05000000,1.05000000,0,0,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",1.05000000,1.05000000
20170627,1.05000000,1.05000000,1.05000000,1.05000000,0,0,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",1.05000000,1.05000000
20170628,1.05000000,1.05000000,1.05000000,1.05000000,0,0,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",1.05000000,1.05000000
20170629,1.05000000,1.05000000,1.05000000,1.05000000,0,0,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",1.05000000,1.05000000
20170630,1.05000000,1.05000000,1.05000000,1.05000000,0,0,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",1.05000000,1.05000000
20170703,1.05000000,1.05000000,1.05000000,1.05000000,0,0,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",1.05000000,1.05000000
20170704,1.05000000,1.05000000,1.05000000,1.05000000,0,0,N/A,N/A,0,0,"NYSE","Technology","Technology/Information Technology","Common Stock",1.05000000,1.05000000
20170705,1.05000000,1.05000000,1.05000000,1.05000000,0,0,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",1.05000000,1.05000000
20170706,1.05000000,1.05000000,1.05000000,1.05000000,0,0,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",1.05000000,1.05000000
20170707,1.05000000,1.05000000,1.05000000,1.05000000,0,0,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",1.05000000,1.05000000
20170710,1.05000000,1.05000000,1.05000000,1.05000000,0,0,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",1.05000000,1.05000000
20170711,1.05000000,1.05000000,1.05000000,1.05000000,0,0,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",1.05000000,1.05000000
20170712,1.05000000,1.05000000,1.05000000,1.05000000,0,0,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",1.05000000,1.05000000
20170713,1.05000000,1.05000000,1.05000000,1.05000000,0,0,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",1.05000000,1.05000000
20170714,1.05000000,1.05000000,1.05000000,1.05000000,0,0,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",1.05000000,1.05000000
20170717,1.05000000,1.05000000,1.05000000,1.05000000,0,0,N/A,N/A,0,-5,"NYSE","Technology","Technology/Information Technology","Common Stock",1.05000000,1.05000000
