Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19870602,3.63491516,3.96164910,3.63491516,3.92080736,137168,537809,N/A,N/A,0,-5,"NYSE","","","Common Stock",3.92080736,3.92080736
19870603,3.94122823,4.12501608,3.94122823,4.04333259,23692,95795,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.04333259,4.04333259
19870604,4.06375346,4.39048741,4.06375346,4.28838305,27352,117296,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.28838305,4.28838305
19870605,4.28838305,4.37006654,4.24754131,4.37006654,11340,49557,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.37006654,4.37006654
19870608,4.37006654,4.71722136,4.37006654,4.69680048,30144,141580,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.69680048,4.69680048
19870609,4.69680048,4.81932571,4.57427525,4.73764223,14772,69984,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.73764223,4.73764223
19870610,4.73764223,4.81932571,4.65595874,4.73764223,10416,49347,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.73764223,4.73764223
19870611,4.73764223,4.77848397,4.69680048,4.73764223,6600,31268,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.73764223,4.73764223
19870612,4.73764223,4.86016746,4.73764223,4.86016746,3592,17458,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.86016746,4.86016746
19870615,4.86016746,4.90100920,4.73764223,4.75806310,2324,11058,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.75806310,4.75806310
19870616,4.75806310,4.79890484,4.65595874,4.65595874,4072,18959,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.65595874,4.65595874
19870617,4.65595874,4.98269269,4.61511700,4.94185094,12144,60014,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.94185094,4.94185094
19870618,4.94185094,5.20732228,4.92143007,5.20732228,6336,32994,N/A,N/A,0,-5,"NYSE","","","Common Stock",5.20732228,5.20732228
19870619,5.20732228,5.39111012,5.18690140,5.26858489,5504,28998,N/A,N/A,0,-5,"NYSE","","","Common Stock",5.26858489,5.26858489
19870622,5.26858489,5.28900576,5.20732228,5.22774315,6288,32872,N/A,N/A,0,-5,"NYSE","","","Common Stock",5.22774315,5.22774315
19870623,5.22774315,5.24816402,5.18690140,5.18690140,7416,38466,N/A,N/A,0,-5,"NYSE","","","Common Stock",5.18690140,5.18690140
19870624,5.18690140,5.24816402,5.08479705,5.10521792,2368,12089,N/A,N/A,0,-5,"NYSE","","","Common Stock",5.10521792,5.10521792
19870625,5.10521792,5.14605966,5.08479705,5.08479705,3488,17736,N/A,N/A,0,-5,"NYSE","","","Common Stock",5.08479705,5.08479705
19870626,5.08479705,5.14605966,5.08479705,5.14605966,516,2655,N/A,N/A,0,-5,"NYSE","","","Common Stock",5.14605966,5.14605966
19870629,5.14605966,5.14605966,5.02353443,5.08479705,2656,13505,N/A,N/A,0,-5,"NYSE","","","Common Stock",5.08479705,5.08479705
19870630,5.08479705,5.10521792,5.04395530,5.08479705,4912,24977,N/A,N/A,0,-5,"NYSE","","","Common Stock",5.08479705,5.08479705
19870701,5.10521792,5.14605966,5.10521792,5.12563879,5824,29852,N/A,N/A,0,-5,"NYSE","","","Common Stock",5.12563879,5.12563879
19870702,5.12563879,5.22774315,5.10521792,5.20732228,2676,13935,N/A,N/A,0,-5,"NYSE","","","Common Stock",5.20732228,5.20732228
19870703,5.12563879,5.22774315,5.10521792,5.20732228,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",31.87500000,5.20732228
19870706,5.20732228,5.39111012,5.18690140,5.39111012,6368,34331,N/A,N/A,0,-5,"NYSE","","","Common Stock",5.39111012,5.39111012
19870707,5.39111012,5.55447709,5.35026838,5.47279361,3912,21410,N/A,N/A,0,-5,"NYSE","","","Common Stock",5.47279361,5.47279361
19870708,5.47279361,5.53405622,5.47279361,5.53405622,2484,13747,N/A,N/A,0,-5,"NYSE","","","Common Stock",5.53405622,5.53405622
19870709,5.53405622,5.57489797,5.51363535,5.55447709,2232,12398,N/A,N/A,0,-5,"NYSE","","","Common Stock",5.55447709,5.55447709
19870710,5.59531884,5.98331540,5.59531884,5.94247366,4864,28904,N/A,N/A,0,-5,"NYSE","","","Common Stock",5.94247366,5.94247366
19870713,5.96289453,6.04457802,5.96289453,6.02415714,3552,21398,N/A,N/A,0,-5,"NYSE","","","Common Stock",6.02415714,6.02415714
19870714,6.02415714,6.31004935,6.00373627,6.26920760,2168,13592,N/A,N/A,0,-5,"NYSE","","","Common Stock",6.26920760,6.26920760
19870715,6.26920760,6.31004935,5.96289453,5.96289453,21864,130373,N/A,N/A,0,-5,"NYSE","","","Common Stock",5.96289453,5.96289453
19870716,5.96289453,6.00373627,5.71784407,5.77910668,7688,44430,N/A,N/A,0,-5,"NYSE","","","Common Stock",5.77910668,5.77910668
19870717,5.77910668,5.81994843,5.75868581,5.81994843,5580,32475,N/A,N/A,0,-5,"NYSE","","","Common Stock",5.81994843,5.81994843
19870720,5.81994843,5.81994843,5.75868581,5.75868581,3812,21952,N/A,N/A,0,-5,"NYSE","","","Common Stock",5.75868581,5.75868581
19870721,5.75868581,5.84036930,5.73826494,5.79952756,5264,30529,N/A,N/A,0,-5,"NYSE","","","Common Stock",5.79952756,5.79952756
19870722,5.79952756,5.84036930,5.71784407,5.75868581,8220,47336,N/A,N/A,0,-5,"NYSE","","","Common Stock",5.75868581,5.75868581
19870723,5.75868581,5.81994843,5.69742320,5.73826494,5972,34269,N/A,N/A,0,-5,"NYSE","","","Common Stock",5.73826494,5.73826494
19870724,5.73826494,5.75868581,5.69742320,5.75868581,716,4123,N/A,N/A,0,-5,"NYSE","","","Common Stock",5.75868581,5.75868581
19870727,5.75868581,5.79952756,5.69742320,5.79952756,872,5057,N/A,N/A,0,-5,"NYSE","","","Common Stock",5.79952756,5.79952756
19870728,5.79952756,5.92205279,5.75868581,5.92205279,4104,24304,N/A,N/A,0,-5,"NYSE","","","Common Stock",5.92205279,5.92205279
19870729,5.92205279,5.98331540,5.88121104,5.98331540,1772,10602,N/A,N/A,0,-5,"NYSE","","","Common Stock",5.98331540,5.98331540
