Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19800801,2.76878350,2.76878350,2.73388286,2.76878350,1071,2965,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.76878350,2.76878350
19800804,2.76878350,2.76878350,2.74551641,2.76878350,585,1620,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.76878350,2.76878350
19800805,2.76878350,2.79205058,2.76878350,2.76878350,216,598,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.76878350,2.76878350
19800806,2.76878350,2.78041704,2.75714995,2.75714995,234,645,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.75714995,2.75714995
19800807,2.75714995,2.78041704,2.74551641,2.75714995,2322,6402,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.75714995,2.75714995
19800808,2.76878350,2.79205058,2.76878350,2.78041704,261,726,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.78041704,2.78041704
19800811,2.79205058,2.86185185,2.79205058,2.86185185,1296,3709,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.86185185,2.86185185
19800812,2.86185185,2.87348539,2.81531767,2.81531767,1476,4155,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.81531767,2.81531767
19800813,2.78041704,2.78041704,2.76878350,2.78041704,333,926,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.78041704,2.78041704
19800814,2.78041704,2.80368413,2.76878350,2.80368413,1557,4365,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.80368413,2.80368413
19800815,2.80368413,2.82695122,2.80368413,2.82695122,1881,5317,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.82695122,2.82695122
19800818,2.79205058,2.79205058,2.65244806,2.68734869,1701,4571,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.68734869,2.68734869
19800819,2.66408160,2.66408160,2.60591388,2.60591388,864,2252,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.60591388,2.60591388
19800820,2.60591388,2.62918097,2.55937970,2.62918097,585,1538,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.62918097,2.62918097
19800821,2.65244806,2.67571514,2.65244806,2.67571514,702,1878,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.67571514,2.67571514
19800822,2.69898223,2.79205058,2.69898223,2.79205058,603,1684,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.79205058,2.79205058
19800825,2.78041704,2.78041704,2.67571514,2.68734869,7020,18865,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.68734869,2.68734869
19800826,2.68734869,2.69898223,2.64081451,2.64081451,549,1450,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.64081451,2.64081451
19800827,2.62918097,2.62918097,2.59428034,2.59428034,2043,5300,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.59428034,2.59428034
19800828,2.60591388,2.62918097,2.60591388,2.62918097,459,1207,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.62918097,2.62918097
19800829,2.62918097,2.67571514,2.60591388,2.67571514,594,1589,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.67571514,2.67571514
19800901,2.62918097,2.67571514,2.60591388,2.67571514,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",28.75000000,2.67571514
19800902,2.67571514,2.69898223,2.65244806,2.68734869,270,726,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.68734869,2.68734869
19800903,2.68734869,2.69898223,2.66408160,2.68734869,846,2273,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.68734869,2.68734869
19800904,2.68734869,2.72224932,2.68734869,2.69898223,1692,4567,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.69898223,2.69898223
19800905,2.69898223,2.72224932,2.66408160,2.66408160,2799,7457,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.66408160,2.66408160
19800908,2.66408160,2.68734869,2.66408160,2.66408160,1503,4004,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.66408160,2.66408160
19800909,2.65244806,2.65244806,2.60591388,2.62918097,2142,5632,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.62918097,2.62918097
19800910,2.62918097,2.65244806,2.61754742,2.61754742,1251,3275,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.61754742,2.61754742
19800911,2.62918097,2.64081451,2.62918097,2.62918097,459,1207,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.62918097,2.62918097
19800912,2.62918097,2.64081451,2.60591388,2.60591388,2844,7411,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.60591388,2.60591388
19800915,2.58264679,2.58264679,2.51284553,2.55937970,2727,6979,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.55937970,2.55937970
19800916,2.55937970,2.61754742,2.54774616,2.58264679,3213,8298,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.58264679,2.58264679
19800917,2.60591388,2.65244806,2.60591388,2.64081451,2799,7392,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.64081451,2.64081451
19800918,2.66408160,2.79205058,2.66408160,2.66408160,5949,15849,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.66408160,2.66408160
19800919,2.68734869,2.71061578,2.68734869,2.69898223,2511,6777,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.69898223,2.69898223
19800922,2.69898223,2.73388286,2.68734869,2.71061578,720,1952,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.71061578,2.71061578
19800923,2.72224932,2.76878350,2.72224932,2.74551641,2763,7586,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.74551641,2.74551641
19800924,2.74551641,2.74551641,2.69898223,2.69898223,1683,4542,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.69898223,2.69898223
19800925,2.69898223,2.69898223,2.67571514,2.67571514,198,530,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.67571514,2.67571514
19800926,2.67571514,2.68734869,2.65244806,2.67571514,1098,2938,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.67571514,2.67571514
19800929,2.65244806,2.65244806,2.54774616,2.58264679,5544,14318,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.58264679,2.58264679
19800930,2.58264679,2.59428034,2.57101325,2.59428034,639,1658,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.59428034,2.59428034
19801001,2.58264679,2.58264679,2.57101325,2.58264679,1179,3045,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.58264679,2.58264679
19801002,2.58264679,2.58264679,2.55937970,2.58264679,765,1976,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.58264679,2.58264679
19801003,2.58264679,2.58264679,2.55937970,2.58264679,4914,12691,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.58264679,2.58264679
19801006,2.58264679,2.59428034,2.57101325,2.59428034,1080,2802,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.59428034,2.59428034
19801007,2.58264679,2.58264679,2.55937970,2.58264679,1701,4393,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.58264679,2.58264679
19801008,2.58264679,2.58264679,2.57101325,2.58264679,4815,12435,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.58264679,2.58264679
19801009,2.58264679,2.58264679,2.57101325,2.58264679,1071,2766,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.58264679,2.58264679
19801010,2.58264679,2.58264679,2.55937970,2.57101325,252,648,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.57101325,2.57101325
19801013,2.57101325,2.58264679,2.55937970,2.57101325,234,602,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.57101325,2.57101325
19801014,2.57101325,2.58264679,2.57101325,2.58264679,207,535,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.58264679,2.58264679
19801015,2.58264679,2.58264679,2.57101325,2.58264679,1107,2859,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.58264679,2.58264679
19801016,2.58264679,2.59428034,2.55937970,2.57101325,1836,4720,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.57101325,2.57101325
19801017,2.57101325,2.59428034,2.54774616,2.58264679,1287,3324,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.58264679,2.58264679
19801020,2.58264679,2.58264679,2.55937970,2.55937970,315,806,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.55937970,2.55937970
19801021,2.53611261,2.53611261,2.51284553,2.51284553,4176,10494,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.51284553,2.51284553
19801022,2.51284553,2.52447907,2.48957844,2.51284553,450,1131,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.51284553,2.51284553
19801023,2.50121198,2.50121198,2.46631135,2.46631135,1224,3019,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.46631135,2.46631135
19801024,2.47794489,2.50121198,2.47794489,2.48957844,288,717,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.48957844,2.48957844
19801027,2.48957844,2.50121198,2.47794489,2.47794489,135,335,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.47794489,2.47794489
19801028,2.47794489,2.53611261,2.47794489,2.50121198,963,2409,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.50121198,2.50121198
19801029,2.50121198,2.50121198,2.46631135,2.46631135,936,2308,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.46631135,2.46631135
19801030,2.46631135,2.47794489,2.46631135,2.46631135,531,1310,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.46631135,2.46631135
19801031,2.46631135,2.51284553,2.46631135,2.48957844,207,515,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.48957844,2.48957844
19801103,2.50121198,2.53611261,2.50121198,2.52447907,378,954,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.52447907,2.52447907
19801104,2.50121198,2.53611261,2.50121198,2.52447907,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",27.12500000,2.52447907
19801105,2.58264679,2.60591388,2.58264679,2.60591388,567,1478,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.60591388,2.60591388
19801106,2.60591388,2.60591388,2.58264679,2.59428034,396,1027,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.59428034,2.59428034
19801107,2.59428034,2.61754742,2.59428034,2.60591388,243,633,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.60591388,2.60591388
19801110,2.60591388,2.62918097,2.59428034,2.59428034,666,1728,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.59428034,2.59428034
19801111,2.60591388,2.66408160,2.60591388,2.61754742,1323,3463,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.61754742,2.61754742
19801112,2.61754742,2.65244806,2.59428034,2.65244806,396,1050,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.65244806,2.65244806
19801113,2.69898223,2.76878350,2.69898223,2.74551641,1575,4324,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.74551641,2.74551641
19801114,2.76878350,2.87348539,2.76878350,2.83858476,1125,3193,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.83858476,2.83858476
19801117,2.83858476,2.86185185,2.80368413,2.81531767,1305,3674,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.81531767,2.81531767
19801118,2.82695122,2.87348539,2.82695122,2.87348539,414,1190,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.87348539,2.87348539
19801119,2.87348539,2.88511894,2.85021831,2.87348539,792,2276,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.87348539,2.87348539
19801120,2.87348539,2.87348539,2.81531767,2.86185185,666,1906,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Packaging & Containers","Common Stock",2.86185185,2.86185185
