Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20051114,4.86666673,5.11664852,4.85336982,5.05282338,16927,85529,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Advertising & Marketing","Common Stock",5.05282338,5.05282338
20051115,5.05282338,5.17249551,5.03420771,5.05282338,7761,39215,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Advertising & Marketing","Common Stock",5.05282338,5.05282338
20051116,5.06080152,5.13260480,5.05282338,5.07941719,6464,32833,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Advertising & Marketing","Common Stock",5.07941719,5.07941719
20051117,5.09271409,5.30546455,5.05282338,5.26025508,13920,73223,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Advertising & Marketing","Common Stock",5.26025508,5.26025508
20051118,5.29216764,5.29216764,5.07675781,5.09271409,9942,50632,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Advertising & Marketing","Common Stock",5.09271409,5.09271409
20051121,5.09005471,5.11664852,5.04484524,5.06612028,2453,12427,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Advertising & Marketing","Common Stock",5.06612028,5.06612028
20051122,5.06346090,5.21238622,5.05282338,5.18579241,7211,37395,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Advertising & Marketing","Common Stock",5.18579241,5.18579241
20051123,5.23898003,5.34535526,5.22568313,5.30014579,11342,60114,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Advertising & Marketing","Common Stock",5.30014579,5.30014579
20051124,5.23898003,5.34535526,5.22568313,5.30014579,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Advertising & Marketing","Common Stock",19.93000000,5.30014579
20051125,5.28153012,5.34535526,5.23898003,5.29216764,1621,8579,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Advertising & Marketing","Common Stock",5.29216764,5.29216764
20051128,5.29482702,5.37726783,5.18579241,5.35865216,4651,24923,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Advertising & Marketing","Common Stock",5.35865216,5.35865216
20051129,5.35865216,5.42513668,5.31876145,5.39854287,4440,23970,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Advertising & Marketing","Common Stock",5.39854287,5.39854287
