Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20150814,25.39478198,26.71531064,25.39478198,26.66452108,356,9493,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.66452108,26.66452108
20150817,27.07930252,31.89584617,26.66452108,28.82307755,82732,2384591,N/A,N/A,0,-5,"NYSE","","","Common Stock",28.82307755,28.82307755
20150818,28.82307755,30.84619518,28.39983118,30.11821143,52449,1579670,N/A,N/A,0,-5,"NYSE","","","Common Stock",30.11821143,30.11821143
20150819,29.48334188,30.17746592,28.87386711,30.14360621,31125,938220,N/A,N/A,0,-5,"NYSE","","","Common Stock",30.14360621,30.14360621
20150820,29.98277259,30.14360621,29.46641202,30.03356216,15866,476512,N/A,N/A,0,-5,"NYSE","","","Common Stock",30.03356216,30.03356216
20150821,29.76268448,30.03356216,29.27171870,29.27171870,14795,433075,N/A,N/A,0,-5,"NYSE","","","Common Stock",29.27171870,29.27171870
20150824,28.36597147,28.36597147,26.43596804,27.57873323,48843,1347028,N/A,N/A,0,-5,"NYSE","","","Common Stock",27.57873323,27.57873323
20150825,27.42636454,27.76496163,26.45289790,27.14702194,52448,1423807,N/A,N/A,0,-5,"NYSE","","","Common Stock",27.14702194,27.14702194
20150826,26.83381963,27.41789961,25.66565965,27.25706599,37600,1024866,N/A,N/A,0,-5,"NYSE","","","Common Stock",27.25706599,27.25706599
20150827,26.92693383,27.25706599,26.35978370,27.23167121,23960,652471,N/A,N/A,0,-5,"NYSE","","","Common Stock",27.23167121,27.23167121
20150828,27.20627643,27.74803178,26.79149499,27.68877729,8548,236684,N/A,N/A,0,-5,"NYSE","","","Common Stock",27.68877729,27.68877729
20150831,27.17241672,27.60412801,26.85074948,26.91000397,17946,482927,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.91000397,26.91000397
20150901,26.50368746,26.64335876,25.94500226,26.13123066,7335,191673,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.13123066,26.13123066
20150902,27.40096976,27.40096976,25.73337907,26.27513442,9000,236476,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.27513442,26.27513442
20150903,26.25820457,27.08776745,25.99579182,26.86767934,13151,353337,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.86767934,26.86767934
20150904,26.61373152,26.83381963,26.09737095,26.35131877,8811,232181,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.35131877,26.35131877
20150907,26.61373152,26.83381963,26.09737095,26.35131877,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",31.13000000,26.35131877
20150908,26.35978370,26.68145093,26.03811646,26.34285384,10420,274493,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.34285384,26.34285384
20150909,26.22434486,26.52061731,26.19895008,26.32592399,7901,208001,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.32592399,26.32592399
20150910,26.02326769,26.48027007,25.91117277,25.98877695,5085,132153,N/A,N/A,0,-5,"NYSE","","","Common Stock",25.98877695,25.98877695
20150911,25.98877695,26.47164739,25.64386949,26.16123068,8138,212900,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.16123068,26.16123068
20150914,26.12673993,26.67859186,26.12673993,26.52338351,6426,170439,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.52338351,26.52338351
20150915,26.39404321,26.71308261,26.08362650,26.57511962,7576,201333,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.57511962,26.57511962
20150916,26.43715664,27.22182111,26.35092978,27.15283962,6912,187680,N/A,N/A,0,-5,"NYSE","","","Common Stock",27.15283962,27.15283962
20150917,27.33391603,28.99809452,27.05799007,27.76505035,7184,199464,N/A,N/A,0,-5,"NYSE","","","Common Stock",27.76505035,27.76505035
20150918,27.65295543,28.69630049,27.48912439,28.00648557,13457,376883,N/A,N/A,0,-5,"NYSE","","","Common Stock",28.00648557,28.00648557
20150921,28.17031662,28.46348796,27.77367304,28.43761990,4663,132605,N/A,N/A,0,-5,"NYSE","","","Common Stock",28.43761990,28.43761990
20150922,28.10995781,28.44624258,27.72193692,27.93750408,5449,152231,N/A,N/A,0,-5,"NYSE","","","Common Stock",27.93750408,27.93750408
20150923,28.10995781,28.61869631,27.92888140,28.41175184,6553,186182,N/A,N/A,0,-5,"NYSE","","","Common Stock",28.41175184,28.41175184
20150924,28.32552497,29.10156675,27.91163602,28.73941392,6751,194020,N/A,N/A,0,-5,"NYSE","","","Common Stock",28.73941392,28.73941392
20150925,28.66180974,29.31713391,28.66180974,28.79115004,4569,131547,N/A,N/A,0,-5,"NYSE","","","Common Stock",28.79115004,28.79115004
20150928,28.64456437,28.72216855,28.42899721,28.43761990,9600,273001,N/A,N/A,0,-5,"NYSE","","","Common Stock",28.43761990,28.43761990
20150929,28.30827960,28.58420557,27.66157812,28.47211064,4664,132794,N/A,N/A,0,-5,"NYSE","","","Common Stock",28.47211064,28.47211064
20150930,28.75665930,28.75665930,28.25654348,28.39450646,5980,169799,N/A,N/A,0,-5,"NYSE","","","Common Stock",28.39450646,28.39450646
20151001,28.18756199,28.61007363,27.83403185,28.09271244,7587,213139,N/A,N/A,0,-5,"NYSE","","","Common Stock",28.09271244,28.09271244
20151002,27.98061752,28.52384676,27.70469155,28.10995781,10534,296110,N/A,N/A,0,-5,"NYSE","","","Common Stock",28.10995781,28.10995781
20151005,28.02373095,28.59282825,27.98061752,28.58420557,6436,183968,N/A,N/A,0,-5,"NYSE","","","Common Stock",28.58420557,28.58420557
20151006,28.48935602,29.07569869,28.39105739,28.88599959,8565,247409,N/A,N/A,0,-5,"NYSE","","","Common Stock",28.88599959,28.88599959
20151007,28.98084914,29.70515480,28.92911302,29.59305988,5964,176493,N/A,N/A,0,-5,"NYSE","","","Common Stock",29.59305988,29.59305988
20151008,29.42060615,29.86036316,29.29988854,29.54994645,2750,81262,N/A,N/A,0,-5,"NYSE","","","Common Stock",29.54994645,29.54994645
20151009,29.58443719,29.74826824,29.39473809,29.53270108,2993,88391,N/A,N/A,0,-5,"NYSE","","","Common Stock",29.53270108,29.53270108
20151012,29.48958764,29.73102286,28.88599959,29.03258526,4265,123824,N/A,N/A,0,-5,"NYSE","","","Common Stock",29.03258526,29.03258526
20151013,28.88599959,29.19469177,28.88599959,28.93773571,4098,118587,N/A,N/A,0,-5,"NYSE","","","Common Stock",28.93773571,28.93773571
20151014,28.81701810,29.06190240,28.68767780,28.80839541,8073,232570,N/A,N/A,0,-5,"NYSE","","","Common Stock",28.80839541,28.80839541
20151015,28.71354586,29.02396257,28.27378885,28.52384676,4013,114466,N/A,N/A,0,-5,"NYSE","","","Common Stock",28.52384676,28.52384676
20151016,28.45486527,28.99809452,28.32552497,28.78252735,4224,121577,N/A,N/A,0,-5,"NYSE","","","Common Stock",28.78252735,28.78252735
20151019,28.69630049,29.11881213,27.73055961,28.92049034,5555,160653,N/A,N/A,0,-5,"NYSE","","","Common Stock",28.92049034,28.92049034
20151020,28.91186765,29.32575660,28.61007363,29.31713391,4878,143009,N/A,N/A,0,-5,"NYSE","","","Common Stock",29.31713391,29.31713391
20151021,29.23090705,29.57581451,29.03258526,29.17054824,4102,119658,N/A,N/A,0,-5,"NYSE","","","Common Stock",29.17054824,29.17054824
20151022,29.26539780,29.58443719,29.20503899,29.57581451,6449,190734,N/A,N/A,0,-5,"NYSE","","","Common Stock",29.57581451,29.57581451
20151023,29.70515480,29.79138167,28.89462228,29.23090705,2620,76585,N/A,N/A,0,-5,"NYSE","","","Common Stock",29.23090705,29.23090705
20151026,29.17054824,29.17054824,28.48073333,28.92049034,4354,125920,N/A,N/A,0,-5,"NYSE","","","Common Stock",28.92049034,28.92049034
20151027,28.74803661,29.17917093,28.23929811,28.60145094,4797,137201,N/A,N/A,0,-5,"NYSE","","","Common Stock",28.60145094,28.60145094
20151028,28.60145094,29.05845332,28.08408975,28.99809452,4477,129824,N/A,N/A,0,-5,"NYSE","","","Common Stock",28.99809452,28.99809452
20151029,28.92911302,29.19641630,28.61869631,28.98084914,2282,66134,N/A,N/A,0,-5,"NYSE","","","Common Stock",28.98084914,28.98084914
20151030,28.98947183,28.99809452,28.13582587,28.41175184,4605,130836,N/A,N/A,0,-5,"NYSE","","","Common Stock",28.41175184,28.41175184
20151102,28.35139303,28.65318706,28.08408975,28.49797870,4037,115046,N/A,N/A,0,-5,"NYSE","","","Common Stock",28.49797870,28.49797870
20151103,28.50660139,28.53246945,27.95474946,28.04959901,6840,191859,N/A,N/A,0,-5,"NYSE","","","Common Stock",28.04959901,28.04959901
20151104,28.03235363,28.36863841,28.01079692,28.05822169,4005,112373,N/A,N/A,0,-5,"NYSE","","","Common Stock",28.05822169,28.05822169
20151105,27.96337214,28.05391035,27.53223782,27.70469155,5403,149688,N/A,N/A,0,-5,"NYSE","","","Common Stock",27.70469155,27.70469155
20151106,27.54948319,27.58397394,26.54062888,26.79930947,3952,105911,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.79930947,26.79930947
20151109,26.73032798,26.73032798,25.78183247,26.15260799,4380,114548,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.15260799,26.15260799
20151110,26.10087187,26.41128858,26.10087187,26.26470291,3748,98440,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.26470291,26.26470291
20151111,26.29919366,26.69583723,26.18709873,26.40266590,4038,106614,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.40266590,26.40266590
20151112,26.29057097,26.39404321,25.86805934,26.02326769,2502,65110,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.02326769,26.02326769
20151113,26.04051306,26.18709873,25.67836023,25.83356859,2552,65927,N/A,N/A,0,-5,"NYSE","","","Common Stock",25.83356859,25.83356859
20151116,25.75596441,25.97153157,25.63524680,25.79045516,3821,98545,N/A,N/A,0,-5,"NYSE","","","Common Stock",25.79045516,25.79045516
20151117,25.80770053,26.26901426,25.66973755,26.12673993,3481,90947,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.12673993,26.12673993
20151118,26.21296679,26.34230709,25.79045516,26.16123068,5044,131957,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.16123068,26.16123068
20151119,26.16123068,26.27246333,25.88530471,26.16123068,4832,126411,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.16123068,26.16123068
20151120,26.22158948,26.99504445,26.18709873,26.81655484,3754,100669,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.81655484,26.81655484
20151123,26.85104559,27.13559424,26.79068679,26.84242290,2793,74971,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.84242290,26.84242290
20151124,26.73032798,27.10110350,26.41128858,27.01487663,2968,80180,N/A,N/A,0,-5,"NYSE","","","Common Stock",27.01487663,27.01487663
20151125,27.07523544,27.42876558,27.04074469,27.33391603,1849,50540,N/A,N/A,0,-5,"NYSE","","","Common Stock",27.33391603,27.33391603
20151126,27.07523544,27.42876558,27.04074469,27.33391603,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",31.70000000,27.33391603
20151127,27.33391603,27.82109782,27.17439633,27.67020080,1627,45019,N/A,N/A,0,-5,"NYSE","","","Common Stock",27.67020080,27.67020080
20151130,27.69606886,27.77367304,27.09248081,27.29080260,5057,138010,N/A,N/A,0,-5,"NYSE","","","Common Stock",27.29080260,27.29080260
20151201,27.22182111,27.97199483,27.22182111,27.67882349,4192,116030,N/A,N/A,0,-5,"NYSE","","","Common Stock",27.67882349,27.67882349
20151202,27.74780498,27.81678647,26.94589514,27.05799007,7403,200310,N/A,N/A,0,-5,"NYSE","","","Common Stock",27.05799007,27.05799007
20151203,27.02349932,27.24768917,26.17847605,26.29057097,4704,123671,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.29057097,26.29057097
20151204,26.29919366,27.46325633,26.22158948,26.59236500,5174,137589,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.59236500,26.59236500
20151207,26.59236500,27.22182111,26.32506172,26.90278171,6444,173362,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.90278171,26.90278171
20151208,26.61823306,27.19595305,26.56649694,26.95451783,4190,112939,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.95451783,26.95451783
20151209,26.69583723,26.94589514,26.53200619,26.77344141,4035,108031,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.77344141,26.77344141
20151210,26.75619604,27.04936738,26.40266590,26.47164739,6000,158830,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.47164739,26.47164739
20151211,26.31643903,26.60961037,26.10949456,26.51476082,3884,102983,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.51476082,26.51476082
20151214,26.44577933,26.69583723,25.95428620,26.15260799,6816,178256,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.15260799,26.15260799
20151215,26.31643903,26.87691365,26.24745754,26.71308261,5280,141045,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.71308261,26.71308261
20151216,26.81655484,27.37702946,26.60961037,27.16146230,6816,185133,N/A,N/A,0,-5,"NYSE","","","Common Stock",27.16146230,27.16146230
20151217,27.14302156,27.23961594,26.81811318,26.86201972,8361,224593,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.86201972,26.86201972
20151218,26.79176926,27.02008325,26.57223657,26.59858049,18856,501543,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.59858049,26.59858049
20151221,26.80933187,26.82689449,26.20342165,26.54589265,4165,110564,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.54589265,26.54589265
20151222,26.59858049,26.83567579,26.50198611,26.71273749,7397,197594,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.71273749,26.71273749
20151223,26.89714495,26.95422345,26.71273749,26.77420664,4915,131595,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.77420664,26.77420664
20151224,26.78298795,26.94983279,26.71273749,26.79176926,1921,51467,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.79176926,26.79176926
20151225,26.78298795,26.94983279,26.71273749,26.79176926,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",30.51000000,26.79176926
20151228,26.55467395,26.95861410,26.54589265,26.89714495,5488,147612,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.89714495,26.89714495
20151229,27.07277110,27.15180286,26.92348887,27.00252064,6798,183563,N/A,N/A,0,-5,"NYSE","","","Common Stock",27.00252064,27.00252064
20151230,27.08155240,27.10789633,26.94105148,26.98495802,3257,87890,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.98495802,26.98495802
20151231,27.01130194,27.08594306,26.82689449,26.84445710,6427,172529,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.84445710,26.84445710
20160101,27.01130194,27.08594306,26.82689449,26.84445710,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",30.57000000,26.84445710
20160104,26.55467395,27.17814679,26.55467395,27.15180286,6435,174722,N/A,N/A,0,-5,"NYSE","","","Common Stock",27.15180286,27.15180286
20160105,27.15180286,27.81040093,27.07277110,27.71380655,5196,144001,N/A,N/A,0,-5,"NYSE","","","Common Stock",27.71380655,27.71380655
20160106,27.62599347,27.88065139,27.27474117,27.33621032,5241,143269,N/A,N/A,0,-5,"NYSE","","","Common Stock",27.33621032,27.33621032
20160107,26.98495802,27.06398979,26.68639357,26.77420664,6140,164394,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.77420664,26.77420664
20160108,26.79176926,26.96739541,26.54589265,26.58979918,5587,148557,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.58979918,26.58979918
20160111,26.68639357,26.77420664,26.52833003,26.62492441,5690,151496,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.62492441,26.62492441
20160112,26.75664403,27.00252064,26.58979918,26.67761226,7069,188584,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.67761226,26.67761226
20160113,26.76542533,26.94983279,26.30001603,26.43173565,6053,159991,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.43173565,26.43173565
20160114,26.38782911,26.61614311,26.08048335,26.56345526,4855,128966,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.56345526,26.56345526
20160115,26.25610950,26.44051696,25.85656000,26.41417303,6253,165168,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.41417303,26.41417303
20160118,26.25610950,26.44051696,25.85656000,26.41417303,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",30.08000000,26.41417303
20160119,26.54589265,26.94983279,26.43173565,26.76542533,5680,152028,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.76542533,26.76542533
20160120,26.61614311,26.61614311,25.43944790,25.69410582,6461,166010,N/A,N/A,0,-5,"NYSE","","","Common Stock",25.69410582,25.69410582
20160121,25.83460674,26.26489080,25.56238620,25.69410582,4451,114364,N/A,N/A,0,-5,"NYSE","","","Common Stock",25.69410582,25.69410582
20160122,25.93120112,26.47564219,25.92241981,26.14195250,10932,285784,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.14195250,26.14195250
20160125,26.19464034,26.30001603,25.77313758,25.89607589,7003,181350,N/A,N/A,0,-5,"NYSE","","","Common Stock",25.89607589,25.89607589
20160126,26.11560858,26.70395618,26.03657681,26.62492441,6827,181768,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.62492441,26.62492441
20160127,26.69517487,26.69517487,26.22098427,26.29123473,7304,192031,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.29123473,26.29123473
20160128,26.35270388,26.53711134,25.86095066,25.93998243,5478,142099,N/A,N/A,0,-5,"NYSE","","","Common Stock",25.93998243,25.93998243
20160129,26.26489080,26.33075061,25.96632635,26.29123473,5861,154093,N/A,N/A,0,-5,"NYSE","","","Common Stock",26.29123473,26.29123473
20160201,26.28245342,26.45807957,25.75557497,25.94876373,3372,87499,N/A,N/A,0,-5,"NYSE","","","Common Stock",25.94876373,25.94876373
20160202,25.78191889,25.91363850,25.05307037,25.24625913,3513,88690,N/A,N/A,0,-5,"NYSE","","","Common Stock",25.24625913,25.24625913
20160203,25.52726097,26.02779550,25.33407221,25.92241981,4051,105012,N/A,N/A,0,-5,"NYSE","","","Common Stock",25.92241981,25.92241981
20160204,25.85216935,25.92241981,25.32529090,25.54482359,4683,119626,N/A,N/A,0,-5,"NYSE","","","Common Stock",25.54482359,25.54482359
20160205,25.51847967,25.67654320,25.14966475,25.17600867,5464,137562,N/A,N/A,0,-5,"NYSE","","","Common Stock",25.17600867,25.17600867
20160208,24.98281991,25.02672644,24.25397138,24.50862930,5341,130901,N/A,N/A,0,-5,"NYSE","","","Common Stock",24.50862930,24.50862930
20160209,24.29787792,24.42081622,21.96644077,22.40111549,21743,487067,N/A,N/A,0,-5,"NYSE","","","Common Stock",22.40111549,22.40111549
20160210,22.41867811,22.65577341,21.27271748,21.48785951,13546,291075,N/A,N/A,0,-5,"NYSE","","","Common Stock",21.48785951,21.48785951
20160211,21.10148198,21.43517167,20.76779229,21.24198290,7725,164094,N/A,N/A,0,-5,"NYSE","","","Common Stock",21.24198290,21.24198290
20160212,21.47907820,21.66348566,21.28588944,21.38248382,4674,99942,N/A,N/A,0,-5,"NYSE","","","Common Stock",21.38248382,21.38248382
20160215,21.47907820,21.66348566,21.28588944,21.38248382,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",24.35000000,21.38248382
20160216,21.83911181,21.90848414,21.20685767,21.54054736,3929,84633,N/A,N/A,0,-5,"NYSE","","","Common Stock",21.54054736,21.54054736
20160217,21.73373612,22.09376973,21.58445389,21.75129874,3781,82242,N/A,N/A,0,-5,"NYSE","","","Common Stock",21.75129874,21.75129874
20160218,21.83911181,21.92692489,21.66348566,21.74251743,3269,71076,N/A,N/A,0,-5,"NYSE","","","Common Stock",21.74251743,21.74251743
20160219,21.71617351,22.69089864,21.70124528,22.55039772,4698,105942,N/A,N/A,0,-5,"NYSE","","","Common Stock",22.55039772,22.55039772
20160222,22.73480518,23.13874533,22.34842765,22.38355288,3619,81006,N/A,N/A,0,-5,"NYSE","","","Common Stock",22.38355288,22.38355288
20160223,22.44502203,22.74358649,22.30452111,22.55917903,2434,54909,N/A,N/A,0,-5,"NYSE","","","Common Stock",22.55917903,22.55917903
20160224,22.42745942,22.44502203,22.04108189,22.26061457,3230,71902,N/A,N/A,0,-5,"NYSE","","","Common Stock",22.26061457,22.26061457
20160225,22.41867811,22.89286872,22.25183327,22.78749303,5171,117834,N/A,N/A,0,-5,"NYSE","","","Common Stock",22.78749303,22.78749303
20160226,22.84896218,23.26168363,22.76114910,23.18265186,6072,140765,N/A,N/A,0,-5,"NYSE","","","Common Stock",23.18265186,23.18265186
20160229,23.24412102,23.38462194,22.91921264,23.27924625,9909,230674,N/A,N/A,0,-5,"NYSE","","","Common Stock",23.27924625,23.27924625
20160301,23.27924625,24.23640877,23.20021448,24.21884615,5027,121748,N/A,N/A,0,-5,"NYSE","","","Common Stock",24.21884615,24.21884615
20160302,24.10468915,24.21884615,23.77099947,24.02565739,2752,66119,N/A,N/A,0,-5,"NYSE","","","Common Stock",24.02565739,24.02565739
20160303,24.12225177,24.49984799,23.87637516,24.37690969,4554,111012,N/A,N/A,0,-5,"NYSE","","","Common Stock",24.37690969,24.37690969
20160304,24.40325361,24.56131714,24.09590785,24.42081622,4667,113972,N/A,N/A,0,-5,"NYSE","","","Common Stock",24.42081622,24.42081622
20160307,24.36812838,24.94769468,24.24519007,24.90378814,4165,103724,N/A,N/A,0,-5,"NYSE","","","Common Stock",24.90378814,24.90378814
20160308,24.85110029,25.15844606,24.57448911,24.64034891,7860,193673,N/A,N/A,0,-5,"NYSE","","","Common Stock",24.64034891,24.64034891
20160309,24.64913022,25.39641949,24.64034891,24.68425545,8027,198141,N/A,N/A,0,-5,"NYSE","","","Common Stock",24.68425545,24.68425545
20160310,25.46579182,25.46579182,23.48121632,24.18372092,4722,114196,N/A,N/A,0,-5,"NYSE","","","Common Stock",24.18372092,24.18372092
20160311,24.32422184,24.35056576,22.04986319,23.90271908,18728,447650,N/A,N/A,0,-5,"NYSE","","","Common Stock",23.90271908,23.90271908
20160314,23.79734339,24.50862930,23.71831162,23.90271908,5747,137369,N/A,N/A,0,-5,"NYSE","","","Common Stock",23.90271908,23.90271908
20160315,23.79734339,23.94662562,23.51634155,23.72709293,5450,129313,N/A,N/A,0,-5,"NYSE","","","Common Stock",23.72709293,23.72709293
20160316,23.60415462,23.76221816,23.07727617,23.38462194,6508,152187,N/A,N/A,0,-5,"NYSE","","","Common Stock",23.38462194,23.38462194
20160317,23.18631790,23.36129205,23.04274937,23.33885947,10303,240460,N/A,N/A,0,-5,"NYSE","","","Common Stock",23.33885947,23.33885947
20160318,23.05172240,23.43756283,22.71074714,22.88123477,21051,481673,N/A,N/A,0,-5,"NYSE","","","Common Stock",22.88123477,22.88123477
20160321,22.85431567,23.24015610,22.80047747,22.88123477,7785,178130,N/A,N/A,0,-5,"NYSE","","","Common Stock",22.88123477,22.88123477
