Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20210405,10.00000000,10.00000000,9.83000000,9.89000000,131,1296,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.89000000,9.89000000
20210406,10.09000000,10.09000000,9.81000000,9.99000000,179,1788,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.99000000,9.99000000
20210407,10.10000000,10.10000000,9.93000000,10.00000000,148,1480,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.00000000,10.00000000
20210408,10.05100000,10.13000000,10.01000000,10.08200000,5284,53273,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.08200000,10.08200000
20210409,10.07000000,10.16300000,10.03000000,10.05000000,130,1307,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.05000000,10.05000000
20210412,10.17000000,10.17000000,9.90000000,9.96000000,303,3018,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.96000000,9.96000000
20210413,10.08000000,10.08000000,9.95000000,10.01000000,591,5916,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.01000000,10.01000000
20210414,9.95000000,10.05000000,9.95000000,9.96000000,100,996,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.96000000,9.96000000
20210415,10.07000000,10.07000000,9.89000000,10.03000000,3366,33761,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.03000000,10.03000000
20210416,9.97000000,10.10000000,9.89000000,9.93000000,462,4588,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.93000000,9.93000000
20210419,10.06000000,10.06000000,9.93000000,9.93400000,331,3288,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.93400000,9.93400000
20210420,9.90000000,9.98000000,9.90000000,9.90000000,667,6603,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.90000000,9.90000000
20210421,9.90000000,9.95000000,9.85000000,9.95000000,332,3303,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.95000000,9.95000000
20210422,10.01000000,10.01000000,9.92000000,10.00000000,482,4820,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.00000000,10.00000000
20210423,9.92000000,10.00000000,9.90600000,9.95000000,387,3851,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.95000000,9.95000000
20210426,9.93000000,9.99000000,9.84000000,9.94000000,2095,20824,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.94000000,9.94000000
20210427,10.00000000,10.10000000,9.97000000,10.04000000,369,3705,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.04000000,10.04000000
20210428,10.11000000,10.24300000,9.97000000,10.04000000,174,1747,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.04000000,10.04000000
20210429,10.06000000,10.10000000,9.92000000,10.05000000,147,1477,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.05000000,10.05000000
20210430,9.96000000,10.06000000,9.96000000,10.02000000,209,2094,N/A,N/A,0,-5,"NYSE","","","Common Stock",10.02000000,10.02000000
