Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19861217,34.47206651,40.93557898,34.47206651,34.47206651,1,34,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",34.47206651,34.47206651
19861218,34.47206651,40.93557898,34.47206651,34.47206651,1,34,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",34.47206651,34.47206651
19861219,34.47206651,34.47206651,34.47206651,34.47206651,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",34.47206651,34.47206651
19861222,34.47206651,34.47206651,34.47206651,34.47206651,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",34.47206651,34.47206651
19861223,34.47206651,40.93557898,34.47206651,34.47206651,2,69,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",34.47206651,34.47206651
19861224,34.47206651,40.93557898,34.47206651,34.47206651,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",34.47206651,34.47206651
19861225,34.47206651,40.93557898,34.47206651,34.47206651,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",8.00000000,34.47206651
19861226,34.47206651,34.47206651,34.47206651,34.47206651,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",34.47206651,34.47206651
19861229,34.47206651,34.47206651,34.47206651,34.47206651,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",34.47206651,34.47206651
19861230,34.47206651,40.93557898,34.47206651,34.47206651,1,34,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",34.47206651,34.47206651
19861231,34.47206651,40.93557898,34.47206651,34.47206651,0,0,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",34.47206651,34.47206651
19870101,34.47206651,40.93557898,34.47206651,34.47206651,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",8.00000000,34.47206651
